Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly) 
 01/01  01:00:00,1.019364019,11.29607238,0,10.84398084,0,0.298570413,0.298570413,0.298570413,0.161612796,0.035211311,0.092942925,0.413914574,0.423582047
 01/01  02:00:00,0.887116171,11.17890404,0,10.81955879,0,0.297897993,0.297897993,0.297897993,0.094274166,0.020539939,0.07618578,0.381106294,0.333095518
 01/01  03:00:00,0.83346303,11.0597157,0,10.72617439,0,0.295326814,0.295326814,0.295326814,0.067338672,0.014671381,0.062326493,0.37668767,0.307595932
 01/01  04:00:00,0.818019592,11.00156024,0,10.66112487,0,0.293535787,0.293535787,0.293535787,0.067338672,0.014671381,0.053976431,0.371385321,0.314855202
 01/01  05:00:00,0.812915985,10.96884554,0,10.55503835,0,0.290614877,0.290614877,0.290614877,0.067338672,0.014671381,0.065822864,0.357356191,0.38919331
 01/01  06:00:00,0.865135202,11.16402247,0,10.42934695,0,0.28715418,0.28715418,0.28715418,0.067338672,0.014671381,0.080078181,0.398780788,0.707208413
 01/01  07:00:00,1.087779303,11.53877487,0,10.20251015,0,0.280908617,0.280908617,0.280908617,0.154878975,0.033744183,0.140383543,0.460751986,1.304529171
 01/01  08:00:00,1.429298064,12.17423338,0,10.66302137,0,0.293588004,0.293588004,0.293588004,0.316491771,0.068955493,0.228567291,0.489583505,1.47749062
 01/01  09:00:00,1.382220562,11.68033548,0,10.20658361,0,0.281020773,0.281020773,0.281020773,0.303024045,0.066021219,0.30112795,0.413914574,1.445242374
 01/01  10:00:00,1.220633354,11.78578478,0,10.44404512,0,0.287558868,0.287558868,0.287558868,0.154878975,0.033744183,0.375064554,0.352274774,1.317475784
 01/01  11:00:00,1.271489473,13.61461387,0,12.42880673,0,0.342205875,0.342205875,0.342205875,0.127943439,0.027875616,0.395792849,0.360559693,1.160972608
 01/01  12:00:00,1.291682463,13.55379483,0,12.51113938,0,0.344472764,0.344472764,0.344472764,0.127943439,0.027875616,0.413608485,0.360670159,1.017813307
 01/01  13:00:00,1.215100408,11.38802317,0,10.45710034,0,0.287918322,0.287918322,0.287918322,0.127943439,0.027875616,0.39965648,0.354594551,0.906499175
 01/01  14:00:00,1.169483716,10.60697499,0,9.743138723,0,0.268260613,0.268260613,0.268260613,0.127943439,0.027875616,0.361435816,0.366856232,0.838568044
 01/01  15:00:00,1.169849015,10.58778356,0,9.7858236,0,0.269435868,0.269435868,0.269435868,0.134677344,0.029342762,0.331767743,0.387513298,0.775268927
 01/01  16:00:00,1.252506589,11.03071198,0,10.22009384,0,0.281392754,0.281392754,0.281392754,0.168346701,0.036678457,0.339922589,0.409054088,0.782443433
 01/01  17:00:00,1.525573804,11.45024028,0,10.55237822,0,0.290541635,0.290541635,0.290541635,0.282822414,0.061619798,0.389638663,0.483839294,0.864536308
 01/01  18:00:00,2.067352584,13.50159887,0,12.43414577,0,0.342352876,0.342352876,0.342352876,0.52524165,0.114436773,0.480421868,0.587787417,1.02696765
 01/01  19:00:00,2.371009897,12.19146236,0,10.96227776,0,0.301827515,0.301827515,0.301827515,0.781128612,0.170188022,0.43259402,0.638159727,1.185229619
 01/01  20:00:00,2.320927444,11.68039284,0,10.41629363,0,0.286794779,0.286794779,0.286794779,0.828265695,0.180457992,0.349590651,0.658706327,1.218729027
 01/01  21:00:00,2.170542112,11.78654832,0,10.60685015,0,0.292041426,0.292041426,0.292041426,0.713789982,0.155516632,0.310730298,0.681351773,1.132768218
 01/01  22:00:00,2.013590731,12.2197068,0,11.15723708,0,0.307195386,0.307195386,0.307195386,0.599314185,0.130575291,0.29394914,0.665444728,1.01663541
 01/01  23:00:00,1.694778091,12.43189442,0,11.55574145,0,0.31816752,0.31816752,0.31816752,0.451169115,0.098298255,0.234174068,0.575857133,0.836489245
 01/01  24:00:00,1.375975657,12.64665775,0,11.97651085,0,0.329752684,0.329752684,0.329752684,0.309757866,0.067488347,0.151455627,0.500409133,0.635679868
 01/02  01:00:00,1.058186496,12.92982838,0,12.49275472,0,0.343966573,0.343966573,0.343966573,0.161612796,0.035211311,0.086369242,0.413914574,0.40856417
 01/02  02:00:00,0.935044372,13.05469279,0,12.70365018,0,0.349773218,0.349773218,0.349773218,0.094274166,0.020539939,0.072238755,0.381106294,0.324792882
 01/02  03:00:00,0.898032406,13.49337175,0,13.16615255,0,0.362507428,0.362507428,0.362507428,0.067338672,0.014671381,0.059715255,0.37668767,0.301273807
