Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly) 
 01/01  01:00:00,1.05982967049,12.76539664,0.0,12.3136802336,0.0,0.339036064553,0.339036064553,0.339036064553,0.161612796136,0.0352113105958,0.092942924749,0.413914574456,0.423206916798
 01/01  02:00:00,0.933795975144,12.8730645073,0.0,12.5149541775,0.0,0.344577797369,0.344577797369,0.344577797369,0.0942741659095,0.0205399387695,0.0761857795615,0.381106293534,0.331860599611
 01/01  03:00:00,0.883621367384,12.8801700598,0.0,12.5479089721,0.0,0.345485151113,0.345485151113,0.345485151113,0.0673386720226,0.0146713809326,0.0623264934745,0.376687669841,0.306315702187
 01/01  04:00:00,0.867706934282,12.804551839,0.0,12.4657530743,0.0,0.343223129383,0.343223129383,0.343223129383,0.0673386720226,0.0146713809326,0.0539764305342,0.371385321409,0.313218592869
 01/01  05:00:00,0.864937364343,12.8563430228,0.0,12.444438019,0.0,0.342636255896,0.342636255896,0.342636255896,0.0673386720226,0.0146713809326,0.0658228643082,0.357356191184,0.387291126306
 01/01  06:00:00,0.924307513477,13.3113266207,0.0,12.5784661879,0.0,0.346326491637,0.346326491637,0.346326491637,0.0673386720226,0.0146713809326,0.080078180578,0.398780788307,0.705393323828
 01/01  07:00:00,1.17569428555,14.7299638027,0.0,13.3955538743,0.0,0.368823599598,0.368823599598,0.368823599598,0.15487897491,0.0337441825195,0.14038354292,0.460751985603,1.30267438499
 01/01  08:00:00,1.50191654222,14.8095914939,0.0,13.3005010059,0.0,0.366206481901,0.366206481901,0.366206481901,0.316491771045,0.0689554931152,0.228567290958,0.489583505201,1.47536909553
 01/01  09:00:00,1.45133638012,14.187649263,0.0,12.716847793,0.0,0.35013659178,0.35013659178,0.35013659178,0.303024045,0.06602121875,0.30112795013,0.413914574456,1.44229198043
 01/01  10:00:00,1.28724845879,14.2025486461,0.0,12.8634841837,0.0,0.354173973284,0.354173973284,0.354173973284,0.15487897491,0.0337441825195,0.375064554145,0.352274773936,1.31480058138
 01/01  11:00:00,1.28919685056,14.2553119653,0.0,13.0719329747,0.0,0.359913253209,0.359913253209,0.359913253209,0.127943439226,0.0278756155762,0.395792849183,0.360559693361,1.15854446325
