Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Electricity [kW](Hourly) 
 01/01  01:00:00,0.971884981547,4.34894811512,0.0,4.32098073675,0.0,0.110260294778,0.110260294778,0.110260294778,0.154019476112,0.0331798974413,0.092942924749,0.40603492295,0.158803465516
 01/01  02:00:00,0.799059953773,4.9653751058,0.0,4.93962451722,0.0,0.125094877818,0.125094877818,0.125094877818,0.0898447275923,0.0193549373138,0.0761857795615,0.373851210082,0.0980844214049
 01/01  03:00:00,0.741189003253,5.31144997718,0.0,5.28599794615,0.0,0.133260303656,0.133260303656,0.133260303656,0.0641747963185,0.013824954979,0.0623264934745,0.369516703299,0.081441751526
 01/01  04:00:00,0.738244597709,5.56980456105,0.0,5.54471079908,0.0,0.139201834078,0.139201834078,0.139201834078,0.0641747963185,0.013824954979,0.0539764305342,0.364315295158,0.0861072866408
 01/01  05:00:00,0.786835660944,5.63452675501,0.0,5.61038091326,0.0,0.140678616288,0.140678616288,0.140678616288,0.0641747963185,0.013824954979,0.0658228643082,0.350553236121,0.13513719293
 01/01  06:00:00,1.05291245191,5.63654214709,0.0,5.60959732832,0.0,0.140366187572,0.140366187572,0.140366187572,0.0641747963185,0.013824954979,0.080078180578,0.391189237216,0.34663509525
 01/01  07:00:00,1.67780629098,5.86209819137,0.0,5.83096610298,0.0,0.146013364994,0.146013364994,0.146013364994,0.147602041092,0.0317973945638,0.14038354292,0.451980694856,0.743385252556
 01/01  08:00:00,2.0859968359,4.95419376708,0.0,4.92111359068,0.0,0.122661128539,0.122661128539,0.122661128539,0.301621517204,0.0649772920051,0.228567290958,0.480263351619,0.856262255572
 01/01  09:00:00,2.02018667067,4.51302611158,0.0,4.48505873321,0.0,0.112074438462,0.112074438462,0.112074438462,0.2887865675,0.062212303412,0.30112795013,0.40603492295,0.833306488219
 01/01  10:00:00,1.7641143637,4.01111603071,0.0,3.98731353014,0.0,0.10000913783,0.10000913783,0.10000913783,0.147602041092,0.0317973945638,0.375064554145,0.345568553319,0.747428682748
