Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Electricity [kW](Hourly) 
 01/01  01:00:00,0.975380317284,4.50962383981,0.0,4.48165646144,0.0,0.113755630515,0.113755630515,0.113755630515,0.154019476112,0.0331798974413,0.092942924749,0.40603492295,0.158803465516
 01/01  02:00:00,0.809556206728,5.40275032061,0.0,5.37699973204,0.0,0.135591135,0.135591135,0.135591135,0.0898447275923,0.0193549373138,0.0761857795615,0.373851210082,0.098084417178
 01/01  03:00:00,0.755559767962,5.9216064906,0.0,5.89615445957,0.0,0.147631072504,0.147631072504,0.147631072504,0.0641747963185,0.013824954979,0.0623264934745,0.369516703299,0.0814417473872
 01/01  04:00:00,0.755894107544,6.31740738769,0.0,6.29231362573,0.0,0.156851375163,0.156851375163,0.156851375163,0.0641747963185,0.013824954979,0.0539764305342,0.364315295158,0.0861072553913
 01/01  05:00:00,0.809236099469,6.58382673453,0.0,6.55968089278,0.0,0.163079059067,0.163079059067,0.163079059067,0.0641747963185,0.013824954979,0.0658228643082,0.350553236121,0.135137188676
 01/01  06:00:00,1.07826908689,6.70306141423,0.0,6.67611659546,0.0,0.165722822886,0.165722822886,0.165722822886,0.0641747963185,0.013824954979,0.080078180578,0.391189237216,0.346635094908
 01/01  07:00:00,1.69484036389,6.61223382057,0.0,6.58110173218,0.0,0.163047437916,0.163047437916,0.163047437916,0.147602041092,0.0317973945638,0.14038354292,0.451980694856,0.743385252541
 01/01  08:00:00,2.10937105537,5.96393975417,0.0,5.93085957777,0.0,0.146035348008,0.146035348008,0.146035348008,0.301621517204,0.0649772920051,0.228567290958,0.480263351619,0.856262255572
 01/01  09:00:00,2.02219269151,4.6773753081,0.0,4.64940792972,0.0,0.114080458116,0.114080458116,0.114080458116,0.2887865675,0.062212303412,0.30112795013,0.40603492295,0.833306489399
 01/01  10:00:00,1.74564851395,3.33513121752,0.0,3.31132871694,0.0,0.0815432895179,0.0815432895179,0.0815432895179,0.147602041092,0.0317973945638,0.375064554145,0.345568553319,0.747428681316
 01/01  11:00:00,1.62830540536,2.85855905537,0.0,2.83419675939,0.0,0.0710147979859,0.0710147979859,0.0710147979859,0.121932141685,0.0262674173776,0.395792849183,0.353695753539,0.642958445594
 01/01  12:00:00,1.52279514809,1.69766712131,0.0,1.6732973614,0.0,0.0422728300604,0.0422728300604,0.0422728300604,0.121932141685,0.0262674173776,0.413608485392,0.353804116208,0.548266157364
 01/01  13:00:00,1.41922334292,1.24163460956,0.0,1.21767536628,0.0,0.0311289695524,0.0311289695524,0.0311289695524,0.121932141685,0.0262674173776,0.399656479991,0.347844169381,0.475750164931
 01/01  14:00:00,1.3407818685,0.945033687555,0.0,0.920245947074,0.0,0.0237020722646,0.0237020722646,0.0237020722646,0.121932141685,0.0262674173776,0.361435815596,0.359872425705,0.430927995877
 01/01  15:00:00,1.28151660146,0.353570484848,0.0,0.327386987827,0.0,0.00845269981435,0.00845269981435,0.00845269981435,0.128349576704,0.0276499030931,0.331767743197,0.380136244918,0.388516433731
 01/01  16:00:00,1.35500180437,0.369981919775,0.0,0.342342954704,0.0,0.00884082024328,0.00884082024328,0.00884082024328,0.160436990796,0.0345623831569,0.339922588697,0.401266965488,0.393328055991
 01/01  17:00:00,1.66996773337,0.553615172766,0.0,0.520923121184,0.0,0.0135427743619,0.0135427743619,0.0135427743619,0.269534103112,0.0580648119413,0.389638662656,0.4746284928,0.447914888497
