Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Electricity [kW](Hourly) 
 01/01  01:00:00,1.67313614914,0.0,0.849306440877,0.0,0.0271592477167,0.876465688594,0.0271592477167,0.128562410501,0.0263694190929,0.092942924749,0.405549025336,0.128171680866
 01/01  02:00:00,1.84586388342,0.0,1.17106170664,0.0,0.0372497661828,1.20831147282,0.0372497661828,0.0749947671662,0.0153821588643,0.0761857795615,0.37340382637,0.0825108786347
 01/01  03:00:00,2.05526474189,0.0,1.42862268813,0.0,0.0451673554525,1.47379004358,0.0451673554525,0.0535676765835,0.0109872588647,0.0623264934745,0.369074506644,0.0704437627371
 01/01  04:00:00,2.12085730305,0.0,1.50228687711,0.0,0.0472162448082,1.54950312192,0.0472162448082,0.0535676765835,0.0109872588647,0.0539764305342,0.363879322973,0.0738684921771
 01/01  05:00:00,2.25586875142,0.0,1.60003134543,0.0,0.0501022740453,1.65013361948,0.0501022740453,0.0535676765835,0.0109872588647,0.0658228643082,0.350133732842,0.110148599342
 01/01  06:00:00,2.57540809469,0.0,1.70322113521,0.0,0.0531967065953,1.75641784181,0.0531967065953,0.0535676765835,0.0109872588647,0.080078180578,0.390721105274,0.268561031582
 01/01  07:00:00,3.83872920796,0.0,2.44182727475,0.0,0.076457394058,2.51828466881,0.076457394058,0.123205679416,0.0252706876143,0.14038354292,0.451439814432,0.565069814763
 01/01  08:00:00,3.27237508923,0.0,1.52198028063,0.0,0.0469059210836,1.56888620171,0.0469059210836,0.251768089917,0.0516401067072,0.228567290958,0.479688625644,0.646749774292
 01/01  09:00:00,2.88554222364,0.0,1.20857833634,0.0,0.0371601710164,1.24573850736,0.0371601710164,0.24105456125,0.0494426573893,0.30112795013,0.405549025336,0.627554522175
 01/01  10:00:00,2.54724840982,0.0,1.0686465736,0.0,0.0330868535119,1.10173342711,0.0330868535119,0.123205679416,0.0252706876143,0.375064554145,0.345155015158,0.561744046385
