Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Electricity [kW](Hourly) 
 01/01  01:00:00,1.33366704926,0.0,0.520557866214,0.0,0.0164548847816,0.537012750995,0.0164548847816,0.128562410501,0.0263694190929,0.092942924749,0.405549025336,0.128155518584
 01/01  02:00:00,1.55954712596,0.0,0.893757077644,0.0,0.0282376344463,0.92199471209,0.0282376344463,0.0749947671662,0.0153821588643,0.0761857795615,0.37340382637,0.0825108819119
 01/01  03:00:00,1.72284506944,0.0,1.10659803994,0.0,0.0347723304142,1.14137037035,0.0347723304142,0.0535676765835,0.0109872588647,0.0623264934745,0.369074506644,0.0704437635234
 01/01  04:00:00,1.86915114478,0.0,1.25846314818,0.0,0.0393338154572,1.29779696364,0.0393338154572,0.0535676765835,0.0109872588647,0.0539764305342,0.363879322973,0.0738684921826
 01/01  05:00:00,2.04839415405,0.0,1.39911212587,0.0,0.0435468858664,1.44265901174,0.0435468858664,0.0535676765835,0.0109872588647,0.0658228643082,0.350133732842,0.110148609714
 01/01  06:00:00,2.40507854576,0.0,1.53833584542,0.0,0.0477524294611,1.58608827488,0.0477524294611,0.0535676765835,0.0109872588647,0.080078180578,0.390721105274,0.26856104958
 01/01  07:00:00,3.31970063173,0.0,1.93904663604,0.0,0.0602094443036,1.99925608034,0.0602094443036,0.123205679416,0.0252706876143,0.14038354292,0.451439814432,0.565069827006
 01/01  08:00:00,2.75969911302,0.0,1.02490386751,0.0,0.0313063555059,1.05621022302,0.0313063555059,0.251768089917,0.0516401067072,0.228567290958,0.479688625644,0.646749776781
 01/01  09:00:00,2.10287465412,0.0,0.449402782699,0.0,0.0136681551346,0.463070937833,0.0136681551346,0.24105456125,0.0494426573893,0.30112795013,0.405549025336,0.627554522181
 01/01  10:00:00,2.0068015751,0.0,0.544604739614,0.0,0.0166818531116,0.561286592726,0.0166818531116,0.123205679416,0.0252706876143,0.375064554145,0.345155015158,0.56174404604
 01/01  11:00:00,2.23708741911,0.0,0.840839563669,0.0,0.0261791790509,0.86701874272,0.0261791790509,0.101778555585,0.0208757889786,0.395792849183,0.353272489644,0.483273993001
 01/01  12:00:00,1.6891069961,0.0,0.360056369692,0.0,0.0112201923042,0.371276561996,0.0112201923042,0.101778555585,0.0208757889786,0.413608485392,0.353380722637,0.413111881512
 01/01  13:00:00,1.41944204617,0.0,0.16991748344,0.0,0.0053008274869,0.175218310926,0.0053008274869,0.101778555585,0.0208757889786,0.399656479991,0.347427908014,0.359410002673
 01/01  14:00:00,1.31877417132,0.0,0.129136739484,0.0,0.00403602574473,0.133172765228,0.00403602574473,0.101778555585,0.0208757889786,0.361435815596,0.359441770253,0.326994475675
 01/01  15:00:00,1.15129802727,0.0,0.0,0.0,0.0,0.0,0.0,0.107135353167,0.0219745204572,0.331767743197,0.379681339973,0.295664070473
 01/01  16:00:00,1.21677971477,0.0,0.0,0.0,0.0,0.0,0.0,0.133919208083,0.0274681505715,0.339922588697,0.400786773637,0.299607993782
 01/01  17:00:00,1.49033798415,0.0,0.0,0.0,0.0,0.0,0.0,0.224984235001,0.0461464902322,0.389638662656,0.47406051,0.340433086258
 01/01  18:00:00,2.21208124031,0.0,0.207731826626,0.0,0.00653067360022,0.214262500226,0.00653067360022,0.417827884001,0.0857006188716,0.480421867651,0.575907756555,0.422885613002
 01/01  19:00:00,2.35653053598,0.0,0.0,0.0,0.0,0.0,0.0,0.621385061668,0.127452196829,0.432594020017,0.625262001432,0.504762256038
 01/01  20:00:00,2.3267662307,0.0,0.0,0.0,0.0,0.0,0.0,0.658882445251,0.135143276261,0.349590650728,0.645393338158,0.522681520303
 01/01  21:00:00,2.1556025062,0.0,0.0,0.0,0.0,0.0,0.0,0.567817418333,0.1164649366,0.310730298291,0.667581101753,0.477933751226
 01/01  22:00:00,1.95419098817,0.0,0.0,0.0,0.0,0.0,0.0,0.476752324918,0.0977865969395,0.293949140492,0.65199555074,0.418632375082
 01/01  23:00:00,1.57629740559,0.0,0.0,0.0,0.0,0.0,0.0,0.358903443084,0.0736146271644,0.234174068073,0.564218593295,0.330311673971
 01/01  24:00:00,1.18640735692,0.0,0.0,0.0,0.0,0.0,0.0,0.246411292335,0.050541388868,0.151455627092,0.490295458973,0.232628589653
 01/02  01:00:00,0.854915149579,0.0,0.0704348385823,0.0,0.00220966572211,0.0726445043044,0.00220966572211,0.128562410501,0.0263694190929,0.0863692416722,0.405549025336,0.120345548673
 01/02  02:00:00,0.801031670122,0.0,0.166239528039,0.0,0.00523226441796,0.171471792457,0.00523226441796,0.0749947671662,0.0153821588643,0.0722387554862,0.37340382637,0.0784653697783
 01/02  03:00:00,0.778926487707,0.0,0.196868938709,0.0,0.00620350392541,0.203072442635,0.00620350392541,0.0535676765835,0.0109872588647,0.0597152550472,0.369074506644,0.0674343479333
 01/02  04:00:00,0.837568460697,0.0,0.262530579424,0.0,0.00828194680143,0.270812526225,0.00828194680143,0.0535676765835,0.0109872588647,0.0526110263622,0.363879322973,0.0706356496891
 01/02  05:00:00,0.897979334979,0.0,0.292292341878,0.0,0.00922824993536,0.301520591814,0.00922824993536,0.0535676765835,0.0109872588647,0.0631517086927,0.350133732842,0.103543366181
 01/02  06:00:00,1.04102714042,0.0,0.237888348679,0.0,0.00751131116133,0.24539965984,0.00751131116133,0.0535676765835,0.0109872588647,0.0759814879778,0.390721105274,0.249294951881
 01/02  07:00:00,1.34343613693,0.0,0.0754865401237,0.0,0.00238254214702,0.0778690822707,0.00238254214702,0.123205679416,0.0252706876143,0.129758030703,0.451439814432,0.520817842491
 01/02  08:00:00,1.62876304151,0.0,0.0,0.0,0.0,0.0,0.0,0.251768089917,0.0516401067072,0.207405929039,0.479688625644,0.593185290207
 01/02  09:00:00,1.55171297983,0.0,0.0,0.0,0.0,0.0,0.0,0.24105456125,0.0494426573893,0.268690649238,0.405549025336,0.571901086616
 01/02  10:00:00,1.3496668489,0.0,0.0,0.0,0.0,0.0,0.0,0.123205679416,0.0252706876143,0.330033495679,0.345155015158,0.510926971038
 01/02  11:00:00,1.92177931775,0.0,0.626050682125,0.0,0.0198450831864,0.645895765312,0.0198450831864,0.101778555585,0.0208757889786,0.344876619894,0.353272489644,0.440005098335
 01/02  12:00:00,1.53533048818,0.0,0.296396810848,0.0,0.00936909443459,0.305765905283,0.00936909443459,0.101778555585,0.0208757889786,0.361119725873,0.353380722637,0.377334789821
 01/02  13:00:00,1.35128491159,0.0,0.180168934966,0.0,0.00567037294927,0.185839307915,0.00567037294927,0.101778555585,0.0208757889786,0.3518459739,0.347427908014,0.328442377197
 01/02  14:00:00,1.2943222081,0.0,0.173701204116,0.0,0.00546360498846,0.179164809104,0.00546360498846,0.101778555585,0.0208757889786,0.317847783081,0.359441770253,0.300138501099
 01/02  15:00:00,1.35143379686,0.0,0.255426123504,0.0,0.00804758260082,0.263473706104,0.00804758260082,0.107135353167,0.0219745204572,0.292642171022,0.379681339973,0.271451706138
 01/02  16:00:00,1.45955919839,0.0,0.294617115346,0.0,0.00929929323295,0.303916408579,0.00929929323295,0.133919208083,0.0274681505715,0.302863615842,0.400786773637,0.27553004168
 01/02  17:00:00,1.67911877099,0.0,0.246760903636,0.0,0.00778669756714,0.254547601203,0.00778669756714,0.224984235001,0.0461464902322,0.353720743409,0.47406051,0.310584191145
