Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Electricity [kW](Hourly) 
 01/01  01:00:00,2.2633278067,0.0,1.42173236643,0.0,0.0449249721914,1.46665733862,0.0449249721914,0.128562410501,0.0263694190929,0.092942924749,0.405549025336,0.128171688404
 01/01  02:00:00,2.27443007975,0.0,1.58693882996,0.0,0.049938838203,1.63687766816,0.049938838203,0.0749947671662,0.0153821588643,0.0761857795615,0.37340382637,0.0825108796292
 01/01  03:00:00,2.47403712668,0.0,1.83498938448,0.0,0.0575730436988,1.89256242817,0.0575730436988,0.0535676765835,0.0109872588647,0.0623264934745,0.369074506644,0.0704437629386
 01/01  04:00:00,2.57507178044,0.0,1.9427418294,0.0,0.0609757699085,2.00371759931,0.0609757699085,0.0535676765835,0.0109872588647,0.0539764305342,0.363879322973,0.0738684921786
 01/01  05:00:00,2.63351386852,0.0,1.9662004567,0.0,0.0615782798877,2.02777873658,0.0615782798877,0.0535676765835,0.0109872588647,0.0658228643082,0.350133732842,0.110148599342
 01/01  06:00:00,2.88610238466,0.0,2.00445795053,0.0,0.0626541812533,2.06711213178,0.0626541812533,0.0535676765835,0.0109872588647,0.080078180578,0.390721105274,0.268561031582
 01/01  07:00:00,4.19011604684,0.0,2.78237100885,0.0,0.0873004988444,2.8696715077,0.0873004988444,0.123205679416,0.0252706876143,0.14038354292,0.451439814432,0.565069814763
 01/01  08:00:00,4.55577741739,0.0,2.76516958697,0.0,0.0871189428984,2.85228852987,0.0871189428984,0.251768089917,0.0516401067072,0.228567290958,0.479688625644,0.646749774292
 01/01  09:00:00,3.09008916246,0.0,1.40727892251,0.0,0.0430065236666,1.45028544618,0.0430065236666,0.24105456125,0.0494426573893,0.30112795013,0.405549025336,0.627554522175
 01/01  10:00:00,2.219889555,0.0,0.751510924156,0.0,0.0228636496644,0.77437457382,0.0228636496644,0.123205679416,0.0252706876143,0.375064554145,0.345155015158,0.561744044847
 01/01  11:00:00,2.35607708924,0.0,0.956275150201,0.0,0.0297332641039,0.986008414305,0.0297332641039,0.101778555585,0.0208757889786,0.395792849183,0.353272489644,0.483273991542
 01/01  12:00:00,1.43202664352,0.0,0.110786269623,0.0,0.00340994036964,0.114196209992,0.00340994036964,0.101778555585,0.0208757889786,0.413608485392,0.353380722637,0.413111880941
