Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Electricity [kW](Hourly) 
 01/01  01:00:00,0.968014878339,4.25905374241,0.0,4.23108636404,0.0,0.106390191571,0.106390191571,0.106390191571,0.154019476112,0.0331798974413,0.092942924749,0.40603492295,0.158803465516
 01/01  02:00:00,0.797376990064,4.97588432135,0.0,4.95013373278,0.0,0.12341191343,0.12341191343,0.12341191343,0.0898447275923,0.0193549373138,0.0761857795615,0.373851210082,0.0980844220847
 01/01  03:00:00,0.743104984519,5.4833177916,0.0,5.45786576057,0.0,0.135176287776,0.135176287776,0.135176287776,0.0641747963185,0.013824954979,0.0623264934745,0.369516703299,0.0814417486724
 01/01  04:00:00,0.740587881793,5.76203410739,0.0,5.73694034542,0.0,0.141545149362,0.141545149362,0.141545149362,0.0641747963185,0.013824954979,0.0539764305342,0.364315295158,0.086107255441
 01/01  05:00:00,0.793309812975,6.00711949048,0.0,5.98297364873,0.0,0.147152738721,0.147152738721,0.147152738721,0.0641747963185,0.013824954979,0.0658228643082,0.350553236121,0.135137222528
 01/01  06:00:00,1.06034534208,6.04108662197,0.0,6.0141418032,0.0,0.147799073226,0.147799073226,0.147799073226,0.0641747963185,0.013824954979,0.080078180578,0.391189237216,0.34663509976
 01/01  07:00:00,1.67548270655,5.89148179646,0.0,5.86034970807,0.0,0.143689780168,0.143689780168,0.143689780168,0.147602041092,0.0317973945638,0.14038354292,0.451980694856,0.74338525295
 01/01  08:00:00,2.10033997748,5.63589990692,0.0,5.60281973052,0.0,0.137004270109,0.137004270109,0.137004270109,0.301621517204,0.0649772920051,0.228567290958,0.480263351619,0.856262255584
 01/01  09:00:00,2.02716789113,4.9079835003,0.0,4.88001612192,0.0,0.119055658917,0.119055658917,0.119055658917,0.2887865675,0.062212303412,0.30112795013,0.40603492295,0.833306488219
 01/01  10:00:00,1.76061229323,3.9782167604,0.0,3.95441425983,0.0,0.0965070649738,0.0965070649738,0.0965070649738,0.147602041092,0.0317973945638,0.375064554145,0.345568553319,0.747428685133
 01/01  11:00:00,1.66677648327,4.43552303861,0.0,4.41116074263,0.0,0.109485870293,0.109485870293,0.109485870293,0.121932141685,0.0262674173776,0.395792849183,0.353695753539,0.642958451192
 01/01  12:00:00,1.54386489983,2.59110742171,0.0,2.5667376618,0.0,0.0633425763027,0.0633425763027,0.0633425763027,0.121932141685,0.0262674173776,0.413608485392,0.353804116208,0.548266162862
 01/01  13:00:00,1.43509780928,1.91193184485,0.0,1.88797260157,0.0,0.0470034347348,0.0470034347348,0.0470034347348,0.121932141685,0.0262674173776,0.399656479991,0.347844169381,0.475750166107
 01/01  14:00:00,1.35016211471,1.34136147187,0.0,1.31657373138,0.0,0.0330823186789,0.0330823186789,0.0330823186789,0.121932141685,0.0262674173776,0.361435815596,0.359872425705,0.430927995666
 01/01  15:00:00,1.30278073836,1.20694896051,0.0,1.18076546349,0.0,0.0297168368279,0.0297168368279,0.0297168368279,0.128349576704,0.0276499030931,0.331767743197,0.380136244918,0.388516433622
 01/01  16:00:00,1.37660748978,1.22524509477,0.0,1.1976061297,0.0,0.0304465056487,0.0304465056487,0.0304465056487,0.160436990796,0.0345623831569,0.339922588697,0.401266965488,0.393328055991
 01/01  17:00:00,1.69285312247,1.461880418,0.0,1.42918836642,0.0,0.0364281634614,0.0364281634614,0.0364281634614,0.269534103112,0.0580648119413,0.389638662656,0.4746284928,0.447914888497
 01/01  18:00:00,2.2960419038,2.28831398295,0.0,2.24859836504,0.0,0.0572998774153,0.0572998774153,0.0572998774153,0.500563357112,0.107834640941,0.480421867651,0.576597764883,0.5566803958
 01/01  19:00:00,2.71181154599,1.54105843213,0.0,1.49793925816,0.0,0.0376375397264,0.0376375397264,0.0376375397264,0.744427560815,0.160369475696,0.432594020017,0.626011142216,0.664127807516
 01/01  20:00:00,2.69814559454,1.61722741513,0.0,1.57271994856,0.0,0.0394378100984,0.0394378100984,0.0394378100984,0.789349924612,0.170046944353,0.349590650728,0.646166598759,0.686909665987
 01/01  21:00:00,2.49684499229,1.87081214052,0.0,1.82477456651,0.0,0.0457936732214,0.0457936732214,0.0457936732214,0.680252812296,0.146544515569,0.310730298291,0.668380946025,0.62849874689
 01/01  22:00:00,2.25970804126,2.10723005184,0.0,2.06226728501,0.0,0.0516859633584,0.0516859633584,0.0516859633584,0.571155699981,0.123042103946,0.293949140492,0.652776721604,0.550454411874
 01/01  23:00:00,1.83041392875,2.46396848635,0.0,2.42505897382,0.0,0.060732360863,0.060732360863,0.060732360863,0.429971093908,0.0926271950982,0.234174068073,0.564894596568,0.431370614241
 01/01  24:00:00,1.38697892946,2.84358602361,0.0,2.80977438122,0.0,0.070321811934,0.070321811934,0.070321811934,0.295204002519,0.0635947891276,0.151455627092,0.490882893238,0.298875805545
 01/02  01:00:00,0.92337562779,3.18192931246,0.0,3.15396193408,0.0,0.0788888080204,0.0788888080204,0.0788888080204,0.154019476112,0.0331798974413,0.0863692416722,0.40603492295,0.148239281594
 01/02  02:00:00,0.748878114889,3.40403893405,0.0,3.37828834548,0.0,0.0844197687829,0.0844197687829,0.0844197687829,0.0898447275923,0.0193549373138,0.0722387554862,0.373851210082,0.092524715632
 01/02  03:00:00,0.690198637177,3.58986358004,0.0,3.56441154901,0.0,0.0889600982413,0.0889600982413,0.0889600982413,0.0641747963185,0.013824954979,0.0597152550472,0.369516703299,0.0773628292928
 01/02  04:00:00,0.684941118816,3.69816518927,0.0,3.6730714273,0.0,0.0916425480449,0.0916425480449,0.0916425480449,0.0641747963185,0.013824954979,0.0526110263622,0.364315295158,0.0817284979536
 01/02  05:00:00,0.72791988913,3.76959361128,0.0,3.74544776953,0.0,0.0933884750606,0.0933884750606,0.0933884750606,0.0641747963185,0.013824954979,0.0631517086927,0.350553236121,0.126182717959
 01/02  06:00:00,0.974729812463,3.71886745066,0.0,3.69192263189,0.0,0.0920408358376,0.0920408358376,0.0920408358376,0.0641747963185,0.013824954979,0.0759814879778,0.391189237216,0.320874500133
 01/02  07:00:00,1.54832770624,3.49239325387,0.0,3.46126116548,0.0,0.0862383988588,0.0862383988588,0.0862383988588,0.147602041092,0.0317973945638,0.129758030703,0.451980694856,0.684307146168
 01/02  08:00:00,1.96121466246,3.68866339655,0.0,3.65558322015,0.0,0.0909653665436,0.0909653665436,0.0909653665436,0.301621517204,0.0649772920051,0.207405929039,0.480263351619,0.78433720605
 01/02  09:00:00,1.8799551328,3.22383285195,0.0,3.19586547357,0.0,0.0795489750908,0.0795489750908,0.0795489750908,0.2887865675,0.062212303412,0.268690649238,0.40603492295,0.758037714612
 01/02  10:00:00,1.62896226179,3.20188950326,0.0,3.17808700269,0.0,0.079280625933,0.079280625933,0.079280625933,0.147602041092,0.0317973945638,0.330033495679,0.345568553319,0.678036151204
 01/02  11:00:00,1.54352783398,3.87763492034,0.0,3.85327262437,0.0,0.0967665298015,0.0967665298015,0.0967665298015,0.121932141685,0.0262674173776,0.344876619894,0.353695753539,0.583345371687
 01/02  12:00:00,1.45353624669,3.02113345992,0.0,2.99676370001,0.0,0.074980988767,0.074980988767,0.074980988767,0.121932141685,0.0262674173776,0.361119725873,0.353804116208,0.498787856785
 01/02  13:00:00,1.36402895739,2.68299552498,0.0,2.6590362817,0.0,0.0666578989881,0.0666578989881,0.0666578989881,0.121932141685,0.0262674173776,0.3518459739,0.347844169381,0.432837356058
 01/02  14:00:00,1.2864090877,2.02233379924,0.0,1.99754605876,0.0,0.0501275917227,0.0501275917227,0.0501275917227,0.121932141685,0.0262674173776,0.317847783081,0.359872425705,0.393717728127
 01/02  15:00:00,1.24510425768,1.80346699615,0.0,1.77728349913,0.0,0.0448550640965,0.0448550640965,0.0448550640965,0.128349576704,0.0276499030931,0.292642171022,0.380136244918,0.354827297844
 01/02  16:00:00,1.31880998633,1.73347410799,0.0,1.70583514292,0.0,0.043206071645,0.043206071645,0.043206071645,0.160436990796,0.0345623831569,0.302863615842,0.401266965488,0.359829959404
 01/02  17:00:00,1.62271136593,1.73748869498,0.0,1.70479664339,0.0,0.0433301712394,0.0433301712394,0.0433301712394,0.269534103112,0.0580648119413,0.353720743409,0.4746284928,0.406789043433
 01/02  18:00:00,2.20994414193,2.24237865039,0.0,2.20266303247,0.0,0.0559804987044,0.0559804987044,0.0559804987044,0.500563357112,0.107834640941,0.445069937436,0.576597764883,0.507253942854
 01/02  19:00:00,2.61063949695,1.42946744576,0.0,1.38634827179,0.0,0.0349241430025,0.0349241430025,0.0349241430025,0.744427560815,0.160369475696,0.398283704478,0.626011142216,0.599979470744
