Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Electricity [kW](Hourly) 
 01/01  01:00:00,1.03035734635,6.80054913098,0.0,6.77258175261,0.0,0.168732659579,0.168732659579,0.168732659579,0.154019476112,0.0331798974413,0.092942924749,0.40603492295,0.158803465516
 01/01  02:00:00,0.857739958396,7.41136067414,0.0,7.38561008556,0.0,0.1837748937,0.1837748937,0.1837748937,0.0898447275923,0.0193549373138,0.0761857795615,0.373851210082,0.0980844101463
 01/01  03:00:00,0.798173451008,7.67916825368,0.0,7.65371622265,0.0,0.190244757411,0.190244757411,0.190244757411,0.0641747963185,0.013824954979,0.0623264934745,0.369516703299,0.081441745526
 01/01  04:00:00,0.792332384331,7.83063339737,0.0,7.8055396354,0.0,0.193289651987,0.193289651987,0.193289651987,0.0641747963185,0.013824954979,0.0539764305342,0.364315295158,0.0861072553544
 01/01  05:00:00,0.842951058959,7.98372636132,0.0,7.95958051956,0.0,0.196794018559,0.196794018559,0.196794018559,0.0641747963185,0.013824954979,0.0658228643082,0.350553236121,0.135137188675
 01/01  06:00:00,1.11003001603,8.01357979703,0.0,7.98663497826,0.0,0.19748375203,0.19748375203,0.19748375203,0.0641747963185,0.013824954979,0.080078180578,0.391189237216,0.346635094908
 01/01  07:00:00,1.72504475235,7.8520919,0.0,7.82095981161,0.0,0.193251826373,0.193251826373,0.193251826373,0.147602041092,0.0317973945638,0.14038354292,0.451980694856,0.743385252541
 01/01  08:00:00,2.17479156769,8.60035368805,0.0,8.56727351165,0.0,0.211455860336,0.211455860336,0.211455860336,0.301621517204,0.0649772920051,0.228567290958,0.480263351619,0.856262255572
 01/01  09:00:00,2.10443541135,7.96907891698,0.0,7.9411115386,0.0,0.196323179142,0.196323179142,0.196323179142,0.2887865675,0.062212303412,0.30112795013,0.40603492295,0.833306488219
 01/01  10:00:00,1.85657691842,7.82561338285,0.0,7.80181088228,0.0,0.19247169362,0.19247169362,0.19247169362,0.147602041092,0.0317973945638,0.375064554145,0.345568553319,0.747428681675
 01/01  11:00:00,1.78682940239,9.2692798136,0.0,9.24491751763,0.0,0.22953879287,0.22953879287,0.22953879287,0.121932141685,0.0262674173776,0.395792849183,0.353695753539,0.642958447734
 01/01  12:00:00,1.67694058029,7.96537884803,0.0,7.94100908812,0.0,0.196418261299,0.196418261299,0.196418261299,0.121932141685,0.0262674173776,0.413608485392,0.353804116208,0.548266158326
 01/01  13:00:00,1.57468281106,7.57977448287,0.0,7.55581523959,0.0,0.186588437347,0.186588437347,0.186588437347,0.121932141685,0.0262674173776,0.399656479991,0.347844169381,0.475750165276
 01/01  14:00:00,1.49891519216,7.35701845661,0.0,7.33223071613,0.0,0.181835386828,0.181835386828,0.181835386828,0.121932141685,0.0262674173776,0.361435815596,0.359872425705,0.430928004974
