Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Electricity [kW](Hourly) 
 01/01  01:00:00,1.08884737292,9.02610980921,0.0,8.99814243083,0.0,0.227222686148,0.227222686148,0.227222686148,0.154019476112,0.0331798974413,0.092942924749,0.40603492295,0.158803465516
 01/01  02:00:00,0.913772782841,9.51368189678,0.0,9.4879313082,0.0,0.239807718145,0.239807718145,0.239807718145,0.0898447275923,0.0193549373138,0.0761857795615,0.373851210082,0.0980844101463
 01/01  03:00:00,0.853237901627,9.71519716659,0.0,9.68974513557,0.0,0.245309211731,0.245309211731,0.245309211731,0.0641747963185,0.013824954979,0.0623264934745,0.369516703299,0.0814417418261
 01/01  04:00:00,0.850596311764,9.96532175178,0.0,9.94022798982,0.0,0.251553580192,0.251553580192,0.251553580192,0.0641747963185,0.013824954979,0.0539764305342,0.364315295158,0.0861072545819
 01/01  05:00:00,0.900408661712,10.0628809748,0.0,10.038735133,0.0,0.254251621406,0.254251621406,0.254251621406,0.0641747963185,0.013824954979,0.0658228643082,0.350553236121,0.13513718858
 01/01  06:00:00,1.16662756846,10.0731034391,0.0,10.0461586203,0.0,0.254081304475,0.254081304475,0.254081304475,0.0641747963185,0.013824954979,0.080078180578,0.391189237216,0.346635094896
 01/01  07:00:00,1.78211521606,9.93725710555,0.0,9.90612501716,0.0,0.250322290091,0.250322290091,0.250322290091,0.147602041092,0.0317973945638,0.14038354292,0.451980694856,0.74338525254
 01/01  08:00:00,2.23214220536,10.6842558085,0.0,10.6511756321,0.0,0.268806498006,0.268806498006,0.268806498006,0.301621517204,0.0649772920051,0.228567290958,0.480263351619,0.856262255572
 01/01  09:00:00,2.14200674345,9.35387820723,0.0,9.32591082886,0.0,0.233894511238,0.233894511238,0.233894511238,0.2887865675,0.062212303412,0.30112795013,0.40603492295,0.833306488219
 01/01  10:00:00,1.87717022886,8.50026221595,0.0,8.47645971538,0.0,0.213065004061,0.213065004061,0.213065004061,0.147602041092,0.0317973945638,0.375064554145,0.345568553319,0.747428681675
 01/01  11:00:00,1.79484956457,9.34371074937,0.0,9.3193484534,0.0,0.237558952035,0.237558952035,0.237558952035,0.121932141685,0.0262674173776,0.395792849183,0.353695753539,0.64295845075
 01/01  12:00:00,1.66244160768,7.23424085295,0.0,7.20987109303,0.0,0.181919279356,0.181919279356,0.181919279356,0.121932141685,0.0262674173776,0.413608485392,0.353804116208,0.548266167666
 01/01  13:00:00,1.54735918565,6.30033437298,0.0,6.2763751297,0.0,0.159264809458,0.159264809458,0.159264809458,0.121932141685,0.0262674173776,0.399656479991,0.347844169381,0.475750167762
 01/01  14:00:00,1.46920022035,5.98022690022,0.0,5.95543915974,0.0,0.152120423937,0.152120423937,0.152120423937,0.121932141685,0.0262674173776,0.361435815596,0.359872425705,0.430927996046
 01/01  15:00:00,1.424147243,5.91681433489,0.0,5.89063083787,0.0,0.151083341469,0.151083341469,0.151083341469,0.128349576704,0.0276499030931,0.331767743197,0.380136244918,0.388516433623
 01/01  16:00:00,1.49976473316,5.9898776723,0.0,5.96223870723,0.0,0.153603749029,0.153603749029,0.153603749029,0.160436990796,0.0345623831569,0.339922588697,0.401266965488,0.393328055991
 01/01  17:00:00,1.8218875423,6.44629309617,0.0,6.41360104459,0.0,0.165462583297,0.165462583297,0.165462583297,0.269534103112,0.0580648119413,0.389638662656,0.4746284928,0.447914888497
 01/01  18:00:00,2.4596854999,8.56206627204,0.0,8.52235065412,0.0,0.22094347107,0.22094347107,0.22094347107,0.500563357112,0.107834640941,0.480421867651,0.576597764883,0.556680398241
 01/01  19:00:00,2.86211846377,7.45102431902,0.0,7.40790514505,0.0,0.187944453464,0.187944453464,0.187944453464,0.744427560815,0.160369475696,0.432594020017,0.626011142216,0.664127811559
 01/01  20:00:00,2.84782885419,7.50425978592,0.0,7.45975231935,0.0,0.189121064894,0.189121064894,0.189121064894,0.789349924612,0.170046944353,0.349590650728,0.646166598759,0.686909670845
 01/01  21:00:00,2.64994802718,7.88404012044,0.0,7.83800254643,0.0,0.198896707043,0.198896707043,0.198896707043,0.680252812296,0.146544515569,0.310730298291,0.668380946025,0.628498747959
 01/01  22:00:00,2.41695294491,8.28568288533,0.0,8.2407201185,0.0,0.208930867002,0.208930867002,0.208930867002,0.571155699981,0.123042103946,0.293949140492,0.652776721604,0.550454411881
 01/01  23:00:00,1.98909138022,8.70088024431,0.0,8.66197073178,0.0,0.219409812337,0.219409812337,0.219409812337,0.429971093908,0.0926271950982,0.234174068073,0.564894596568,0.431370614241
 01/01  24:00:00,1.5497055619,9.24102599308,0.0,9.20721435069,0.0,0.233048444376,0.233048444376,0.233048444376,0.295204002519,0.0635947891276,0.151455627092,0.490882893238,0.298875805545
 01/02  01:00:00,1.08836386217,9.66113236817,0.0,9.6331649898,0.0,0.243877042397,0.243877042397,0.243877042397,0.154019476112,0.0331798974413,0.0863692416722,0.40603492295,0.148239281594
 01/02  02:00:00,0.916017069867,9.97986172776,0.0,9.95411113918,0.0,0.251558723761,0.251558723761,0.251558723761,0.0898447275923,0.0193549373138,0.0722387554862,0.373851210082,0.092524715632
 01/02  03:00:00,0.857420929854,10.1741416516,0.0,10.1486896206,0.0,0.256182390918,0.256182390918,0.256182390918,0.0641747963185,0.013824954979,0.0597152550472,0.369516703299,0.0773628292928
 01/02  04:00:00,0.851823804063,10.2753308178,0.0,10.2502370559,0.0,0.258525233291,0.258525233291,0.258525233291,0.0641747963185,0.013824954979,0.0526110263622,0.364315295158,0.0817284979536
 01/02  05:00:00,0.893678764176,10.3016245932,0.0,10.2774787514,0.0,0.259147350106,0.259147350106,0.259147350106,0.0641747963185,0.013824954979,0.0631517086927,0.350553236121,0.126182717959
 01/02  06:00:00,1.13893811302,10.1903153476,0.0,10.1633705288,0.0,0.256249136396,0.256249136396,0.256249136396,0.0641747963185,0.013824954979,0.0759814879778,0.391189237216,0.320874500133
 01/02  07:00:00,1.71119814649,9.91645699344,0.0,9.88532490505,0.0,0.249108839108,0.249108839108,0.249108839108,0.147602041092,0.0317973945638,0.129758030703,0.451980694856,0.684307146168
 01/02  08:00:00,2.13583794831,10.5859984576,0.0,10.5529182812,0.0,0.265588652399,0.265588652399,0.265588652399,0.301621517204,0.0649772920051,0.207405929039,0.480263351619,0.78433720605
 01/02  09:00:00,2.04379251365,9.71242421081,0.0,9.68445683244,0.0,0.243386355935,0.243386355935,0.243386355935,0.2887865675,0.062212303412,0.268690649238,0.40603492295,0.758037714612
 01/02  10:00:00,1.76991108197,8.79883265163,0.0,8.77503015106,0.0,0.220229446107,0.220229446107,0.220229446107,0.147602041092,0.0317973945638,0.330033495679,0.345568553319,0.678036151204
 01/02  11:00:00,1.69450507498,9.75101289538,0.0,9.72665059941,0.0,0.247743761211,0.247743761211,0.247743761211,0.121932141685,0.0262674173776,0.344876619894,0.353695753539,0.583345381273
 01/02  12:00:00,1.57104902026,7.65640545853,0.0,7.63203569862,0.0,0.192493760145,0.192493760145,0.192493760145,0.121932141685,0.0262674173776,0.361119725873,0.353804116208,0.498787858967
 01/02  13:00:00,1.46144075998,6.49182577504,0.0,6.46786653176,0.0,0.164069703608,0.164069703608,0.164069703608,0.121932141685,0.0262674173776,0.3518459739,0.347844169381,0.432837354033
 01/02  14:00:00,1.38438512308,5.81678108041,0.0,5.79199333993,0.0,0.148103627538,0.148103627538,0.148103627538,0.121932141685,0.0262674173776,0.317847783081,0.359872425705,0.393717727697
 01/02  15:00:00,1.33779938189,5.37961195671,0.0,5.35342845968,0.0,0.137550186138,0.137550186138,0.137550186138,0.128349576704,0.0276499030931,0.292642171022,0.380136244918,0.354827300013
 01/02  16:00:00,1.41529528586,5.43616289808,0.0,5.40852393301,0.0,0.139691373811,0.139691373811,0.139691373811,0.160436990796,0.0345623831569,0.302863615842,0.401266965488,0.359829956769
 01/02  17:00:00,1.73113453941,5.88984618422,0.0,5.85715413264,0.0,0.151753345371,0.151753345371,0.151753345371,0.269534103112,0.0580648119413,0.353720743409,0.4746284928,0.40678904278
 01/02  18:00:00,2.35597590725,7.80887068512,0.0,7.7691550672,0.0,0.202012265091,0.202012265091,0.202012265091,0.500563357112,0.107834640941,0.445069937436,0.576597764883,0.507253941783
 01/02  19:00:00,2.74493413143,6.69019634133,0.0,6.64707716736,0.0,0.169218781604,0.169218781604,0.169218781604,0.744427560815,0.160369475696,0.398283704478,0.626011142216,0.599979466622
 01/02  20:00:00,2.7211268563,6.67237519466,0.0,6.62786772809,0.0,0.168512564766,0.168512564766,0.168512564766,0.789349924612,0.170046944353,0.315345896534,0.646166598759,0.615060927271
 01/02  21:00:00,2.52471874051,6.99874381076,0.0,6.95270623675,0.0,0.176974783083,0.176974783083,0.176974783083,0.680252812296,0.146544515569,0.275874927963,0.668380946025,0.560046755574
 01/02  22:00:00,2.3070256508,7.58762335003,0.0,7.5426605832,0.0,0.192004792059,0.192004792059,0.192004792059,0.571155699981,0.123042103946,0.258342283024,0.652776721604,0.493060050183
 01/02  23:00:00,1.90386078112,8.20804585713,0.0,8.16913634459,0.0,0.207600714613,0.207600714613,0.207600714613,0.429971093908,0.0926271950982,0.205880856148,0.564894596568,0.386242324782
 01/02  24:00:00,1.49720198019,8.87115415784,0.0,8.83734251545,0.0,0.224177802917,0.224177802917,0.224177802917,0.295204002519,0.0635947891276,0.135920781757,0.490882893238,0.270777710627
 01/03  01:00:00,1.08089512082,9.34804132528,0.0,9.32007394691,0.0,0.236184019272,0.236184019272,0.236184019272,0.154019476112,0.0331798974413,0.0863692416722,0.40603492295,0.148463563369
 01/03  02:00:00,0.9113721978,9.78694119143,0.0,9.76119060285,0.0,0.246801713775,0.246801713775,0.246801713775,0.0898447275923,0.0193549373138,0.0722387554862,0.373851210082,0.0926368535504
 01/03  03:00:00,0.854184223061,10.0301650675,0.0,10.0047130365,0.0,0.252866628457,0.252866628457,0.252866628457,0.0641747963185,0.013824954979,0.0597152550472,0.369516703299,0.0774418849604
 01/03  04:00:00,0.849061946257,10.1564540036,0.0,10.1313602416,0.0,0.255675125504,0.255675125504,0.255675125504,0.0641747963185,0.013824954979,0.0526110263622,0.364315295158,0.081816747935
