Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Electricity [kW](Hourly) 
 01/01  01:00:00,4.83546745204,0.0,3.91700517961,0.0,0.121791804637,4.03879698424,0.121791804637,0.128562410501,0.0263694190929,0.092942924749,0.405549025336,0.12817168812
 01/01  02:00:00,4.94628741993,0.0,4.17863983188,0.0,0.130095176465,4.30873500835,0.130095176465,0.0749947671662,0.0153821588643,0.0761857795615,0.37340382637,0.0825108796174
 01/01  03:00:00,5.22930549836,0.0,4.50844819119,0.0,0.139382608668,4.64783079986,0.139382608668,0.0535676765835,0.0109872588647,0.0623264934745,0.369074506644,0.070443762938
 01/01  04:00:00,5.36552334059,0.0,4.65054038393,0.0,0.14362877552,4.79416915945,0.14362877552,0.0535676765835,0.0109872588647,0.0539764305342,0.363879322973,0.0738684921786
 01/01  05:00:00,5.49117109829,0.0,4.73936112942,0.0,0.146074836935,4.88543596635,0.146074836935,0.0535676765835,0.0109872588647,0.0658228643082,0.350133732842,0.110148599342
 01/01  06:00:00,5.70544685785,0.0,4.74049300302,0.0,0.145963601945,4.88645660497,0.145963601945,0.0535676765835,0.0109872588647,0.080078180578,0.390721105274,0.268561031582
 01/01  07:00:00,6.05798001319,0.0,4.5961639313,0.0,0.141371542751,4.73753547405,0.141371542751,0.123205679416,0.0252706876143,0.14038354292,0.451439814432,0.565069814763
 01/01  08:00:00,6.28022863923,0.0,4.44044035562,0.0,0.136299396085,4.57673975171,0.136299396085,0.251768089917,0.0516401067072,0.228567290958,0.479688625644,0.646749774292
 01/01  09:00:00,6.25668192922,0.0,4.47942382314,0.0,0.137454389799,4.61687821294,0.137454389799,0.24105456125,0.0494426573893,0.30112795013,0.405549025336,0.627554522175
 01/01  10:00:00,6.07520204325,0.0,4.49144044148,0.0,0.138246619853,4.62968706134,0.138246619853,0.123205679416,0.0252706876143,0.375064554145,0.345155015158,0.561744045581
 01/01  11:00:00,7.31127521352,0.0,5.76204102757,0.0,0.179165509975,5.94120653754,0.179165509975,0.101778555585,0.0208757889786,0.395792849183,0.353272489644,0.483273992583
 01/01  12:00:00,6.05008481165,0.0,4.59143365405,0.0,0.14082072424,4.73225437829,0.14082072424,0.101778555585,0.0208757889786,0.413608485392,0.353380722637,0.413111880772
 01/01  13:00:00,5.53032539222,0.0,4.1580334549,0.0,0.128068201961,4.28610165686,0.128068201961,0.101778555585,0.0208757889786,0.399656479991,0.347427908014,0.359410002796
 01/01  14:00:00,5.23046937153,0.0,3.92332804017,0.0,0.121539925214,4.04486796538,0.121539925214,0.101778555585,0.0208757889786,0.361435815596,0.359441770253,0.326994475737
 01/01  15:00:00,4.60175240539,0.0,3.3466896917,0.0,0.103634646085,3.45032433779,0.103634646085,0.107135353167,0.0219745204572,0.331767743197,0.379681339973,0.295794110807
 01/01  16:00:00,4.55107998639,0.0,3.2333563833,0.0,0.100736202585,3.33409258589,0.100736202585,0.133919208083,0.0274681505715,0.339922588697,0.400786773637,0.299815679514
 01/01  17:00:00,4.61202588071,0.0,3.02702447645,0.0,0.0945153223058,3.12153979875,0.0945153223058,0.224984235001,0.0461464902322,0.389638662656,0.47406051,0.340581184069
 01/01  18:00:00,6.2234415771,0.0,4.09618078802,0.0,0.129419311254,4.22560009927,0.129419311254,0.417827884001,0.0857006188716,0.480421867651,0.575907756555,0.422908350748
 01/01  19:00:00,5.543140956,0.0,3.09026397614,0.0,0.0959912766971,3.18625525284,0.0959912766971,0.621385061668,0.127452196829,0.432594020017,0.625262001432,0.505117423211
 01/01  20:00:00,5.25436531778,0.0,2.83904474235,0.0,0.0879948256795,2.92703956803,0.0879948256795,0.658882445251,0.135143276261,0.349590650728,0.645393338158,0.523241039351
 01/01  21:00:00,5.09978412718,0.0,2.85497363017,0.0,0.0885943838729,2.94356801404,0.0885943838729,0.567817418333,0.1164649366,0.310730298291,0.667581101753,0.478547358161
 01/01  22:00:00,4.99697997923,0.0,2.95066489936,0.0,0.0915305029425,3.0421954023,0.0915305029425,0.476752324918,0.0977865969395,0.293949140492,0.65199555074,0.419225963833
 01/01  23:00:00,4.81849771864,0.0,3.14411402219,0.0,0.0974894884162,3.24160351061,0.0974894884162,0.358903443084,0.0736146271644,0.234174068073,0.564218593295,0.330908476416
 01/01  24:00:00,4.64138577413,0.0,3.35081868734,0.0,0.103882771145,3.45470145848,0.103882771145,0.246411292335,0.050541388868,0.151455627092,0.490295458973,0.232905548385
 01/02  01:00:00,4.4462700191,0.0,3.55387266873,0.0,0.110089403393,3.66396207212,0.110089403393,0.128562410501,0.0263694190929,0.0863692416722,0.405549025336,0.12038285038
 01/02  02:00:00,4.45461729696,0.0,3.71017444143,0.0,0.114881632234,3.82505607366,0.114881632234,0.0749947671662,0.0153821588643,0.0722387554862,0.37340382637,0.0784667154094
 01/02  03:00:00,4.50563175328,0.0,3.811816276,0.0,0.117961430843,3.92977770684,0.117961430843,0.0535676765835,0.0109872588647,0.0597152550472,0.369074506644,0.0674343492944
 01/02  04:00:00,4.5204811396,0.0,3.83509577326,0.0,0.118629426345,3.9537251996,0.118629426345,0.0535676765835,0.0109872588647,0.0526110263622,0.363879322973,0.0706356552173
 01/02  05:00:00,4.53936773448,0.0,3.82465478561,0.0,0.118254202924,3.94290898853,0.118254202924,0.0535676765835,0.0109872588647,0.0631517086927,0.350133732842,0.103543368968
 01/02  06:00:00,4.64232002768,0.0,3.73132526444,0.0,0.115367302689,3.84669256713,0.115367302689,0.0535676765835,0.0109872588647,0.0759814879778,0.390721105274,0.249294931853
 01/02  07:00:00,6.06749942395,0.0,4.65716331497,0.0,0.144769127167,4.80193244213,0.144769127167,0.123205679416,0.0252706876143,0.129758030703,0.451439814432,0.520817769651
 01/02  08:00:00,5.31712400625,0.0,3.57775611077,0.0,0.110404017965,3.68816012873,0.110404017965,0.251768089917,0.0516401067072,0.207405929039,0.479688625644,0.59338612621
 01/02  09:00:00,4.94347019346,0.0,3.28996813358,0.0,0.101494073204,3.39146220678,0.101494073204,0.24105456125,0.0494426573893,0.268690649238,0.405549025336,0.572196093466
 01/02  10:00:00,4.64425273003,0.0,3.1951639609,0.0,0.099215665684,3.29437962659,0.099215665684,0.123205679416,0.0252706876143,0.330033495679,0.345155015158,0.511133225577
 01/02  11:00:00,5.44324235931,0.0,4.04039666185,0.0,0.126929064984,4.16732572684,0.126929064984,0.101778555585,0.0208757889786,0.344876619894,0.353272489644,0.440038178371
 01/02  12:00:00,4.40587576538,0.0,3.08044773135,0.0,0.0958633667857,3.17631109813,0.0958633667857,0.101778555585,0.0208757889786,0.361119725873,0.353380722637,0.377334874173
 01/02  13:00:00,3.91014906278,0.0,2.66161128706,0.0,0.0830921792508,2.74470346631,0.0830921792508,0.101778555585,0.0208757889786,0.3518459739,0.347427908014,0.328442369996
 01/02  14:00:00,3.63706784536,0.0,2.44510284888,0.0,0.0768075965027,2.52191044538,0.0768075965027,0.101778555585,0.0208757889786,0.317847783081,0.359441770253,0.300138502076
 01/02  15:00:00,3.4053033333,0.0,2.24649682677,0.0,0.0708464121697,2.31734323894,0.0708464121697,0.107135353167,0.0219745204572,0.292642171022,0.379681339973,0.27145170974
 01/02  16:00:00,3.40783299516,0.0,2.18327613898,0.0,0.0689140625166,2.2521902015,0.0689140625166,0.133919208083,0.0274681505715,0.302863615842,0.400786773637,0.275530045525
 01/02  17:00:00,3.49391216653,0.0,2.00583142479,0.0,0.0635095709786,2.06934099577,0.0635095709786,0.224984235001,0.0461464902322,0.353720743409,0.47406051,0.310584192119
 01/02  18:00:00,4.7381142068,0.0,2.72529679428,0.0,0.0866921621374,2.81198895641,0.0866921621374,0.417827884001,0.0857006188716,0.445069937436,0.575907756555,0.386544053522
 01/02  19:00:00,4.1051837997,0.0,1.77435385109,0.0,0.0558240541437,1.83017790523,0.0558240541437,0.621385061668,0.127452196829,0.398283704478,0.625262001432,0.457547930061
 01/02  20:00:00,3.83945615948,0.0,1.55119241848,0.0,0.0486033780574,1.59979579654,0.0486033780574,0.658882445251,0.135143276261,0.315345896534,0.645393338158,0.469820406739
 01/02  21:00:00,3.6610420899,0.0,1.54202781358,0.0,0.0484339573633,1.59046177095,0.0484339573633,0.567817418333,0.1164649366,0.275874927963,0.667581101753,0.427766934301
 01/02  22:00:00,3.56988347292,0.0,1.64148584418,0.0,0.051641882841,1.69312772702,0.051641882841,0.476752324918,0.0977865969395,0.258342283024,0.65199555074,0.376803990277
 01/02  23:00:00,3.40105936593,0.0,1.82831055152,0.0,0.0575918924577,1.88590244397,0.0575918924577,0.358903443084,0.0736146271644,0.205880856148,0.564218593295,0.297464402267
 01/02  24:00:00,3.264509597,0.0,2.04967912238,0.0,0.0645927320733,2.11427185446,0.0645927320733,0.246411292335,0.050541388868,0.135920781757,0.490295458973,0.211993820613
 01/03  01:00:00,3.15328311681,0.0,2.2984618276,0.0,0.0724171251713,2.37087895277,0.0724171251713,0.128562410501,0.0263694190929,0.0863692416722,0.405549025336,0.12047906744
 01/03  02:00:00,3.19763003211,0.0,2.48962050855,0.0,0.0784003626722,2.56802087123,0.0784003626722,0.0749947671662,0.0153821588643,0.0722387554862,0.37340382637,0.0785146529951
 01/03  03:00:00,3.29475694569,0.0,2.63598126179,0.0,0.0828878704533,2.71886913224,0.0828878704533,0.0535676765835,0.0109872588647,0.0597152550472,0.369074506644,0.0674681163103
 01/03  04:00:00,3.39182424322,0.0,2.73902197029,0.0,0.0860086577773,2.82503062807,0.0860086577773,0.0535676765835,0.0109872588647,0.0526110263622,0.363879322973,0.0706733303691
 01/03  05:00:00,3.50042601759,0.0,2.81558936336,0.0,0.0883011008304,2.90389046419,0.0883011008304,0.0535676765835,0.0109872588647,0.0631517086927,0.350133732842,0.103620176412
 01/03  06:00:00,3.70519185398,0.0,2.82093768292,0.0,0.0883840193715,2.90932170229,0.0883840193715,0.0535676765835,0.0109872588647,0.0759814879778,0.390721105274,0.249537622991
 01/03  07:00:00,4.03925634755,0.0,2.68900006306,0.0,0.0841350512951,2.77313511435,0.0841350512951,0.123205679416,0.0252706876143,0.129758030703,0.451439814432,0.521372021035
 01/03  08:00:00,5.32606293883,0.0,3.58455714762,0.0,0.111894621453,3.69645176907,0.111894621453,0.251768089917,0.0516401067072,0.207405929039,0.479688625644,0.594033418448
 01/03  09:00:00,4.4508418549,0.0,2.81036052352,0.0,0.0878433993141,2.89820392284,0.0878433993141,0.24105456125,0.0494426573893,0.268690649238,0.405549025336,0.572826038851
 01/03  10:00:00,4.1944749711,0.0,2.75826125792,0.0,0.0857748624139,2.84403612033,0.0857748624139,0.123205679416,0.0252706876143,0.330033495679,0.345155015158,0.511698972897
 01/03  11:00:00,5.01404338185,0.0,3.62373427722,0.0,0.113906706079,3.7376409833,0.113906706079,0.101778555585,0.0208757889786,0.344876619894,0.353272489644,0.440523944447
 01/03  12:00:00,4.15959122616,0.0,2.84078732499,0.0,0.0888275237929,2.92961484879,0.0888275237929,0.101778555585,0.0208757889786,0.361119725873,0.353380722637,0.377746584302
 01/03  13:00:00,3.8572366601,0.0,2.60991615908,0.0,0.0815210247183,2.6914371838,0.0815210247183,0.101778555585,0.0208757889786,0.3518459739,0.347427908014,0.328796249819
 01/03  14:00:00,3.63603713166,0.0,2.44394891266,0.0,0.076613608251,2.52056252092,0.076613608251,0.101778555585,0.0208757889786,0.317847783081,0.359441770253,0.300455712843
 01/03  15:00:00,3.52053439393,0.0,2.35819192837,0.0,0.0740997515775,2.43229167994,0.0740997515775,0.107135353167,0.0219745204572,0.292642171022,0.379681339973,0.271734329368
 01/03  16:00:00,3.55337488646,0.0,2.32429819223,0.0,0.073148150216,2.39744634245,0.073148150216,0.133919208083,0.0274681505715,0.302863615842,0.400786773637,0.275815795877
 01/03  17:00:00,3.76297315818,0.0,2.26663365651,0.0,0.0714422265601,2.33807588307,0.0714422265601,0.224984235001,0.0461464902322,0.353720743409,0.47406051,0.31091029647
 01/03  18:00:00,5.16953719827,0.0,3.14336619661,0.0,0.0996365824987,3.24300277911,0.0996365824987,0.417827884001,0.0857006188716,0.445069937436,0.575907756555,0.386953222303
 01/03  19:00:00,4.55612366245,0.0,2.21142421878,0.0,0.0692107508271,2.28063496961,0.0692107508271,0.621385061668,0.127452196829,0.398283704478,0.625262001432,0.458030728433
