Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Electricity [kW](Hourly) 
 01/01  01:00:00,0.898749660503,1.46658196888,0.0,1.43861459051,0.0,0.037124973862,0.037124973862,0.037124973862,0.154019476112,0.0331798974413,0.092942924749,0.40603492295,0.158803465389
 01/01  02:00:00,0.724565169659,1.99535260945,0.0,1.96960202088,0.0,0.050600094198,0.050600094198,0.050600094198,0.0898447275923,0.0193549373138,0.0761857795615,0.373851210082,0.0980844209116
 01/01  03:00:00,0.662111008683,2.14587941716,0.0,2.12042738614,0.0,0.0541823095347,0.0541823095347,0.0541823095347,0.0641747963185,0.013824954979,0.0623264934745,0.369516703299,0.081441751078
 01/01  04:00:00,0.659419652561,2.40063290445,0.0,2.37553914248,0.0,0.0603768899231,0.0603768899231,0.0603768899231,0.0641747963185,0.013824954979,0.0539764305342,0.364315295158,0.0861072856482
 01/01  05:00:00,0.711086877865,2.58332908366,0.0,2.55918324191,0.0,0.0649297702207,0.0649297702207,0.0649297702207,0.0641747963185,0.013824954979,0.0658228643082,0.350553236121,0.135137255918
 01/01  06:00:00,0.976678641041,2.55718602395,0.0,2.53024120518,0.0,0.0641323721667,0.0641323721667,0.0641323721667,0.0641747963185,0.013824954979,0.080078180578,0.391189237216,0.346635099782
 01/01  07:00:00,1.59369323582,2.47947565384,0.0,2.44834356545,0.0,0.0619003096423,0.0619003096423,0.0619003096423,0.147602041092,0.0317973945638,0.14038354292,0.451980694856,0.74338525275
 01/01  08:00:00,2.03241886505,2.76785431276,0.0,2.73477413637,0.0,0.0690831576864,0.0690831576864,0.0690831576864,0.301621517204,0.0649772920051,0.228567290958,0.480263351619,0.856262255581
 01/01  09:00:00,1.97312897791,2.59560081799,0.0,2.56763343961,0.0,0.0650167456979,0.0650167456979,0.0650167456979,0.2887865675,0.062212303412,0.30112795013,0.40603492295,0.83330648822
 01/01  10:00:00,1.72883352795,2.58739615421,0.0,2.56359365364,0.0,0.0647283031512,0.0647283031512,0.0647283031512,0.147602041092,0.0317973945638,0.375064554145,0.345568553319,0.747428681675
