Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Electricity [kW](Hourly) 
 01/01  01:00:00,0.980577593578,4.79912865086,0.0,4.77116127248,0.0,0.11895290681,0.11895290681,0.11895290681,0.154019476112,0.0331798974413,0.092942924749,0.40603492295,0.158803465516
 01/01  02:00:00,0.799754612155,5.06626654357,0.0,5.040515955,0.0,0.125789547459,0.125789547459,0.125789547459,0.0898447275923,0.0193549373138,0.0761857795615,0.373851210082,0.0980844101463
 01/01  03:00:00,0.738282819827,5.26919556454,0.0,5.24374353351,0.0,0.13035412623,0.13035412623,0.13035412623,0.0641747963185,0.013824954979,0.0623264934745,0.369516703299,0.081441745526
 01/01  04:00:00,0.728516128843,5.24326394466,0.0,5.21817018269,0.0,0.129473396498,0.129473396498,0.129473396498,0.0641747963185,0.013824954979,0.0539764305342,0.364315295158,0.0861072553544
 01/01  05:00:00,0.776235338878,5.27120067934,0.0,5.24705483759,0.0,0.130078298477,0.130078298477,0.130078298477,0.0641747963185,0.013824954979,0.0658228643082,0.350553236121,0.135137188675
 01/01  06:00:00,1.04050879304,5.18311590987,0.0,5.1561710911,0.0,0.127962529042,0.127962529042,0.127962529042,0.0641747963185,0.013824954979,0.080078180578,0.391189237216,0.346635094908
 01/01  07:00:00,1.653518136,4.93765934124,0.0,4.90652725285,0.0,0.121725210025,0.121725210025,0.121725210025,0.147602041092,0.0317973945638,0.14038354292,0.451980694856,0.743385252541
 01/01  08:00:00,2.09322084198,5.27453551434,0.0,5.24145533795,0.0,0.129885134619,0.129885134619,0.129885134619,0.301621517204,0.0649772920051,0.228567290958,0.480263351619,0.856262255572
 01/01  09:00:00,2.02043864865,4.56692364089,0.0,4.53895626251,0.0,0.112326416443,0.112326416443,0.112326416443,0.2887865675,0.062212303412,0.30112795013,0.40603492295,0.833306488219
 01/01  10:00:00,1.77450418986,4.47008034924,0.0,4.44627784867,0.0,0.110398961077,0.110398961077,0.110398961077,0.147602041092,0.0317973945638,0.375064554145,0.345568553319,0.747428685659
 01/01  11:00:00,1.69320830477,5.45469564069,0.0,5.43033334471,0.0,0.135917693837,0.135917693837,0.135917693837,0.121932141685,0.0262674173776,0.395792849183,0.353695753539,0.642958449144
 01/01  12:00:00,1.58778787824,4.33259383677,0.0,4.30822407686,0.0,0.107265559238,0.107265559238,0.107265559238,0.121932141685,0.0262674173776,0.413608485392,0.353804116208,0.548266158343
 01/01  13:00:00,1.49294036026,4.24416329234,0.0,4.22020404905,0.0,0.104845986548,0.104845986548,0.104845986548,0.121932141685,0.0262674173776,0.399656479991,0.347844169381,0.475750165276
 01/01  14:00:00,1.42410330465,4.29357350541,0.0,4.26878576493,0.0,0.107023508323,0.107023508323,0.107023508323,0.121932141685,0.0262674173776,0.361435815596,0.359872425705,0.430927995965
 01/01  15:00:00,1.37241040497,3.98662421777,0.0,3.96044072075,0.0,0.0993465034398,0.0993465034398,0.0993465034398,0.128349576704,0.0276499030931,0.331767743197,0.380136244918,0.388516433622
 01/01  16:00:00,1.43887940475,3.7380985458,0.0,3.71045958073,0.0,0.0927184206217,0.0927184206217,0.0927184206217,0.160436990796,0.0345623831569,0.339922588697,0.401266965488,0.393328055991
 01/01  17:00:00,1.74935923523,3.74527293739,0.0,3.71258088581,0.0,0.0929342808415,0.0929342808415,0.0929342808415,0.269534103112,0.0580648119413,0.389638662656,0.4746284928,0.447914883882
 01/01  18:00:00,2.35780003375,4.76658000179,0.0,4.72686438387,0.0,0.11905800473,0.11905800473,0.11905800473,0.500563357112,0.107834640941,0.480421867651,0.576597764883,0.55668039843
 01/01  19:00:00,2.76354160172,3.63127733415,0.0,3.58815816018,0.0,0.0893675947623,0.0893675947623,0.0893675947623,0.744427560815,0.160369475696,0.432594020017,0.626011142216,0.664127808209
 01/01  20:00:00,2.74389771995,3.47622456961,0.0,3.43171710304,0.0,0.0851899381844,0.0851899381844,0.0851899381844,0.789349924612,0.170046944353,0.349590650728,0.646166598759,0.686909663311
 01/01  21:00:00,2.53916365064,3.58757582368,0.0,3.54153824967,0.0,0.0881123340927,0.0881123340927,0.0881123340927,0.680252812296,0.146544515569,0.310730298291,0.668380946025,0.628498744371
