Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Electricity [kW](Hourly) 
 01/01  01:00:00,0.977499512908,4.70248979842,0.0,4.67452242005,0.0,0.115874826141,0.115874826141,0.115874826141,0.154019476112,0.0331798974413,0.092942924749,0.40603492295,0.158803465515
 01/01  02:00:00,0.796427267846,4.95875428616,0.0,4.93300369758,0.0,0.12246220315,0.12246220315,0.12246220315,0.0898447275923,0.0193549373138,0.0761857795615,0.373851210082,0.0980844101463
 01/01  03:00:00,0.742644563337,5.4273223126,0.0,5.40187028157,0.0,0.13471586974,0.13471586974,0.13471586974,0.0641747963185,0.013824954979,0.0623264934745,0.369516703299,0.081441745526
 01/01  04:00:00,0.73921041427,5.65480020101,0.0,5.62970643904,0.0,0.14016767871,0.14016767871,0.14016767871,0.0641747963185,0.013824954979,0.0539764305342,0.364315295158,0.0861072585702
 01/01  05:00:00,0.797221890758,6.10094881608,0.0,6.07680297433,0.0,0.151064849503,0.151064849503,0.151064849503,0.0641747963185,0.013824954979,0.0658228643082,0.350553236121,0.135137189529
 01/01  06:00:00,1.06736207157,6.27427271259,0.0,6.24732789382,0.0,0.154815807549,0.154815807549,0.154815807549,0.0641747963185,0.013824954979,0.080078180578,0.391189237216,0.346635094925
 01/01  07:00:00,1.70259213775,6.92897418684,0.0,6.89784209845,0.0,0.170799208542,0.170799208542,0.170799208542,0.147602041092,0.0317973945638,0.14038354292,0.451980694856,0.743385255773
 01/01  08:00:00,2.13160130907,6.82608135646,0.0,6.79300118006,0.0,0.168265601669,0.168265601669,0.168265601669,0.301621517204,0.0649772920051,0.228567290958,0.480263351619,0.856262255617
 01/01  09:00:00,2.04417379175,5.5967992498,0.0,5.56883187143,0.0,0.136061559535,0.136061559535,0.136061559535,0.2887865675,0.062212303412,0.30112795013,0.40603492295,0.83330648822
 01/01  10:00:00,1.77841129506,4.69606943949,0.0,4.67226693892,0.0,0.114306070262,0.114306070262,0.114306070262,0.147602041092,0.0317973945638,0.375064554145,0.345568553319,0.747428681675
 01/01  11:00:00,1.68167510086,5.03554893868,0.0,5.01118664271,0.0,0.124384487394,0.124384487394,0.124384487394,0.121932141685,0.0262674173776,0.395792849183,0.353695753539,0.642958451683
 01/01  12:00:00,1.56325285593,3.37452254114,0.0,3.35015278123,0.0,0.0827305290943,0.0827305290943,0.0827305290943,0.121932141685,0.0262674173776,0.413608485392,0.353804116208,0.54826616617
 01/01  13:00:00,1.45808150794,2.83247473775,0.0,2.80851549447,0.0,0.0699871311619,0.0699871311619,0.0699871311619,0.121932141685,0.0262674173776,0.399656479991,0.347844169381,0.475750168342
 01/01  14:00:00,1.3724340756,2.23408176143,0.0,2.20929402095,0.0,0.0553542784904,0.0553542784904,0.0553542784904,0.121932141685,0.0262674173776,0.361435815596,0.359872425705,0.43092799675
 01/01  15:00:00,1.32382122626,2.04383149195,0.0,2.01764799493,0.0,0.0507573247156,0.0507573247156,0.0507573247156,0.128349576704,0.0276499030931,0.331767743197,0.380136244918,0.388516433632
 01/01  16:00:00,1.40023616298,2.16333033063,0.0,2.13569136556,0.0,0.0540751788511,0.0540751788511,0.0540751788511,0.160436990796,0.0345623831569,0.339922588697,0.401266965488,0.393328055991
 01/01  17:00:00,1.7209883214,2.57480619249,0.0,2.54211414091,0.0,0.0645633623914,0.0645633623914,0.0645633623914,0.269534103112,0.0580648119413,0.389638662656,0.4746284928,0.447914888497
 01/01  18:00:00,2.33919575194,3.98927606533,0.0,3.94956044741,0.0,0.100453724925,0.100453724925,0.100453724925,0.500563357112,0.107834640941,0.480421867651,0.576597764883,0.556680396423
 01/01  19:00:00,2.75595843933,3.3155056823,0.0,3.27238650832,0.0,0.0817844340093,0.0817844340093,0.0817844340093,0.744427560815,0.160369475696,0.432594020017,0.626011142216,0.664127806576
 01/01  20:00:00,2.74175084268,3.37866264888,0.0,3.33415518231,0.0,0.0830430545218,0.0830430545218,0.0830430545218,0.789349924612,0.170046944353,0.349590650728,0.646166598759,0.686909669708
 01/01  21:00:00,2.53876338451,3.56856549022,0.0,3.52252791621,0.0,0.0877120643913,0.0877120643913,0.0877120643913,0.680252812296,0.146544515569,0.310730298291,0.668380946025,0.628498747939
 01/01  22:00:00,2.30538046271,3.95367568479,0.0,3.90871291796,0.0,0.0973584030148,0.0973584030148,0.0973584030148,0.571155699981,0.123042103946,0.293949140492,0.652776721604,0.550454393674
 01/01  23:00:00,1.87677102584,4.33538356191,0.0,4.29647404937,0.0,0.107089459811,0.107089459811,0.107089459811,0.429971093908,0.0926271950982,0.234174068073,0.564894596568,0.431370612382
 01/01  24:00:00,1.43858182214,4.92688673016,0.0,4.89307508777,0.0,0.121924704684,0.121924704684,0.121924704684,0.295204002519,0.0635947891276,0.151455627092,0.490882893238,0.29887580548
 01/02  01:00:00,0.977861297973,5.38506997919,0.0,5.35710260081,0.0,0.133374480614,0.133374480614,0.133374480614,0.154019476112,0.0331798974413,0.0863692416722,0.40603492295,0.148239279184
 01/02  02:00:00,0.803410103558,5.61459941379,0.0,5.58884882521,0.0,0.13895175777,0.13895175777,0.13895175777,0.0898447275923,0.0193549373138,0.0722387554862,0.373851210082,0.092524715313
 01/02  03:00:00,0.744064431503,5.785051818,0.0,5.75959978698,0.0,0.142825892593,0.142825892593,0.142825892593,0.0641747963185,0.013824954979,0.0597152550472,0.369516703299,0.0773628292671
 01/02  04:00:00,0.738848514746,5.89891715325,0.0,5.87382339128,0.0,0.145549943977,0.145549943977,0.145549943977,0.0641747963185,0.013824954979,0.0526110263622,0.364315295158,0.0817284979515
 01/02  05:00:00,0.782210493665,5.98636696342,0.0,5.96222112167,0.0,0.147679079595,0.147679079595,0.147679079595,0.0641747963185,0.013824954979,0.0631517086927,0.350553236121,0.126182717959
 01/02  06:00:00,1.03003207225,5.97751547083,0.0,5.95057065206,0.0,0.147343095629,0.147343095629,0.147343095629,0.0641747963185,0.013824954979,0.0759814879778,0.391189237216,0.320874500133
 01/02  07:00:00,1.60172202634,5.6746383909,0.0,5.64350630251,0.0,0.139632718953,0.139632718953,0.139632718953,0.147602041092,0.0317973945638,0.129758030703,0.451980694856,0.684307146168
 01/02  08:00:00,1.99995651066,5.28821817065,0.0,5.25513799426,0.0,0.129707214741,0.129707214741,0.129707214741,0.301621517204,0.0649772920051,0.207405929039,0.480263351619,0.78433720605
 01/02  09:00:00,1.9281582321,5.19640678849,0.0,5.16843941012,0.0,0.127752111924,0.127752111924,0.127752111924,0.2887865675,0.062212303412,0.268690649238,0.40603492295,0.758037677076
 01/02  10:00:00,1.67206556326,4.96391954664,0.0,4.94011704607,0.0,0.122383935724,0.122383935724,0.122383935724,0.147602041092,0.0317973945638,0.330033495679,0.345568553319,0.678036142877
 01/02  11:00:00,1.57954176563,5.34842548381,0.0,5.32406318783,0.0,0.13278044924,0.13278044924,0.13278044924,0.121932141685,0.0262674173776,0.344876619894,0.353695753539,0.583345383897
 01/02  12:00:00,1.47719038854,3.99492493294,0.0,3.97055517303,0.0,0.0986351614513,0.0986351614513,0.0986351614513,0.121932141685,0.0262674173776,0.361119725873,0.353804116208,0.498787825946
 01/02  13:00:00,1.38125790067,3.37636969387,0.0,3.35241045059,0.0,0.0838868677991,0.0838868677991,0.0838868677991,0.121932141685,0.0262674173776,0.3518459739,0.347844169381,0.43283733053
 01/02  14:00:00,1.32582869978,3.56950010133,0.0,3.54471236085,0.0,0.0895472104264,0.0895472104264,0.0895472104264,0.121932141685,0.0262674173776,0.317847783081,0.359872425705,0.393717721502
 01/02  15:00:00,1.28573857114,3.40122607362,0.0,3.37504257659,0.0,0.0854893753815,0.0854893753815,0.0854893753815,0.128349576704,0.0276499030931,0.292642171022,0.380136244918,0.35482730002
 01/02  16:00:00,1.35892741484,3.32961041663,0.0,3.30197145156,0.0,0.0833234990314,0.0833234990314,0.0833234990314,0.160436990796,0.0345623831569,0.302863615842,0.401266965488,0.35982996052
 01/02  17:00:00,1.65678982849,3.09936895497,0.0,3.06667690339,0.0,0.0774086337928,0.0774086337928,0.0774086337928,0.269534103112,0.0580648119413,0.353720743409,0.4746284928,0.406789043438
 01/02  18:00:00,2.24629087818,3.691305727,0.0,3.65159010909,0.0,0.0923272297785,0.0923272297785,0.0923272297785,0.500563357112,0.107834640941,0.445069937436,0.576597764883,0.50725394803
 01/02  19:00:00,2.64178442237,2.67605624462,0.0,2.63293707065,0.0,0.0660691142327,0.0660691142327,0.0660691142327,0.744427560815,0.160369475696,0.398283704478,0.626011142216,0.599979424934
 01/02  20:00:00,2.61296592233,2.4575345771,0.0,2.41302711053,0.0,0.0603516760331,0.0603516760331,0.0603516760331,0.789349924612,0.170046944353,0.315345896534,0.646166598759,0.615060882042
 01/02  21:00:00,2.4087188481,2.48262952532,0.0,2.43659195131,0.0,0.0609748907696,0.0609748907696,0.0609748907696,0.680252812296,0.146544515569,0.275874927963,0.668380946025,0.560046755479
 01/02  22:00:00,2.17674002398,2.50723193711,0.0,2.46226917028,0.0,0.0617191568625,0.0617191568625,0.0617191568625,0.571155699981,0.123042103946,0.258342283024,0.652776721604,0.493060058561
 01/02  23:00:00,1.76245002591,2.67884147863,0.0,2.63993196609,0.0,0.0661899563623,0.0661899563623,0.0661899563623,0.429971093908,0.0926271950982,0.205880856148,0.564894596568,0.386242327823
 01/02  24:00:00,1.34444516179,2.87762286018,0.0,2.84381121779,0.0,0.0714209843821,0.0714209843821,0.0714209843821,0.295204002519,0.0635947891276,0.135920781757,0.490882893238,0.270777710763
 01/03  01:00:00,0.923886652562,3.17856735786,0.0,3.15059997949,0.0,0.0791755510154,0.0791755510154,0.0791755510154,0.154019476112,0.0331798974413,0.0863692416722,0.40603492295,0.148463563371
 01/03  02:00:00,0.751522802234,3.48179416104,0.0,3.45604357246,0.0,0.0869523182091,0.0869523182091,0.0869523182091,0.0898447275923,0.0193549373138,0.0722387554862,0.373851210082,0.0926368535507
 01/03  03:00:00,0.691406037003,3.60517668852,0.0,3.57972465749,0.0,0.0900884423989,0.0900884423989,0.0900884423989,0.0641747963185,0.013824954979,0.0597152550472,0.369516703299,0.0774418849604
 01/03  04:00:00,0.686260594569,3.72185106592,0.0,3.69675730396,0.0,0.092873773816,0.092873773816,0.092873773816,0.0641747963185,0.013824954979,0.0526110263622,0.364315295158,0.081816747935
 01/03  05:00:00,0.728862003867,3.77308646959,0.0,3.74894062784,0.0,0.0941505981913,0.0941505981913,0.0941505981913,0.0641747963185,0.013824954979,0.0631517086927,0.350553236121,0.126362709565
 01/03  06:00:00,0.976413199129,3.73880754453,0.0,3.71186272576,0.0,0.0931553681773,0.0931553681773,0.0931553681773,0.0641747963185,0.013824954979,0.0759814879778,0.391189237216,0.32144335446
 01/03  07:00:00,1.55122071923,3.53441542401,0.0,3.50328333562,0.0,0.0878322121857,0.0878322121857,0.0878322121857,0.147602041092,0.0317973945638,0.129758030703,0.451980694856,0.685606345828
 01/03  08:00:00,1.96583958507,3.791573308,0.0,3.75849313161,0.0,0.0940728601026,0.0940728601026,0.0940728601026,0.301621517204,0.0649772920051,0.207405929039,0.480263351619,0.785854635102
 01/03  09:00:00,1.88510263221,3.35336764292,0.0,3.32540026455,0.0,0.0832196485124,0.0832196485124,0.0832196485124,0.2887865675,0.062212303412,0.268690649238,0.40603492295,0.759514540593
 01/03  10:00:00,1.63052517264,3.19843451336,0.0,3.17463201279,0.0,0.0795172107583,0.0795172107583,0.0795172107583,0.147602041092,0.0317973945638,0.330033495679,0.345568553319,0.679362477223
 01/03  11:00:00,1.54505665635,3.87486987035,0.0,3.85050757438,0.0,0.0971565217814,0.0971565217814,0.0971565217814,0.121932141685,0.0262674173776,0.344876619894,0.353695753539,0.584484202073
 01/03  12:00:00,1.45790744508,3.13694712218,0.0,3.11257736227,0.0,0.07838703533,0.07838703533,0.07838703533,0.121932141685,0.0262674173776,0.361119725873,0.353804116208,0.499753008608
 01/03  13:00:00,1.37070451448,2.90332411797,0.0,2.87936487468,0.0,0.0725038614133,0.0725038614133,0.0725038614133,0.121932141685,0.0262674173776,0.3518459739,0.347844169381,0.433666950728
 01/03  14:00:00,1.3056308301,2.74227786264,0.0,2.71749012216,0.0,0.0686057292912,0.0686057292912,0.0686057292912,0.121932141685,0.0262674173776,0.317847783081,0.359872425705,0.394461332962
 01/03  15:00:00,1.2687626228,2.71126073033,0.0,2.68507723331,0.0,0.0678508700311,0.0678508700311,0.0678508700311,0.128349576704,0.0276499030931,0.292642171022,0.380136244918,0.355489857029
 01/03  16:00:00,1.34299113496,2.66272527926,0.0,2.63508631418,0.0,0.0667173138944,0.0667173138944,0.0667173138944,0.160436990796,0.0345623831569,0.302863615842,0.401266965488,0.360499865777
 01/03  17:00:00,1.63978709776,2.38827490607,0.0,2.35558285448,0.0,0.0596413928151,0.0596413928151,0.0596413928151,0.269534103112,0.0580648119413,0.353720743409,0.4746284928,0.407553553682
 01/03  18:00:00,2.22977465752,2.99287421753,0.0,2.95315859961,0.0,0.0748517648531,0.0748517648531,0.0748517648531,0.500563357112,0.107834640941,0.445069937436,0.576597764883,0.508213192292
 01/03  19:00:00,2.64330342044,2.66106197665,0.0,2.61794280268,0.0,0.0664562052376,0.0664562052376,0.0664562052376,0.744427560815,0.160369475696,0.398283704478,0.626011142216,0.601111331992
 01/03  20:00:00,2.59842378007,1.82181549916,0.0,1.77730803259,0.0,0.0446553057137,0.0446553057137,0.0446553057137,0.789349924612,0.170046944353,0.315345896534,0.646166598759,0.616215110099
 01/03  21:00:00,2.39189500126,1.76450114784,0.0,1.71846357383,0.0,0.0430998834522,0.0430998834522,0.0430998834522,0.680252812296,0.146544515569,0.275874927963,0.668380946025,0.561097915954
 01/03  22:00:00,2.15986518438,1.79201850888,0.0,1.74705574205,0.0,0.0439204675101,0.0439204675101,0.0439204675101,0.571155699981,0.123042103946,0.258342283024,0.652776721604,0.493983908314
 01/03  23:00:00,1.75382440642,2.29207132037,0.0,2.25316180784,0.0,0.0568588463727,0.0568588463727,0.0568588463727,0.429971093908,0.0926271950982,0.205880856148,0.564894596568,0.386947818329
 01/03  24:00:00,1.34159886506,2.72760475992,0.0,2.69379311753,0.0,0.0681075502505,0.0681075502505,0.0681075502505,0.295204002519,0.0635947891276,0.135920781757,0.490882893238,0.271244848169
 01/04  01:00:00,0.929282871962,3.36812580015,0.0,3.34015842177,0.0,0.0843545453564,0.0843545453564,0.0843545453564,0.154019476112,0.0331798974413,0.0863692416722,0.40603492295,0.148680788431
 01/04  02:00:00,0.76647553985,4.06774431227,0.0,4.04199372369,0.0,0.10179648466,0.10179648466,0.10179648466,0.0898447275923,0.0193549373138,0.0722387554862,0.373851210082,0.0927454247149
 01/04  03:00:00,0.716084189183,4.60148248419,0.0,4.57603045316,0.0,0.114690058519,0.114690058519,0.114690058519,0.0641747963185,0.013824954979,0.0597152550472,0.369516703299,0.0775184210208
 01/04  04:00:00,0.715863918495,4.93191408425,0.0,4.90682032228,0.0,0.122391663081,0.122391663081,0.122391663081,0.0641747963185,0.013824954979,0.0526110263622,0.364315295158,0.0819021825965
 01/04  05:00:00,0.7683541908,5.38769506545,0.0,5.3635492237,0.0,0.133468539536,0.133468539536,0.133468539536,0.0641747963185,0.013824954979,0.0631517086927,0.350553236121,0.126536955153
 01/04  06:00:00,1.01855023286,5.45753705908,0.0,5.43059224031,0.0,0.134741715081,0.134741715081,0.134741715081,0.0641747963185,0.013824954979,0.0759814879778,0.391189237216,0.321994041287
 01/04  07:00:00,1.61259231141,6.00263904203,0.0,5.97150695364,0.0,0.147946038447,0.147946038447,0.147946038447,0.147602041092,0.0317973945638,0.129758030703,0.451980694856,0.686864111748
 01/04  08:00:00,2.01910893266,5.91455395141,0.0,5.88147377501,0.0,0.145873234718,0.145873234718,0.145873234718,0.301621517204,0.0649772920051,0.207405929039,0.480263351619,0.78732360808
 01/04  09:00:00,1.91748358714,4.69416547305,0.0,4.66619809467,0.0,0.11417094534,0.11417094534,0.11417094534,0.2887865675,0.062212303412,0.268690649238,0.40603492295,0.760944198697
 01/04  10:00:00,1.64290245991,3.72478263814,0.0,3.70098013757,0.0,0.0906105332588,0.0906105332588,0.0906105332588,0.147602041092,0.0317973945638,0.330033495679,0.345568553319,0.680646441998
 01/04  11:00:00,1.53830515088,3.62715122642,0.0,3.60278893045,0.0,0.0893025601821,0.0893025601821,0.0893025601821,0.121932141685,0.0262674173776,0.344876619894,0.353695753539,0.585586658202
 01/04  12:00:00,1.43288014275,2.14495608852,0.0,2.1205863286,0.0,0.0524253929156,0.0524253929156,0.0524253929156,0.121932141685,0.0262674173776,0.361119725873,0.353804116208,0.50068734869
 01/04  13:00:00,1.32923173892,1.24314452767,0.0,1.21918528438,0.0,0.0302279812202,0.0302279812202,0.0302279812202,0.121932141685,0.0262674173776,0.3518459739,0.347844169381,0.434470055361
 01/04  14:00:00,1.25793602783,0.83278742604,0.0,0.807999685559,0.0,0.0201909913235,0.0201909913235,0.0201909913235,0.121932141685,0.0262674173776,0.317847783081,0.359872425705,0.395181268662
 01/04  15:00:00,1.21516801012,0.568683693301,0.0,0.54250019628,0.0,0.0136148555734,0.0136148555734,0.0136148555734,0.128349576704,0.0276499030931,0.292642171022,0.380136244918,0.356131258808
 01/04  16:00:00,1.29297601967,0.665086044073,0.0,0.637447079002,0.0,0.0160536890399,0.0160536890399,0.0160536890399,0.160436990796,0.0345623831569,0.302863615842,0.401266965488,0.361148375348
 01/04  17:00:00,1.60165484728,0.847827232405,0.0,0.815135180822,0.0,0.0207690496057,0.0207690496057,0.0207690496057,0.269534103112,0.0580648119413,0.353720743409,0.4746284928,0.408293646408
 01/04  18:00:00,2.21178246204,2.22063639292,0.0,2.180920775,0.0,0.0559309598318,0.0559309598318,0.0559309598318,0.500563357112,0.107834640941,0.445069937436,0.576597764883,0.509141801837
 01/04  19:00:00,2.62670915813,1.96668053564,0.0,1.92356136167,0.0,0.0487662240839,0.0487662240839,0.0487662240839,0.744427560815,0.160369475696,0.398283704478,0.626011142216,0.602207050841
 01/04  20:00:00,2.61115075495,2.27783756994,0.0,2.23333010337,0.0,0.0562649572571,0.0562649572571,0.0562649572571,0.789349924612,0.170046944353,0.315345896534,0.646166598759,0.617332433435
 01/04  21:00:00,2.41919367136,2.80919750517,0.0,2.76315993116,0.0,0.0693809112589,0.0693809112589,0.0693809112589,0.680252812296,0.146544515569,0.275874927963,0.668380946025,0.56211555825
 01/04  22:00:00,2.19634513057,3.22598082209,0.0,3.18101805526,0.0,0.0795060673274,0.0795060673274,0.0795060673274,0.571155699981,0.123042103946,0.258342283024,0.652776721604,0.494878254689
 01/04  23:00:00,1.79691753802,4.01705466087,0.0,3.97814514834,0.0,0.0992690199327,0.0992690199327,0.0992690199327,0.429971093908,0.0926271950982,0.205880856148,0.564894596568,0.38763077637
 01/04  24:00:00,1.38551235886,4.52456201366,0.0,4.49075037127,0.0,0.111568826441,0.111568826441,0.111568826441,0.295204002519,0.0635947891276,0.135920781757,0.490882893238,0.271697065774
 01/05  01:00:00,0.975802013087,5.29759464878,0.0,5.26962727041,0.0,0.13066356661,0.13066356661,0.13066356661,0.154019476112,0.0331798974413,0.0863692416722,0.40603492295,0.148890908302
 01/05  02:00:00,0.802743469224,5.60835604242,0.0,5.58260545385,0.0,0.137959433264,0.137959433264,0.137959433264,0.0898447275923,0.0193549373138,0.0722387554862,0.373851210082,0.0928504054856
 01/05  03:00:00,0.745976471324,5.89743931576,0.0,5.87198728474,0.0,0.144508305207,0.144508305207,0.144508305207,0.0641747963185,0.013824954979,0.0597152550472,0.369516703299,0.0775924564742
 01/05  04:00:00,0.741249442791,6.03743950818,0.0,6.01234574621,0.0,0.147694517142,0.147694517142,0.147694517142,0.0641747963185,0.013824954979,0.0526110263622,0.364315295158,0.0819848528304
 01/05  05:00:00,0.780603283126,5.95767382358,0.0,5.93352798183,0.0,0.14554916678,0.14554916678,0.14554916678,0.0641747963185,0.013824954979,0.0631517086927,0.350553236121,0.126705420236
 01/05  06:00:00,1.01959853293,5.53978532486,0.0,5.51284050609,0.0,0.135257658749,0.135257658749,0.135257658749,0.0641747963185,0.013824954979,0.0759814879778,0.391189237216,0.322526397688
 01/05  07:00:00,1.6090995419,5.83830788979,0.0,5.8071758014,0.0,0.143237492524,0.143237492524,0.143237492524,0.147602041092,0.0317973945638,0.129758030703,0.451980694856,0.688079888161
 01/05  08:00:00,1.99351534385,4.86151300991,0.0,4.82843283351,0.0,0.118859590322,0.118859590322,0.118859590322,0.301621517204,0.0649772920051,0.207405929039,0.480263351619,0.788743663661
 01/05  09:00:00,1.91101957535,4.3314980043,0.0,4.30353062592,0.0,0.106324867164,0.106324867164,0.106324867164,0.2887865675,0.062212303412,0.268690649238,0.40603492295,0.762326265085
 01/05  10:00:00,1.6470898881,3.79664164637,0.0,3.7728391458,0.0,0.0935567381485,0.0935567381485,0.0935567381485,0.147602041092,0.0317973945638,0.330033495679,0.345568553319,0.681887665294
 01/05  11:00:00,1.53422212713,3.40014795313,0.0,3.37578565715,0.0,0.0841537957341,0.0841537957341,0.0841537957341,0.121932141685,0.0262674173776,0.344876619894,0.353695753539,0.5866523989
 01/05  12:00:00,1.44068465749,2.39650588914,0.0,2.37213612923,0.0,0.0593266934577,0.0593266934577,0.0593266934577,0.121932141685,0.0262674173776,0.361119725873,0.353804116208,0.501590562891
 01/05  13:00:00,1.33908573565,1.58747952619,0.0,1.56352028291,0.0,0.0393056158429,0.0393056158429,0.0393056158429,0.121932141685,0.0262674173776,0.3518459739,0.347844169381,0.435246417467
 01/05  14:00:00,1.26547525023,1.09434654696,0.0,1.06955880648,0.0,0.0270342835227,0.0270342835227,0.0270342835227,0.121932141685,0.0262674173776,0.317847783081,0.359872425705,0.39587719886
 01/05  15:00:00,1.2313374751,1.17414898752,0.0,1.1479654905,0.0,0.0291642723014,0.0291642723014,0.0291642723014,0.128349576704,0.0276499030931,0.292642171022,0.380136244918,0.356751307064
 01/05  16:00:00,1.30214876018,0.990973099898,0.0,0.963334134827,0.0,0.024599508128,0.024599508128,0.024599508128,0.160436990796,0.0345623831569,0.302863615842,0.401266965488,0.361775296765
 01/05  17:00:00,1.603322218,0.880671160589,0.0,0.847979109007,0.0,0.021720964311,0.021720964311,0.021720964311,0.269534103112,0.0580648119413,0.353720743409,0.4746284928,0.409009102427
 01/05  18:00:00,2.20043462614,1.73913651585,0.0,1.69942089794,0.0,0.0436854312392,0.0436854312392,0.0436854312392,0.500563357112,0.107834640941,0.445069937436,0.576597764883,0.510039494525
 01/05  19:00:00,2.60228051407,0.95885104984,0.0,0.915731875869,0.0,0.0232783550325,0.0232783550325,0.0232783550325,0.744427560815,0.160369475696,0.398283704478,0.626011142216,0.603266275835
 01/05  20:00:00,2.57818411729,0.921215320869,0.0,0.876707854297,0.0,0.0222182001303,0.0222182001303,0.0222182001303,0.789349924612,0.170046944353,0.315345896534,0.646166598759,0.618412552904
 01/05  21:00:00,2.37869015093,1.14571787642,0.0,1.09968030241,0.0,0.0278936550537,0.0278936550537,0.0278936550537,0.680252812296,0.146544515569,0.275874927963,0.668380946025,0.563099294028
 01/05  22:00:00,2.15139108522,1.37173633652,0.0,1.32677356968,0.0,0.0336874497554,0.0336874497554,0.0336874497554,0.571155699981,0.123042103946,0.258342283024,0.652776721604,0.495742826908
 01/05  23:00:00,1.7368274237,1.55617591684,0.0,1.5172664043,0.0,0.03851868236,0.03851868236,0.03851868236,0.429971093908,0.0926271950982,0.205880856148,0.564894596568,0.388290999618
 01/05  24:00:00,1.32117602076,1.87897749746,0.0,1.84516585507,0.0,0.0467953244648,0.0467953244648,0.0467953244648,0.295204002519,0.0635947891276,0.135920781757,0.490882893238,0.272134229657
 01/06  01:00:00,0.897765738548,2.0941493311,0.0,2.06618195273,0.0,0.0524243874071,0.0524243874071,0.0524243874071,0.154019476112,0.0331798974413,0.0863692416722,0.40603492295,0.149093812965
 01/06  02:00:00,0.722902603144,2.31296777036,0.0,2.28721718179,0.0,0.0580172712692,0.0580172712692,0.0580172712692,0.0898447275923,0.0193549373138,0.0722387554862,0.373851210082,0.0929517013999
 01/06  03:00:00,0.660997551222,2.37007123145,0.0,2.34461920042,0.0,0.0594580105517,0.0594580105517,0.0594580105517,0.0641747963185,0.013824954979,0.0597152550472,0.369516703299,0.0776638310273
 01/06  04:00:00,0.652356995188,2.34059691073,0.0,2.31550314876,0.0,0.0587224169294,0.0587224169294,0.0587224169294,0.0641747963185,0.013824954979,0.0526110263622,0.364315295158,0.0820645054405
 01/06  05:00:00,0.691331649586,2.23581070936,0.0,2.21166486761,0.0,0.0561150069379,0.0561150069379,0.0561150069379,0.0641747963185,0.013824954979,0.0631517086927,0.350553236121,0.126867946538
 01/06  06:00:00,0.939366238675,2.17502684686,0.0,2.14808202809,0.0,0.0545115002004,0.0545115002004,0.0545115002004,0.0641747963185,0.013824954979,0.0759814879778,0.391189237216,0.323040261982
 01/06  07:00:00,1.51343363701,1.85761566364,0.0,1.82648357524,0.0,0.0463979776165,0.0463979776165,0.0463979776165,0.147602041092,0.0317973945638,0.129758030703,0.451980694856,0.689253498179
 01/06  08:00:00,1.91590782114,1.60636437367,0.0,1.57328419728,0.0,0.0398813236704,0.0398813236704,0.0398813236704,0.301621517204,0.0649772920051,0.207405929039,0.480263351619,0.790114407606
 01/06  09:00:00,1.83857538593,1.31197681675,0.0,1.28400943838,0.0,0.0325466119031,0.0325466119031,0.0325466119031,0.2887865675,0.062212303412,0.268690649238,0.40603492295,0.763660330932
 01/06  10:00:00,1.57360788442,0.769331103438,0.0,0.745528602868,0.0,0.0188766202233,0.0188766202233,0.0188766202233,0.147602041092,0.0317973945638,0.330033495679,0.345568553319,0.683085779537
 01/06  11:00:00,1.46443564049,0.549708342918,0.0,0.525346046944,0.0,0.013338584731,0.013338584731,0.013338584731,0.121932141685,0.0262674173776,0.344876619894,0.353695753539,0.587681123268
 01/06  12:00:00,1.38456364038,0.116293951188,0.0,0.091924191275,0.0,0.00233383584125,0.00233383584125,0.00233383584125,0.121932141685,0.0262674173776,0.361119725873,0.353804116208,0.502462403395
 01/06  13:00:00,1.29985646781,0.0239592432832,0.0,0.0,0.0,0.0,0.0,0.0,0.121932141685,0.0262674173776,0.3518459739,0.347844169381,0.435322765471
