Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Electricity [kW](Hourly) 
 01/01  01:00:00,0.89875441178,1.49068447048,0.0,1.4627170921,0.0,0.0371297251014,0.0371297251014,0.0371297251014,0.154019476112,0.0331798974413,0.092942924749,0.40603492295,0.158803465427
 01/01  02:00:00,0.715687887709,1.67142083166,0.0,1.64567024308,0.0,0.0417228230155,0.0417228230155,0.0417228230155,0.0898447275923,0.0193549373138,0.0761857795615,0.373851210082,0.0980844101439
 01/01  03:00:00,0.655507822435,1.90708194534,0.0,1.88162991431,0.0,0.0475791288385,0.0475791288385,0.0475791288385,0.0641747963185,0.013824954979,0.0623264934745,0.369516703299,0.0814417455259
 01/01  04:00:00,0.651982288217,2.1213434979,0.0,2.09624973593,0.0,0.0529395558729,0.0529395558729,0.0529395558729,0.0641747963185,0.013824954979,0.0539764305342,0.364315295158,0.0861072553544
 01/01  05:00:00,0.702761993459,2.26851955837,0.0,2.24437371662,0.0,0.056604939458,0.056604939458,0.056604939458,0.0641747963185,0.013824954979,0.0658228643082,0.350553236121,0.135137202275
 01/01  06:00:00,0.968645265761,2.25334294978,0.0,2.22639813101,0.0,0.0560990008816,0.0560990008816,0.0560990008816,0.0641747963185,0.013824954979,0.080078180578,0.391189237216,0.346635095787
 01/01  07:00:00,1.59576710208,2.57402251491,0.0,2.54289042651,0.0,0.0639741760859,0.0639741760859,0.0639741760859,0.147602041092,0.0317973945638,0.14038354292,0.451980694856,0.743385252559
 01/01  08:00:00,2.02357381262,2.42554837647,0.0,2.39246820007,0.0,0.0602381052613,0.0602381052613,0.0602381052613,0.301621517204,0.0649772920051,0.228567290958,0.480263351619,0.856262255572
 01/01  09:00:00,1.96157234853,2.16195964273,0.0,2.13399226436,0.0,0.0534601163207,0.0534601163207,0.0534601163207,0.2887865675,0.062212303412,0.30112795013,0.40603492295,0.833306488219
 01/01  10:00:00,1.71715262744,2.14024554914,0.0,2.11644304857,0.0,0.0530474026444,0.0530474026444,0.0530474026444,0.147602041092,0.0317973945638,0.375064554145,0.345568553319,0.747428681675
