Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Electricity [kW](Hourly) 
 01/01  01:00:00,0.952275295609,3.69179531928,0.0,3.6638279409,0.0,0.0906506088406,0.0906506088406,0.0906506088406,0.154019476112,0.0331798974413,0.092942924749,0.40603492295,0.158803465516
 01/01  02:00:00,0.772412747033,3.99642289744,0.0,3.97067230886,0.0,0.0984476823367,0.0984476823367,0.0984476823367,0.0898447275923,0.0193549373138,0.0761857795615,0.373851210082,0.0980844101463
 01/01  03:00:00,0.70979353624,4.12859587074,0.0,4.10314383972,0.0,0.101864831967,0.101864831967,0.101864831967,0.0641747963185,0.013824954979,0.0623264934745,0.369516703299,0.0814417562024
 01/01  04:00:00,0.69811731274,4.01762573438,0.0,3.99253197241,0.0,0.0990745688633,0.0990745688633,0.0990745688633,0.0641747963185,0.013824954979,0.0539764305342,0.364315295158,0.0861072668872
 01/01  05:00:00,0.745571921638,4.03116901236,0.0,4.00702317061,0.0,0.0994148811725,0.0994148811725,0.0994148811725,0.0641747963185,0.013824954979,0.0658228643082,0.350553236121,0.13513718874
 01/01  06:00:00,1.00952353527,3.92615672775,0.0,3.89921190898,0.0,0.0969772712706,0.0969772712706,0.0969772712706,0.0641747963185,0.013824954979,0.080078180578,0.391189237216,0.346635094912
 01/01  07:00:00,1.62460722806,3.76362789712,0.0,3.73249580873,0.0,0.092814302091,0.092814302091,0.092814302091,0.147602041092,0.0317973945638,0.14038354292,0.451980694856,0.743385252541
 01/01  08:00:00,2.06438578593,4.09784386385,0.0,4.06476368745,0.0,0.101050078568,0.101050078568,0.101050078568,0.301621517204,0.0649772920051,0.228567290958,0.480263351619,0.856262255572
 01/01  09:00:00,2.0039248613,3.86929742043,0.0,3.84133004206,0.0,0.0958126290857,0.0958126290857,0.0958126290857,0.2887865675,0.062212303412,0.30112795013,0.40603492295,0.833306488219
 01/01  10:00:00,1.75914368012,3.84739329368,0.0,3.8235907931,0.0,0.0950384553263,0.0950384553263,0.0950384553263,0.147602041092,0.0317973945638,0.375064554145,0.345568553319,0.747428681675
 01/01  11:00:00,1.66175349261,4.20944528745,0.0,4.18508299147,0.0,0.104462883088,0.104462883088,0.104462883088,0.121932141685,0.0262674173776,0.395792849183,0.353695753539,0.642958447734
 01/01  12:00:00,1.56528441281,3.42773006971,0.0,3.40336030979,0.0,0.0847620938236,0.0847620938236,0.0847620938236,0.121932141685,0.0262674173776,0.413608485392,0.353804116208,0.548266158326
 01/01  13:00:00,1.45617195541,2.75492498108,0.0,2.7309657378,0.0,0.068077581697,0.068077581697,0.068077581697,0.121932141685,0.0262674173776,0.399656479991,0.347844169381,0.475750165276
 01/01  14:00:00,1.35705927571,1.63148107157,0.0,1.60669333109,0.0,0.0399794801913,0.0399794801913,0.0399794801913,0.121932141685,0.0262674173776,0.361435815596,0.359872425705,0.430927995154
 01/01  15:00:00,1.30303969587,1.22202207354,0.0,1.19583857652,0.0,0.0299757952455,0.0299757952455,0.0299757952455,0.128349576704,0.0276499030931,0.331767743197,0.380136244918,0.388516432717
 01/01  16:00:00,1.37480776628,1.16845733828,0.0,1.14081837321,0.0,0.0286467821478,0.0286467821478,0.0286467821478,0.160436990796,0.0345623831569,0.339922588697,0.401266965488,0.393328055991
 01/01  17:00:00,1.68579267121,1.18795506144,0.0,1.15526300986,0.0,0.0293677122037,0.0293677122037,0.0293677122037,0.269534103112,0.0580648119413,0.389638662656,0.4746284928,0.447914888497
 01/01  18:00:00,2.30730809076,2.72164009085,0.0,2.68192447293,0.0,0.0685660608987,0.0685660608987,0.0685660608987,0.500563357112,0.107834640941,0.480421867651,0.576597764883,0.556680399269
 01/01  19:00:00,2.71368116188,1.61894109452,0.0,1.57582192055,0.0,0.0395071539388,0.0395071539388,0.0395071539388,0.744427560815,0.160369475696,0.432594020017,0.626011142216,0.664127809193
 01/01  20:00:00,2.69994960675,1.6915624554,0.0,1.64705498883,0.0,0.0412418183009,0.0412418183009,0.0412418183009,0.789349924612,0.170046944353,0.349590650728,0.646166598759,0.686909670001
 01/01  21:00:00,2.50120245282,2.04548561865,0.0,1.99944804465,0.0,0.0501511345646,0.0501511345646,0.0501511345646,0.680252812296,0.146544515569,0.310730298291,0.668380946025,0.628498746075
 01/01  22:00:00,2.27393310582,2.67312464698,0.0,2.62816188015,0.0,0.0659110275658,0.0659110275658,0.0659110275658,0.571155699981,0.123042103946,0.293949140492,0.652776721604,0.550454412229
 01/01  23:00:00,1.85038204398,3.26880755452,0.0,3.22989804199,0.0,0.0807004760196,0.0807004760196,0.0807004760196,0.429971093908,0.0926271950982,0.234174068073,0.564894596568,0.431370614313
 01/01  24:00:00,1.40624331387,3.62274721655,0.0,3.58893557416,0.0,0.0895861963464,0.0895861963464,0.0895861963464,0.295204002519,0.0635947891276,0.151455627092,0.490882893238,0.298875805545
 01/02  01:00:00,0.946294813176,4.13177871111,0.0,4.10381133273,0.0,0.101807993406,0.101807993406,0.101807993406,0.154019476112,0.0331798974413,0.0863692416722,0.40603492295,0.148239281594
 01/02  02:00:00,0.775930646408,4.5200273521,0.0,4.49427676352,0.0,0.111472300301,0.111472300301,0.111472300301,0.0898447275923,0.0193549373138,0.0722387554862,0.373851210082,0.092524715632
 01/02  03:00:00,0.721058204969,4.86586021579,0.0,4.84040818476,0.0,0.119819666033,0.119819666033,0.119819666033,0.0641747963185,0.013824954979,0.0597152550472,0.369516703299,0.0773628292928
 01/02  04:00:00,0.721219005034,5.1989334901,0.0,5.17383972813,0.0,0.127920392887,0.127920392887,0.127920392887,0.0641747963185,0.013824954979,0.0526110263622,0.364315295158,0.0817285393283
 01/02  05:00:00,0.768212459942,5.43923894508,0.0,5.41509310333,0.0,0.133680970326,0.133680970326,0.133680970326,0.0641747963185,0.013824954979,0.0631517086927,0.350553236121,0.126182793505
 01/02  06:00:00,1.01960531667,5.58384771079,0.0,5.55690289202,0.0,0.136916266209,0.136916266209,0.136916266209,0.0641747963185,0.013824954979,0.0759814879778,0.391189237216,0.320874573971
 01/02  07:00:00,1.61553787551,6.25540345914,0.0,6.22427137075,0.0,0.153448540199,0.153448540199,0.153448540199,0.147602041092,0.0317973945638,0.129758030703,0.451980694856,0.684307174099
 01/02  08:00:00,2.00285659036,5.43920715499,0.0,5.40612697859,0.0,0.132607293482,0.132607293482,0.132607293482,0.301621517204,0.0649772920051,0.207405929039,0.480263351619,0.784337207011
 01/02  09:00:00,1.9185637769,4.87015108295,0.0,4.84218370457,0.0,0.118157619174,0.118157619174,0.118157619174,0.2887865675,0.062212303412,0.268690649238,0.40603492295,0.758037714623
 01/02  10:00:00,1.66822118708,4.84221967511,0.0,4.81841717454,0.0,0.11853955122,0.11853955122,0.11853955122,0.147602041092,0.0317973945638,0.330033495679,0.345568553319,0.678036151205
 01/02  11:00:00,1.58272068016,5.50133919889,0.0,5.47697690292,0.0,0.13595936371,0.13595936371,0.13595936371,0.121932141685,0.0262674173776,0.344876619894,0.353695753539,0.583345383957
 01/02  12:00:00,1.48706810989,4.41301138901,0.0,4.3886416291,0.0,0.108512834897,0.108512834897,0.108512834897,0.121932141685,0.0262674173776,0.361119725873,0.353804116208,0.498787873849
 01/02  13:00:00,1.39279255553,3.86748389437,0.0,3.84352465109,0.0,0.0954214905446,0.0954214905446,0.0954214905446,0.121932141685,0.0262674173776,0.3518459739,0.347844169381,0.432837362647
 01/02  14:00:00,1.3269565035,3.6582241519,0.0,3.63343641141,0.0,0.0906750052424,0.0906750052424,0.0906750052424,0.121932141685,0.0262674173776,0.317847783081,0.359872425705,0.393717730412
 01/02  15:00:00,1.28800565018,3.53527751167,0.0,3.50909401465,0.0,0.0877564544201,0.0877564544201,0.0877564544201,0.128349576704,0.0276499030931,0.292642171022,0.380136244918,0.354827300021
 01/02  16:00:00,1.36273378715,3.50016353894,0.0,3.47252457387,0.0,0.0871298713418,0.0871298713418,0.0871298713418,0.160436990796,0.0345623831569,0.302863615842,0.401266965488,0.35982996052
 01/02  17:00:00,1.66104987749,3.28965828541,0.0,3.25696623383,0.0,0.0816686754813,0.0816686754813,0.0816686754813,0.269534103112,0.0580648119413,0.353720743409,0.4746284928,0.40678905075
 01/02  18:00:00,2.25155295815,3.92539604259,0.0,3.88568042467,0.0,0.0975893070874,0.0975893070874,0.0975893070874,0.500563357112,0.107834640941,0.445069937436,0.576597764883,0.507253950693
 01/02  19:00:00,2.64811002256,2.94626258195,0.0,2.90314340798,0.0,0.0723946632085,0.0723946632085,0.0723946632085,0.744427560815,0.160369475696,0.398283704478,0.626011142216,0.599979476142
 01/02  20:00:00,2.61964032152,2.73975030212,0.0,2.69524283555,0.0,0.0670260296545,0.0670260296545,0.0670260296545,0.789349924612,0.170046944353,0.315345896534,0.646166598759,0.61506092761
 01/02  21:00:00,2.41647192823,2.80488356994,0.0,2.75884599593,0.0,0.0687279712596,0.0687279712596,0.0687279712596,0.680252812296,0.146544515569,0.275874927963,0.668380946025,0.560046755121
 01/02  22:00:00,2.18959054139,3.03342993642,0.0,2.98846716959,0.0,0.074569680056,0.074569680056,0.074569680056,0.571155699981,0.123042103946,0.258342283024,0.652776721604,0.493060052774
 01/02  23:00:00,1.7773968439,3.28846801338,0.0,3.24955850084,0.0,0.0811367748287,0.0811367748287,0.0811367748287,0.429971093908,0.0926271950982,0.205880856148,0.564894596568,0.386242327353
 01/02  24:00:00,1.36566625518,3.74434510671,0.0,3.71053346432,0.0,0.092642077783,0.092642077783,0.092642077783,0.295204002519,0.0635947891276,0.135920781757,0.490882893238,0.27077771075
 01/03  01:00:00,0.947644918504,4.1515972896,0.0,4.12362991123,0.0,0.102933804656,0.102933804656,0.102933804656,0.154019476112,0.0331798974413,0.0863692416722,0.40603492295,0.148463575672
 01/03  02:00:00,0.775346898271,4.47037468265,0.0,4.44462409407,0.0,0.110776400952,0.110776400952,0.110776400952,0.0898447275923,0.0193549373138,0.0722387554862,0.373851210082,0.0926368668447
 01/03  03:00:00,0.71651882651,4.65167609739,0.0,4.62622406637,0.0,0.115201230399,0.115201230399,0.115201230399,0.0641747963185,0.013824954979,0.0597152550472,0.369516703299,0.0774418864684
 01/03  04:00:00,0.711494023935,4.77759346766,0.0,4.75249970569,0.0,0.118107203077,0.118107203077,0.118107203077,0.0641747963185,0.013824954979,0.0526110263622,0.364315295158,0.08181674804
 01/03  05:00:00,0.758219044055,4.99834935766,0.0,4.9742035159,0.0,0.123507638376,0.123507638376,0.123507638376,0.0641747963185,0.013824954979,0.0631517086927,0.350553236121,0.126362709569
