Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Electricity [kW](Hourly) 
 01/01  01:00:00,0.909481987998,1.84499397826,0.0,1.81702659989,0.0,0.0478573294639,0.0478573294639,0.0478573294639,0.154019476112,0.0331798974413,0.092942924749,0.40603492295,0.158803437282
 01/01  02:00:00,0.738424592891,2.47286777238,0.0,2.44711718381,0.0,0.0644595221719,0.0644595221719,0.0644595221719,0.0898447275923,0.0193549373138,0.0761857795615,0.373851210082,0.0980844161694
 01/01  03:00:00,0.684783710432,2.96222140483,0.0,2.93676937381,0.0,0.076855015596,0.076855015596,0.076855015596,0.0641747963185,0.013824954979,0.0623264934745,0.369516703299,0.0814417467655
 01/01  04:00:00,0.688820580992,3.47150446028,0.0,3.44641069831,0.0,0.0897778405526,0.0897778405526,0.0897778405526,0.0641747963185,0.013824954979,0.0539764305342,0.364315295158,0.0861072634496
 01/01  05:00:00,0.74463980666,3.8196320933,0.0,3.79548625155,0.0,0.0984827634359,0.0984827634359,0.0984827634359,0.0641747963185,0.013824954979,0.0658228643082,0.350553236121,0.135137191498
 01/01  06:00:00,1.0158499918,4.02158126823,0.0,3.99463644946,0.0,0.103303727734,0.103303727734,0.103303727734,0.0641747963185,0.013824954979,0.080078180578,0.391189237216,0.346635094974
 01/01  07:00:00,1.65133994867,4.65822180572,0.0,4.62708971733,0.0,0.119546986543,0.119546986543,0.119546986543,0.147602041092,0.0317973945638,0.14038354292,0.451980694856,0.743385288693
 01/01  08:00:00,2.08133947079,4.59579468291,0.0,4.56271450651,0.0,0.118003759105,0.118003759105,0.118003759105,0.301621517204,0.0649772920051,0.228567290958,0.480263351619,0.856262259903
 01/01  09:00:00,2.00701722402,3.89667804965,0.0,3.86871067127,0.0,0.098904991745,0.098904991745,0.098904991745,0.2887865675,0.062212303412,0.30112795013,0.40603492295,0.833306488282
 01/01  10:00:00,1.73800069204,2.92285308465,0.0,2.89905058408,0.0,0.073895467243,0.073895467243,0.073895467243,0.147602041092,0.0317973945638,0.375064554145,0.345568553319,0.747428681676
