Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Electricity [kW](Hourly) 
 01/01  01:00:00,1.07539261865,8.40878113573,0.0,8.38081375735,0.0,0.213767941973,0.213767941973,0.213767941973,0.154019476112,0.0331798974413,0.092942924749,0.40603492295,0.158803455425
 01/01  02:00:00,0.894212786902,8.67347476476,0.0,8.64772417618,0.0,0.220247724093,0.220247724093,0.220247724093,0.0898447275923,0.0193549373138,0.0761857795615,0.373851210082,0.098084408259
 01/01  03:00:00,0.840039771656,9.12591538848,0.0,9.10046335745,0.0,0.232111078268,0.232111078268,0.232111078268,0.0641747963185,0.013824954979,0.0623264934745,0.369516703299,0.0814417453175
 01/01  04:00:00,0.835981724896,9.30269783784,0.0,9.27760407587,0.0,0.236938992575,0.236938992575,0.236938992575,0.0641747963185,0.013824954979,0.0539764305342,0.364315295158,0.0861072553305
 01/01  05:00:00,0.886416937002,9.44907490454,0.0,9.42492906279,0.0,0.240259896604,0.240259896604,0.240259896604,0.0641747963185,0.013824954979,0.0658228643082,0.350553236121,0.135137188672
 01/01  06:00:00,1.15317711857,9.47331192948,0.0,9.44636711071,0.0,0.240630854574,0.240630854574,0.240630854574,0.0641747963185,0.013824954979,0.080078180578,0.391189237216,0.346635094908
 01/01  07:00:00,1.76809004394,9.31706447403,0.0,9.28593238564,0.0,0.236297117963,0.236297117963,0.236297117963,0.147602041092,0.0317973945638,0.14038354292,0.451980694856,0.743385252541
 01/01  08:00:00,2.19933185386,9.32005951297,0.0,9.28697933658,0.0,0.235996146506,0.235996146506,0.235996146506,0.301621517204,0.0649772920051,0.228567290958,0.480263351619,0.856262255572
 01/01  09:00:00,2.14108359626,9.20269141662,0.0,9.17472403824,0.0,0.232971375089,0.232971375089,0.232971375089,0.2887865675,0.062212303412,0.30112795013,0.40603492295,0.833306477176
 01/01  10:00:00,1.88992073403,8.92166725033,0.0,8.89786474976,0.0,0.225815511845,0.225815511845,0.225815511845,0.147602041092,0.0317973945638,0.375064554145,0.345568553319,0.747428679064
 01/01  11:00:00,1.81624374814,10.1249469417,0.0,10.1005846457,0.0,0.25895313865,0.25895313865,0.25895313865,0.121932141685,0.0262674173776,0.395792849183,0.353695753539,0.642958447701
 01/01  12:00:00,1.6947207034,8.45430737622,0.0,8.42993761631,0.0,0.214198372623,0.214198372623,0.214198372623,0.121932141685,0.0262674173776,0.413608485392,0.353804116208,0.548266170116
 01/01  13:00:00,1.58732783266,7.82383927252,0.0,7.79988002924,0.0,0.199233454688,0.199233454688,0.199233454688,0.121932141685,0.0262674173776,0.399656479991,0.347844169381,0.475750169536
 01/01  14:00:00,1.50355219141,7.28500105115,0.0,7.26021331066,0.0,0.186472394995,0.186472394995,0.186472394995,0.121932141685,0.0262674173776,0.361435815596,0.359872425705,0.430927996053
 01/01  15:00:00,1.45678826135,7.17500492227,0.0,7.14882142525,0.0,0.18372435982,0.18372435982,0.18372435982,0.128349576704,0.0276499030931,0.331767743197,0.380136244918,0.388516433622
 01/01  16:00:00,1.52794452404,7.06363294857,0.0,7.0359939835,0.0,0.181783539906,0.181783539906,0.181783539906,0.160436990796,0.0345623831569,0.339922588697,0.401266965488,0.393328055991
 01/01  17:00:00,1.83227668216,6.84489591828,0.0,6.8122038667,0.0,0.17585171058,0.17585171058,0.17585171058,0.269534103112,0.0580648119413,0.389638662656,0.4746284928,0.447914901075
 01/01  18:00:00,2.45483136018,8.35439109768,0.0,8.31467547977,0.0,0.216089327913,0.216089327913,0.216089327913,0.500563357112,0.107834640941,0.480421867651,0.576597764883,0.556680401682
 01/01  19:00:00,2.85242014461,6.99032431808,0.0,6.94720514411,0.0,0.178246137594,0.178246137594,0.178246137594,0.744427560815,0.160369475696,0.432594020017,0.626011142216,0.664127808273
 01/01  20:00:00,2.83321484855,6.86484009157,0.0,6.820332625,0.0,0.174507059965,0.174507059965,0.174507059965,0.789349924612,0.170046944353,0.349590650728,0.646166598759,0.686909670134
 01/01  21:00:00,2.63323286618,7.15190584876,0.0,7.10586827475,0.0,0.182181546048,0.182181546048,0.182181546048,0.680252812296,0.146544515569,0.310730298291,0.668380946025,0.628498747947
 01/01  22:00:00,2.3991075305,7.5050105686,0.0,7.46004780176,0.0,0.191085452593,0.191085452593,0.191085452593,0.571155699981,0.123042103946,0.293949140492,0.652776721604,0.550454411881
 01/01  23:00:00,1.9729626493,7.98441586335,0.0,7.94550635082,0.0,0.20328107838,0.20328107838,0.20328107838,0.429971093908,0.0926271950982,0.234174068073,0.564894596568,0.431370617277
 01/01  24:00:00,1.5332542818,8.50663734382,0.0,8.47282570143,0.0,0.216597162607,0.216597162607,0.216597162607,0.295204002519,0.0635947891276,0.151455627092,0.490882893238,0.298875807217
 01/02  01:00:00,1.0754305578,9.071248775,0.0,9.04328139662,0.0,0.23094372439,0.23094372439,0.23094372439,0.154019476112,0.0331798974413,0.0863692416722,0.40603492295,0.148239295238
 01/02  02:00:00,0.906183472137,9.50477355706,0.0,9.47902296848,0.0,0.241725103685,0.241725103685,0.241725103685,0.0898447275923,0.0193549373138,0.0722387554862,0.373851210082,0.0925247379777
 01/02  03:00:00,0.851787291261,9.8666079296,0.0,9.84115589857,0.0,0.250548728276,0.250548728276,0.250548728276,0.0641747963185,0.013824954979,0.0597152550472,0.369516703299,0.0773628533414
 01/02  04:00:00,0.850733742186,10.1508251535,0.0,10.1257313916,0.0,0.257435147303,0.257435147303,0.257435147303,0.0641747963185,0.013824954979,0.0526110263622,0.364315295158,0.0817285220648
 01/02  05:00:00,0.898135743425,10.4050795651,0.0,10.3809337234,0.0,0.26360430566,0.26360430566,0.26360430566,0.0641747963185,0.013824954979,0.0631517086927,0.350553236121,0.126182741655
 01/02  06:00:00,1.14968221812,10.5547523192,0.0,10.5278075004,0.0,0.266993223898,0.266993223898,0.266993223898,0.0641747963185,0.013824954979,0.0759814879778,0.391189237216,0.320874517734
 01/02  07:00:00,1.72520685416,10.414305093,0.0,10.3831730046,0.0,0.263117542927,0.263117542927,0.263117542927,0.147602041092,0.0317973945638,0.129758030703,0.451980694856,0.68430715002
 01/02  08:00:00,2.12507572597,10.1233378292,0.0,10.0902576528,0.0,0.25482642978,0.25482642978,0.25482642978,0.301621517204,0.0649772920051,0.207405929039,0.480263351619,0.784337206319
 01/02  09:00:00,2.05586518773,10.1519642408,0.0,10.1239968624,0.0,0.25545903001,0.25545903001,0.25545903001,0.2887865675,0.062212303412,0.268690649238,0.40603492295,0.758037714618
 01/02  10:00:00,1.80279929446,10.0243463506,0.0,10.00054385,0.0,0.253117658598,0.253117658598,0.253117658598,0.147602041092,0.0317973945638,0.330033495679,0.345568553319,0.678036151205
 01/02  11:00:00,1.7386467089,11.4513804485,0.0,11.4270181525,0.0,0.291885392446,0.291885392446,0.291885392446,0.121932141685,0.0262674173776,0.344876619894,0.353695753539,0.583345383957
 01/02  12:00:00,1.62530381658,9.7836154008,0.0,9.75924564089,0.0,0.246748547827,0.246748547827,0.246748547827,0.121932141685,0.0262674173776,0.361119725873,0.353804116208,0.498787867609
 01/02  13:00:00,1.52716573042,9.07105732418,0.0,9.04709808089,0.0,0.22979466975,0.22979466975,0.22979466975,0.121932141685,0.0262674173776,0.3518459739,0.347844169381,0.432837358328
 01/02  14:00:00,1.45450529526,8.57640501189,0.0,8.55161727141,0.0,0.218223799218,0.218223799218,0.218223799218,0.121932141685,0.0262674173776,0.317847783081,0.359872425705,0.393717728191
 01/02  15:00:00,1.40771580502,8.13331594878,0.0,8.10713245176,0.0,0.207466599251,0.207466599251,0.207466599251,0.128349576704,0.0276499030931,0.292642171022,0.380136244918,0.354827310031
 01/02  16:00:00,1.48182069197,8.07909354591,0.0,8.05145458084,0.0,0.206216775982,0.206216775982,0.206216775982,0.160436990796,0.0345623831569,0.302863615842,0.401266965488,0.3598299607
 01/02  17:00:00,1.77669378361,7.70485640223,0.0,7.67216435065,0.0,0.197312588896,0.197312588896,0.197312588896,0.269534103112,0.0580648119413,0.353720743409,0.4746284928,0.406789043457
 01/02  18:00:00,2.39293969088,9.2778174004,0.0,9.23810178248,0.0,0.238976042479,0.238976042479,0.238976042479,0.500563357112,0.107834640941,0.445069937436,0.576597764883,0.507253948031
 01/02  19:00:00,2.77803635956,7.97794469142,0.0,7.93482551745,0.0,0.202321002869,0.202321002869,0.202321002869,0.744427560815,0.160369475696,0.398283704478,0.626011142216,0.599979473488
 01/02  20:00:00,2.75232503078,7.88242293326,0.0,7.83791546668,0.0,0.199710737826,0.199710737826,0.199710737826,0.789349924612,0.170046944353,0.315345896534,0.646166598759,0.615060928691
 01/02  21:00:00,2.55197127831,8.06183883991,0.0,8.0158012659,0.0,0.204227320866,0.204227320866,0.204227320866,0.680252812296,0.146544515569,0.275874927963,0.668380946025,0.560046755595
 01/02  22:00:00,2.32616022413,8.34152291544,0.0,8.29656014861,0.0,0.21113935701,0.21113935701,0.21113935701,0.571155699981,0.123042103946,0.258342283024,0.652776721604,0.493060058566
 01/02  23:00:00,1.91715355326,8.72532243864,0.0,8.6864129261,0.0,0.220893483712,0.220893483712,0.220893483712,0.429971093908,0.0926271950982,0.205880856148,0.564894596568,0.386242327824
 01/02  24:00:00,1.50403443025,9.1210957721,0.0,9.08728412971,0.0,0.23101025284,0.23101025284,0.23101025284,0.295204002519,0.0635947891276,0.135920781757,0.490882893238,0.270777710763
 01/03  01:00:00,1.08615999655,9.53300650158,0.0,9.50503912321,0.0,0.241448895004,0.241448895004,0.241448895004,0.154019476112,0.0331798974413,0.0863692416722,0.40603492295,0.148463563371
 01/03  02:00:00,0.913187505488,9.81674926349,0.0,9.79099867492,0.0,0.248617021463,0.248617021463,0.248617021463,0.0898447275923,0.0193549373138,0.0722387554862,0.373851210082,0.0926368535507
 01/03  03:00:00,0.854995122447,10.0274724295,0.0,10.0020203985,0.0,0.253677527844,0.253677527844,0.253677527844,0.0641747963185,0.013824954979,0.0597152550472,0.369516703299,0.0774418849604
 01/03  04:00:00,0.850134467141,10.1550099336,0.0,10.1299161716,0.0,0.256747646388,0.256747646388,0.256747646388,0.0641747963185,0.013824954979,0.0526110263622,0.364315295158,0.081816747935
 01/03  05:00:00,0.893570389925,10.2434186069,0.0,10.2192727651,0.0,0.258858984249,0.258858984249,0.258858984249,0.0641747963185,0.013824954979,0.0631517086927,0.350553236121,0.126362709565
 01/03  06:00:00,1.14136308493,10.2191188345,0.0,10.1921740157,0.0,0.258105253977,0.258105253977,0.258105253977,0.0641747963185,0.013824954979,0.0759814879778,0.391189237216,0.32144335446
 01/03  07:00:00,1.74410963187,11.0945933745,0.0,11.0634612861,0.0,0.280721124831,0.280721124831,0.280721124831,0.147602041092,0.0317973945638,0.129758030703,0.451980694856,0.685606345828
 01/03  08:00:00,2.15261148306,11.0711364769,0.0,11.0380563005,0.0,0.280844758087,0.280844758087,0.280844758087,0.301621517204,0.0649772920051,0.207405929039,0.480263351619,0.785854635102
 01/03  09:00:00,2.05068441681,9.92339721645,0.0,9.89542983807,0.0,0.24880143312,0.24880143312,0.24880143312,0.2887865675,0.062212303412,0.268690649238,0.40603492295,0.759514540593
 01/03  10:00:00,1.79080996646,9.51986753032,0.0,9.49606502975,0.0,0.239802004579,0.239802004579,0.239802004579,0.147602041092,0.0317973945638,0.330033495679,0.345568553319,0.679362477223
 01/03  11:00:00,1.71879892832,10.6264123818,0.0,10.6020500859,0.0,0.270898793748,0.270898793748,0.270898793748,0.121932141685,0.0262674173776,0.344876619894,0.353695753539,0.584484202073
 01/03  12:00:00,1.59409112322,8.51708825492,0.0,8.49271849501,0.0,0.214570726634,0.214570726634,0.214570726634,0.121932141685,0.0262674173776,0.361119725873,0.353804116208,0.499752995447
 01/03  13:00:00,1.50564712581,8.17263125192,0.0,8.14867200864,0.0,0.207446477509,0.207446477509,0.207446477509,0.121932141685,0.0262674173776,0.3518459739,0.347844169381,0.433666945955
 01/03  14:00:00,1.42949061506,7.5421047425,0.0,7.51731700202,0.0,0.19246547399,0.19246547399,0.19246547399,0.121932141685,0.0262674173776,0.317847783081,0.359872425705,0.394461373225
