Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Electricity [kW](Hourly) 
 01/01  01:00:00,0.957204738775,3.75715574571,0.0,3.72918836734,0.0,0.0955800520071,0.0955800520071,0.0955800520071,0.154019476112,0.0331798974413,0.092942924749,0.40603492295,0.158803465516
 01/01  02:00:00,0.797914689963,4.94799812947,0.0,4.9222475409,0.0,0.123949574656,0.123949574656,0.123949574656,0.0898447275923,0.0193549373138,0.0761857795615,0.373851210082,0.0980844607573
 01/01  03:00:00,0.744363214093,5.54227713866,0.0,5.51682510763,0.0,0.136434460573,0.136434460573,0.136434460573,0.0641747963185,0.013824954979,0.0623264934745,0.369516703299,0.0814418054491
 01/01  04:00:00,0.743347809858,5.89976782042,0.0,5.87467405846,0.0,0.144305056212,0.144305056212,0.144305056212,0.0641747963185,0.013824954979,0.0539764305342,0.364315295158,0.0861072766561
 01/01  05:00:00,0.798192771431,6.23222296634,0.0,6.20807712459,0.0,0.152035730315,0.152035730315,0.152035730315,0.0641747963185,0.013824954979,0.0658228643082,0.350553236121,0.13513718939
 01/01  06:00:00,1.06407392886,6.22149555363,0.0,6.19455073486,0.0,0.151527664849,0.151527664849,0.151527664849,0.0641747963185,0.013824954979,0.080078180578,0.391189237216,0.346635094915
 01/01  07:00:00,1.68793941182,6.42776623234,0.0,6.39663414395,0.0,0.156146485848,0.156146485848,0.156146485848,0.147602041092,0.0317973945638,0.14038354292,0.451980694856,0.743385252541
 01/01  08:00:00,2.09558861987,5.45480294903,0.0,5.42172277263,0.0,0.132252912515,0.132252912515,0.132252912515,0.301621517204,0.0649772920051,0.228567290958,0.480263351619,0.856262255572
 01/01  09:00:00,2.0199157276,4.61247820134,0.0,4.58451082297,0.0,0.111803486338,0.111803486338,0.111803486338,0.2887865675,0.062212303412,0.30112795013,0.40603492295,0.83330649727
 01/01  10:00:00,1.76201521399,4.01569726667,0.0,3.9918947661,0.0,0.0979099778161,0.0979099778161,0.0979099778161,0.147602041092,0.0317973945638,0.375064554145,0.345568553319,0.747428693049
