Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly) 
 01/01  01:00:00,0.694098216845,2.23528234608,0.0,1.85773719875,0.0,0.0515305763307,0.0515305763307,0.0515305763307,0.128562410501,0.0263694190929,0.092942924749,0.379617886171,0.351395231538
 01/01  02:00:00,0.600066865417,2.78811369199,0.0,2.48396413041,0.0,0.0689010820857,0.0689010820857,0.0689010820857,0.0749947671662,0.0153821588643,0.0761857795615,0.34952807774,0.280072377304
 01/01  03:00:00,0.568430302981,3.20451765107,0.0,2.92008275095,0.0,0.0809982957712,0.0809982957712,0.0809982957712,0.0535676765835,0.0109872588647,0.0623264934745,0.345475578288,0.260636871602
 01/01  04:00:00,0.564237135829,3.53481941547,0.0,3.24526045912,0.0,0.0900181909012,0.0900181909012,0.0900181909012,0.0535676765835,0.0109872588647,0.0539764305342,0.340612578945,0.26609591475
 01/01  05:00:00,0.573361167675,3.95708910523,0.0,3.61097368751,0.0,0.100162474734,0.100162474734,0.100162474734,0.0535676765835,0.0109872588647,0.0658228643082,0.327745893185,0.323538695649
 01/01  06:00:00,0.633165328519,4.48040542344,0.0,3.88340014745,0.0,0.107719136945,0.107719136945,0.107719136945,0.0535676765835,0.0109872588647,0.080078180578,0.365738075548,0.571811468681
 01/01  07:00:00,0.870339219895,6.251726191,0.0,5.1852362132,0.0,0.143829929581,0.143829929581,0.143829929581,0.123205679416,0.0252706876143,0.14038354292,0.422574380363,1.03738101096
 01/01  08:00:00,1.17645226146,6.62163722129,0.0,5.42154816127,0.0,0.150384834595,0.150384834595,0.150384834595,0.251768089917,0.0516401067072,0.228567290958,0.449016939288,1.16915860185
 01/01  09:00:00,1.08761770039,4.81982396997,0.0,3.65197001427,0.0,0.101299645452,0.101299645452,0.101299645452,0.24105456125,0.0494426573893,0.30112795013,0.379617886171,1.14170403992
 01/01  10:00:00,0.929853650371,3.51973896118,0.0,2.45696643462,0.0,0.0681522103806,0.0681522103806,0.0681522103806,0.123205679416,0.0252706876143,0.375064554145,0.323085518815,1.04051683362
 01/01  11:00:00,0.933542188383,3.44024930056,0.0,2.49964484552,0.0,0.0693360393484,0.0693360393484,0.0693360393484,0.101778555585,0.0208757889786,0.395792849183,0.330683955288,0.917825345049
 01/01  12:00:00,0.904908732905,1.65109618618,0.0,0.821448644226,0.0,0.0227856351756,0.0227856351756,0.0227856351756,0.101778555585,0.0208757889786,0.413608485392,0.330785267774,0.806861453073
 01/01  13:00:00,0.862598905581,0.74371799885,0.0,0.0,0.0,0.0,0.0,0.0,0.101778555585,0.0208757889786,0.399656479991,0.325213081027,0.721315749135
 01/01  14:00:00,0.835623927166,0.689260870509,0.0,0.0,0.0,0.0,0.0,0.0,0.101778555585,0.0208757889786,0.361435815596,0.336458767007,0.666083963561
 01/01  15:00:00,0.831356818766,0.638151466093,0.0,0.0,0.0,0.0,0.0,0.0,0.107135353167,0.0219745204572,0.331767743197,0.355404201945,0.613669505968
 01/01  16:00:00,0.891545084126,0.643150309005,0.0,0.0,0.0,0.0,0.0,0.0,0.133919208083,0.0274681505715,0.339922588697,0.375160136774,0.617307464552
 01/01  17:00:00,1.11959307789,0.710737356324,0.0,0.0,0.0,0.0,0.0,0.0,0.224984235001,0.0461464902322,0.389638662656,0.44374869,0.680169800638
 01/01  18:00:00,1.53810911013,0.848053158572,0.0,0.0,0.0,0.0,0.0,0.0,0.417827884001,0.0857006188716,0.480421867651,0.53908373961,0.81091846364
 01/01  19:00:00,1.81178851188,0.977643443903,0.0,0.0,0.0,0.0,0.0,0.0,0.621385061668,0.127452196829,0.432594020017,0.585282233363,0.93732637331
 01/01  20:00:00,1.76281772805,1.0059765472,0.0,0.0,0.0,0.0,0.0,0.0,0.658882445251,0.135143276261,0.349590650728,0.604126355815,0.964361402323
 01/01  21:00:00,1.63498306873,0.940637037839,0.0,0.0,0.0,0.0,0.0,0.0,0.567817418333,0.1164649366,0.310730298291,0.624895415507,0.897591219695
 01/01  22:00:00,1.49386947983,0.850765237147,0.0,0.0,0.0,0.0,0.0,0.0,0.476752324918,0.0977865969395,0.293949140492,0.610306417479,0.808724379738
 01/01  23:00:00,1.2154810532,0.907754534805,0.0,0.200874332006,0.0,0.00557192379268,0.00557192379268,0.00557192379268,0.358903443084,0.0736146271644,0.234174068073,0.528141991089,0.670499228418
 01/01  24:00:00,0.949206963609,1.51277269867,0.0,0.965381368629,0.0,0.0267780923684,0.0267780923684,0.0267780923684,0.246411292335,0.050541388868,0.151455627092,0.458945562945,0.515776940257
 01/02  01:00:00,0.677931212771,1.87705610639,0.0,1.5118868213,0.0,0.0419372553343,0.0419372553343,0.0419372553343,0.128562410501,0.0263694190929,0.0863692416722,0.379617886171,0.339019369306
 01/02  02:00:00,0.589336717269,2.53707372364,0.0,2.23942461985,0.0,0.0621179580122,0.0621179580122,0.0621179580122,0.0749947671662,0.0153821588643,0.0722387554862,0.34952807774,0.273571919524
 01/02  03:00:00,0.55001489938,2.62997921643,0.0,2.35032421863,0.0,0.0651941305966,0.0651941305966,0.0651941305966,0.0535676765835,0.0109872588647,0.0597152550472,0.345475578288,0.255856969289
 01/02  04:00:00,0.552362101829,3.15080300032,0.0,2.86637608279,0.0,0.0795085610739,0.0795085610739,0.0795085610739,0.0535676765835,0.0109872588647,0.0526110263622,0.340612578945,0.260963875937
 01/02  05:00:00,0.551438575345,3.25255887155,0.0,2.91693700751,0.0,0.0809110380187,0.0809110380187,0.0809110380187,0.0535676765835,0.0109872588647,0.0631517086927,0.327745893185,0.31304514198
 01/02  06:00:00,0.604081856511,3.54934536441,0.0,2.98259769405,0.0,0.0827323575369,0.0827323575369,0.0827323575369,0.0535676765835,0.0109872588647,0.0759814879778,0.365738075548,0.541553863046
 01/02  07:00:00,0.827535438951,5.02225378404,0.0,4.02517220731,0.0,0.111651660855,0.111651660855,0.111651660855,0.123205679416,0.0252706876143,0.129758030703,0.422574380363,0.96797260989
 01/02  08:00:00,1.09791777654,4.46890010816,0.0,3.3531803611,0.0,0.093011711594,0.093011711594,0.093011711594,0.251768089917,0.0516401067072,0.207405929039,0.449016939288,1.08478928889
 01/02  09:00:00,1.01692022367,3.35233667808,0.0,2.27264618496,0.0,0.0630394696221,0.0630394696221,0.0630394696221,0.24105456125,0.0494426573893,0.268690649238,0.379617886171,1.05354057733
 01/02  10:00:00,0.847950378726,2.1092817553,0.0,1.12768027288,0.0,0.0312799972016,0.0312799972016,0.0312799972016,0.123205679416,0.0252706876143,0.330033495679,0.323085518815,0.959345789474
