Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly) 
 01/01  01:00:00,0.690321477644,2.09912651087,0.0,1.72158135881,0.0,0.0477538371299,0.0477538371299,0.0477538371299,0.128562410501,0.0263694190929,0.092942924749,0.379617886171,0.351395236276
 01/01  02:00:00,0.595957891806,2.63998046425,0.0,2.33583085363,0.0,0.0647921084743,0.0647921084743,0.0647921084743,0.0749947671662,0.0153821588643,0.0761857795615,0.34952807774,0.280072426349
 01/01  03:00:00,0.564555594072,3.06482991766,0.0,2.78039498909,0.0,0.077123586862,0.077123586862,0.077123586862,0.0535676765835,0.0109872588647,0.0623264934745,0.345475578288,0.26063690006
 01/01  04:00:00,0.563737602983,3.51681070313,0.0,3.22725171914,0.0,0.0895186580551,0.0895186580551,0.0895186580551,0.0535676765835,0.0109872588647,0.0539764305342,0.340612578945,0.266095942384
 01/01  05:00:00,0.573316223023,3.95546880293,0.0,3.60935338055,0.0,0.100117530082,0.100117530082,0.100117530082,0.0535676765835,0.0109872588647,0.0658228643082,0.327745893185,0.323538700312
 01/01  06:00:00,0.631185454013,4.40902864478,0.0,3.81202336922,0.0,0.105739262439,0.105739262439,0.105739262439,0.0535676765835,0.0109872588647,0.080078180578,0.365738075548,0.571811468251
 01/01  07:00:00,0.828797674169,4.75410516109,0.0,3.68761518344,0.0,0.102288383855,0.102288383855,0.102288383855,0.123205679416,0.0252706876143,0.14038354292,0.422574380363,1.0373810108
 01/01  08:00:00,1.12964365061,4.93413236877,0.0,3.73404330874,0.0,0.103576223737,0.103576223737,0.103576223737,0.251768089917,0.0516401067072,0.228567290958,0.449016939288,1.16915860185
 01/01  09:00:00,1.06809742226,4.11609524434,0.0,2.94824128864,0.0,0.0817793673224,0.0817793673224,0.0817793673224,0.24105456125,0.0494426573893,0.30112795013,0.379617886171,1.14170403992
 01/01  10:00:00,0.922103387092,3.24033297525,0.0,2.17756043109,0.0,0.0604019471022,0.0604019471022,0.0604019471022,0.123205679416,0.0252706876143,0.375064554145,0.323085518815,1.04051685122
 01/01  11:00:00,0.922227431736,3.03233917662,0.0,2.09173471111,0.0,0.0580212827017,0.0580212827017,0.0580212827017,0.101778555585,0.0208757889786,0.395792849183,0.330683955288,0.917825355523
 01/01  12:00:00,0.898409960635,1.41680789583,0.0,0.58716034684,0.0,0.0162868629058,0.0162868629058,0.0162868629058,0.101778555585,0.0208757889786,0.413608485392,0.330785267774,0.80686146011
 01/01  13:00:00,0.862598905581,0.743935305146,0.0,0.0,0.0,0.0,0.0,0.0,0.101778555585,0.0208757889786,0.399656479991,0.325213081027,0.721533055431
 01/01  14:00:00,0.835623927166,0.689394798443,0.0,0.0,0.0,0.0,0.0,0.0,0.101778555585,0.0208757889786,0.361435815596,0.336458767007,0.666217891495
