Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly) 
 01/01  01:00:00,0.705778354791,2.62401831162,0.0,2.24647314309,0.0,0.0632107142772,0.0632107142772,0.0632107142772,0.128562410501,0.0263694190929,0.092942924749,0.379617886171,0.351395252734
 01/01  02:00:00,0.60260041188,2.84934806423,0.0,2.54519850243,0.0,0.0714346285484,0.0714346285484,0.0714346285484,0.0749947671662,0.0153821588643,0.0761857795615,0.34952807774,0.280072377534
 01/01  03:00:00,0.569864997779,3.22357760462,0.0,2.9391427045,0.0,0.0824329905691,0.0824329905691,0.0824329905691,0.0535676765835,0.0109872588647,0.0623264934745,0.345475578288,0.260636871603
 01/01  04:00:00,0.55809085851,3.28864745587,0.0,2.99908848228,0.0,0.0838719135828,0.0838719135828,0.0838719135828,0.0535676765835,0.0109872588647,0.0539764305342,0.340612578945,0.266095931982
 01/01  05:00:00,0.561485540059,3.51005377252,0.0,3.16393845314,0.0,0.0882868471182,0.0882868471182,0.0882868471182,0.0535676765835,0.0109872588647,0.0658228643082,0.327745893185,0.323538597322
 01/01  06:00:00,0.611889889021,3.69277999715,0.0,3.09577473241,0.0,0.0864436974471,0.0864436974471,0.0864436974471,0.0535676765835,0.0109872588647,0.080078180578,0.365738075548,0.571811457437
 01/01  07:00:00,0.835850994802,4.97976983716,0.0,3.91327985986,0.0,0.109341704488,0.109341704488,0.109341704488,0.123205679416,0.0252706876143,0.14038354292,0.422574380363,1.03738101046
 01/01  08:00:00,1.11170554506,4.26937674133,0.0,3.06928755883,0.0,0.0856381181861,0.0856381181861,0.0856381181861,0.251768089917,0.0516401067072,0.228567290958,0.449016939288,1.16915872433
 01/01  09:00:00,1.06063618243,3.8471089056,0.0,2.67925491656,0.0,0.0743181274939,0.0743181274939,0.0743181274939,0.24105456125,0.0494426573893,0.30112795013,0.379617886171,1.14170407325
 01/01  10:00:00,0.903924012969,2.58494538713,0.0,1.52217285418,0.0,0.0422225729792,0.0422225729792,0.0422225729792,0.123205679416,0.0252706876143,0.375064554145,0.323085518815,1.04051684002
 01/01  11:00:00,0.895255240859,2.05996032141,0.0,1.11935586552,0.0,0.0310490918243,0.0310490918243,0.0310490918243,0.101778555585,0.0208757889786,0.395792849183,0.330683955288,0.917825345898
 01/01  12:00:00,0.88672954855,0.995715448734,0.0,0.166067908691,0.0,0.00460645082124,0.00460645082124,0.00460645082124,0.101778555585,0.0208757889786,0.413608485392,0.330785267774,0.806861451158
 01/01  13:00:00,0.862598905581,0.742175938911,0.0,0.0,0.0,0.0,0.0,0.0,0.101778555585,0.0208757889786,0.399656479991,0.325213081027,0.719773689196
 01/01  14:00:00,0.835623927166,0.688039103395,0.0,0.0,0.0,0.0,0.0,0.0,0.101778555585,0.0208757889786,0.361435815596,0.336458767007,0.664862196447
 01/01  15:00:00,0.831356818766,0.63903311893,0.0,0.0,0.0,0.0,0.0,0.0,0.107135353167,0.0219745204572,0.331767743197,0.355404201945,0.614551158806
 01/01  16:00:00,0.891545084126,0.644232110889,0.0,0.0,0.0,0.0,0.0,0.0,0.133919208083,0.0274681505715,0.339922588697,0.375160136774,0.618389266435
 01/01  17:00:00,1.11959307789,0.712394071446,0.0,0.0,0.0,0.0,0.0,0.0,0.224984235001,0.0461464902322,0.389638662656,0.44374869,0.681826515761
 01/01  18:00:00,1.53810911013,0.851888301024,0.0,0.0,0.0,0.0,0.0,0.0,0.417827884001,0.0857006188716,0.480421867651,0.53908373961,0.814753606092
 01/01  19:00:00,1.81178851188,0.982285402255,0.0,0.0,0.0,0.0,0.0,0.0,0.621385061668,0.127452196829,0.432594020017,0.585282233363,0.941968331662
 01/01  20:00:00,1.76281772805,1.01113591904,0.0,0.0,0.0,0.0,0.0,0.0,0.658882445251,0.135143276261,0.349590650728,0.604126355815,0.969520774163
 01/01  21:00:00,1.64012250946,1.13067956765,0.0,0.185282814482,0.0,0.00513944072435,0.00513944072435,0.00513944072435,0.567817418333,0.1164649366,0.310730298291,0.624895415507,0.902350935027
