Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly) 
 01/01  01:00:00,0.642567640514,0.37526940263,0.0,0.0,0.0,0.0,0.0,0.0,0.128562410501,0.0263694190929,0.092942924749,0.379617886171,0.349119486842
 01/01  02:00:00,0.54325544667,0.739993515901,0.0,0.435846421743,0.0,0.0120896633383,0.0120896633383,0.0120896633383,0.0749947671662,0.0153821588643,0.0761857795615,0.34952807774,0.280069909885
 01/01  03:00:00,0.511123919548,1.13855537459,0.0,0.854120989787,0.0,0.0236919123379,0.0236919123379,0.0236919123379,0.0535676765835,0.0109872588647,0.0623264934745,0.345475578288,0.260636356291
 01/01  04:00:00,0.508172998542,1.51364211391,0.0,1.22408311606,0.0,0.0339540536141,0.0339540536141,0.0339540536141,0.0535676765835,0.0109872588647,0.0539764305342,0.340612578945,0.266095956247
 01/01  05:00:00,0.513248182757,1.78994610146,0.0,1.44383067918,0.0,0.0400494898157,0.0400494898157,0.0400494898157,0.0535676765835,0.0109872588647,0.0658228643082,0.327745893185,0.323538700217
 01/01  06:00:00,0.570394670202,2.21745019819,0.0,1.62044492263,0.0,0.0449484786283,0.0449484786283,0.0449484786283,0.0535676765835,0.0109872588647,0.080078180578,0.365738075548,0.57181146825
 01/01  07:00:00,0.802125643731,3.79254744839,0.0,2.72605747075,0.0,0.0756163534177,0.0756163534177,0.0756163534177,0.123205679416,0.0252706876143,0.14038354292,0.422574380363,1.0373810108
 01/01  08:00:00,1.07783814896,3.06648379262,0.0,1.8663947326,0.0,0.0517707220892,0.0517707220892,0.0517707220892,0.251768089917,0.0516401067072,0.228567290958,0.449016939288,1.16915860185
 01/01  09:00:00,1.02553568324,2.58169505999,0.0,1.41384110428,0.0,0.0392176283021,0.0392176283021,0.0392176283021,0.24105456125,0.0494426573893,0.30112795013,0.379617886171,1.14170403992
 01/01  10:00:00,0.879152127096,1.69189009534,0.0,0.629117562579,0.0,0.0174506871054,0.0174506871054,0.0174506871054,0.123205679416,0.0252706876143,0.375064554145,0.323085518815,1.04051683982
 01/01  11:00:00,0.875113840957,1.33375289747,0.0,0.393234977777,0.0,0.0109076919232,0.0109076919232,0.0109076919232,0.101778555585,0.0208757889786,0.395792849183,0.330683955288,0.917738809704
 01/01  12:00:00,0.882123097729,0.826169600934,0.0,0.0,0.0,0.0,0.0,0.0,0.101778555585,0.0208757889786,0.413608485392,0.330785267774,0.803383512049
 01/01  13:00:00,0.862598905581,0.736044361412,0.0,0.0,0.0,0.0,0.0,0.0,0.101778555585,0.0208757889786,0.399656479991,0.325213081027,0.713642111697
 01/01  14:00:00,0.835623927166,0.681072971095,0.0,0.0,0.0,0.0,0.0,0.0,0.101778555585,0.0208757889786,0.361435815596,0.336458767007,0.657896064147
