Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly) 
 01/01  01:00:00,0.855188534093,4.97384291145,0.0,4.51243085416,0.0,0.134394928157,0.134394928157,0.134394928157,0.161612796136,0.0352113105958,0.092942924749,0.413914574456,0.432902567701
 01/01  02:00:00,0.737308382111,5.34195640528,0.0,4.97460491771,0.0,0.148090204336,0.148090204336,0.148090204336,0.0942741659095,0.0205399387695,0.0761857795615,0.381106293534,0.341101757361
 01/01  03:00:00,0.69373978728,5.56844101118,0.0,5.22749408046,0.0,0.155603571009,0.155603571009,0.155603571009,0.0673386720226,0.0146713809326,0.0623264934745,0.376687669841,0.315001545211
 01/01  04:00:00,0.682456474177,5.65666534682,0.0,5.30940975336,0.0,0.157972669278,0.157972669278,0.157972669278,0.0673386720226,0.0146713809326,0.0539764305342,0.371385321409,0.321675421596
 01/01  05:00:00,0.683910361773,5.85339624665,0.0,5.43339145218,0.0,0.161609253326,0.161609253326,0.161609253326,0.0673386720226,0.0146713809326,0.0658228643082,0.357356191184,0.395390917021
 01/01  06:00:00,0.738372995142,6.13260850806,0.0,5.39185517403,0.0,0.160391973301,0.160391973301,0.160391973301,0.0673386720226,0.0146713809326,0.080078180578,0.398780788307,0.713286225037
 01/01  07:00:00,0.976003661027,7.02760814536,0.0,5.68551143568,0.0,0.169132975074,0.169132975074,0.169132975074,0.15487897491,0.0337441825195,0.14038354292,0.460751985603,1.31036116629
 01/01  08:00:00,1.30331222307,7.14829034704,0.0,5.6313996537,0.0,0.167602162753,0.167602162753,0.167602162753,0.316491771045,0.0689554931152,0.228567290958,0.489583505201,1.48316930081
 01/01  09:00:00,1.24166675646,6.2126491345,0.0,4.73378426823,0.0,0.140466968123,0.140466968123,0.140466968123,0.303024045,0.06602121875,0.30112795013,0.413914574456,1.45035537668
 01/01  10:00:00,1.04250320471,5.04290705,0.0,3.69532427564,0.0,0.1094287192,0.1094287192,0.1094287192,0.15487897491,0.0337441825195,0.375064554145,0.352274773936,1.32331889331
 01/01  11:00:00,1.02831942768,4.53259691772,0.0,3.34004804991,0.0,0.0990358303325,0.0990358303325,0.0990358303325,0.127943439226,0.0278756155762,0.395792849183,0.360559693361,1.16771434045
 01/01  12:00:00,1.0057228679,3.03530001973,0.0,1.98571298568,0.0,0.0585131687526,0.0585131687526,0.0585131687526,0.127943439226,0.0278756155762,0.413608485392,0.360670158953,1.02474489808
 01/01  13:00:00,0.959305522027,2.03535152357,0.0,1.09441507451,0.0,0.0321234358586,0.0321234358586,0.0321234358586,0.127943439226,0.0278756155762,0.399656479991,0.354594551375,0.916512787043
 01/01  14:00:00,0.914733747481,1.33701619909,0.0,0.462597565436,0.0,0.0135106449594,0.0135106449594,0.0135106449594,0.127943439226,0.0278756155762,0.361435815596,0.366856232124,0.849150415101
 01/01  15:00:00,0.900413146997,0.812264840092,0.0,0.0,0.0,0.0,0.0,0.0,0.134677344045,0.0293427618652,0.331767743197,0.387513297889,0.785573810078
 01/01  16:00:00,0.97111383493,0.820676778846,0.0,0.0,0.0,0.0,0.0,0.0,0.168346700955,0.0366784568848,0.339922588697,0.409054088393,0.792502068428
