Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly) 
 01/01  01:00:00,0.642567640514,0.372664011667,0.0,0.0,0.0,0.0,0.0,0.0,0.128562410501,0.0263694190929,0.092942924749,0.379617886171,0.346514095878
 01/01  02:00:00,0.533317624934,0.381277107329,0.0,0.0775763920249,0.0,0.00215184160245,0.00215184160245,0.00215184160245,0.0749947671662,0.0153821588643,0.0761857795615,0.34952807774,0.279623531031
 01/01  03:00:00,0.499238163149,0.70995072372,0.0,0.425625650301,0.0,0.0118061559384,0.0118061559384,0.0118061559384,0.0535676765835,0.0109872588647,0.0623264934745,0.345475578288,0.260527044905
 01/01  04:00:00,0.497171481386,1.11702459323,0.0,0.827465629568,0.0,0.0229525364589,0.0229525364589,0.0229525364589,0.0535676765835,0.0109872588647,0.0539764305342,0.340612578945,0.266095922057
 01/01  05:00:00,0.506718908429,1.554558166,0.0,1.20844274714,0.0,0.0335202154882,0.0335202154882,0.0335202154882,0.0535676765835,0.0109872588647,0.0658228643082,0.327745893185,0.3235386968
 01/01  06:00:00,0.566398997049,2.07340153463,0.0,1.4763962591,0.0,0.0409528054749,0.0409528054749,0.0409528054749,0.0535676765835,0.0109872588647,0.080078180578,0.365738075548,0.571811468211
 01/01  07:00:00,0.79596939087,3.57060729077,0.0,2.50411739634,0.0,0.0694601005565,0.0694601005565,0.0694601005565,0.123205679416,0.0252706876143,0.14038354292,0.422574380363,1.03738092759
 01/01  08:00:00,1.0986902587,3.81822658886,0.0,2.61813753666,0.0,0.072622831834,0.072622831834,0.072622831834,0.251768089917,0.0516401067072,0.228567290958,0.449016939288,1.16915859404
 01/01  09:00:00,1.02872434375,2.69664997911,0.0,1.5287960235,0.0,0.0424062888097,0.0424062888097,0.0424062888097,0.24105456125,0.0494426573893,0.30112795013,0.379617886171,1.14170403982
 01/01  10:00:00,0.877767974335,1.64198977876,0.0,0.579217245998,0.0,0.0160665343445,0.0160665343445,0.0160665343445,0.123205679416,0.0252706876143,0.375064554145,0.323085518815,1.04051683982
 01/01  11:00:00,0.871752881469,1.21252258304,0.0,0.272068479928,0.0,0.00754673243423,0.00754673243423,0.00754673243423,0.101778555585,0.0208757889786,0.395792849183,0.330683955288,0.917674993123
