Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly) 
 01/01  01:00:00,0.73898213386,3.63248056002,0.0,3.2549353389,0.0,0.0964144933464,0.0964144933464,0.0964144933464,0.128562410501,0.0263694190929,0.092942924749,0.379617886171,0.351395305324
 01/01  02:00:00,0.63518547687,3.81099651701,0.0,3.50684695901,0.0,0.104019693539,0.104019693539,0.104019693539,0.0749947671662,0.0153821588643,0.0761857795615,0.34952807774,0.280072373731
 01/01  03:00:00,0.594185850769,3.87861940096,0.0,3.59418450295,0.0,0.106753843558,0.106753843558,0.106753843558,0.0535676765835,0.0109872588647,0.0623264934745,0.345475578288,0.26063686949
 01/01  04:00:00,0.580414134651,3.86449377532,0.0,3.5749348024,0.0,0.106195189723,0.106195189723,0.106195189723,0.0535676765835,0.0109872588647,0.0539764305342,0.340612578945,0.266095931314
 01/01  05:00:00,0.578855340344,3.90287457603,0.0,3.55675915387,0.0,0.105656647403,0.105656647403,0.105656647403,0.0535676765835,0.0109872588647,0.0658228643082,0.327745893185,0.323538700103
 01/01  06:00:00,0.628917427493,4.07836420261,0.0,3.48135892706,0.0,0.103471235919,0.103471235919,0.103471235919,0.0535676765835,0.0109872588647,0.080078180578,0.365738075548,0.571811468243
 01/01  07:00:00,0.821257804713,4.25484431124,0.0,3.18835433359,0.0,0.094748514399,0.094748514399,0.094748514399,0.123205679416,0.0252706876143,0.14038354292,0.422574380363,1.0373810108
 01/01  08:00:00,1.14257679062,5.12884502891,0.0,3.92875596889,0.0,0.116509363748,0.116509363748,0.116509363748,0.251768089917,0.0516401067072,0.228567290958,0.449016939288,1.16915860185
 01/01  09:00:00,1.0829025878,4.4144426175,0.0,3.2465886618,0.0,0.096584532857,0.096584532857,0.096584532857,0.24105456125,0.0494426573893,0.30112795013,0.379617886171,1.14170403992
 01/01  10:00:00,0.956352445435,4.26291624689,0.0,3.20014371412,0.0,0.0946510054445,0.0946510054445,0.0946510054445,0.123205679416,0.0252706876143,0.375064554145,0.323085518815,1.04051683982
 01/01  11:00:00,0.984639426639,4.97920609882,0.0,4.03860164298,0.0,0.120433277605,0.120433277605,0.120433277605,0.101778555585,0.0208757889786,0.395792849183,0.330683955288,0.917825345857
 01/01  12:00:00,0.977347461652,4.03659065772,0.0,3.20694312107,0.0,0.0952243639225,0.0952243639225,0.0952243639225,0.101778555585,0.0208757889786,0.413608485392,0.330785267774,0.80686144776
 01/01  13:00:00,0.950471378869,3.70153057919,0.0,2.95723649744,0.0,0.0878724732879,0.0878724732879,0.0878724732879,0.101778555585,0.0208757889786,0.399656479991,0.325213081027,0.721891832033
 01/01  14:00:00,0.899943420345,2.86083733809,0.0,2.16809124822,0.0,0.0643194931793,0.0643194931793,0.0643194931793,0.101778555585,0.0208757889786,0.361435815596,0.336458767007,0.669569182928
 01/01  15:00:00,0.906426414193,3.15112662272,0.0,2.50671801917,0.0,0.0750695954274,0.0750695954274,0.0750695954274,0.107135353167,0.0219745204572,0.331767743197,0.355404201945,0.619926643433
 01/01  16:00:00,0.970792621187,3.29114144374,0.0,2.63961783278,0.0,0.0792475370611,0.0792475370611,0.0792475370611,0.133919208083,0.0274681505715,0.339922588697,0.375160136774,0.625680766513
 01/01  17:00:00,1.20035861779,3.41709545569,0.0,2.69679930248,0.0,0.0807655399049,0.0807655399049,0.0807655399049,0.224984235001,0.0461464902322,0.389638662656,0.44374869,0.68972859752
 01/01  18:00:00,1.64264493791,4.33908988597,0.0,3.48433075829,0.0,0.10453582778,0.10453582778,0.10453582778,0.417827884001,0.0857006188716,0.480421867651,0.53908373961,0.817624432743
 01/01  19:00:00,1.88685313738,3.50891121259,0.0,2.52440085146,0.0,0.0750646255021,0.0750646255021,0.0750646255021,0.621385061668,0.127452196829,0.432594020017,0.585282233363,0.944193290542
 01/01  20:00:00,1.83362304854,3.4109436872,0.0,2.39812344981,0.0,0.0708053204871,0.0708053204871,0.0708053204871,0.658882445251,0.135143276261,0.349590650728,0.604126355815,0.971205092514
 01/01  21:00:00,1.7111511251,3.51621052154,0.0,2.57076613771,0.0,0.0761680563701,0.0761680563701,0.0761680563701,0.567817418333,0.1164649366,0.310730298291,0.624895415507,0.902398565691
 01/01  22:00:00,1.57546175959,3.60063799277,0.0,2.74803262046,0.0,0.0815922797561,0.0815922797561,0.0815922797561,0.476752324918,0.0977865969395,0.293949140492,0.610306417479,0.810564514898
 01/01  23:00:00,1.29897386752,3.7065333671,0.0,2.99915555772,0.0,0.0890647381085,0.0890647381085,0.0890647381085,0.358903443084,0.0736146271644,0.234174068073,0.528141991089,0.670996834995
 01/01  24:00:00,1.02013583789,3.83683225452,0.0,3.28944049332,0.0,0.0977069666526,0.0977069666526,0.0977069666526,0.246411292335,0.050541388868,0.151455627092,0.458945562945,0.515777371416
 01/02  01:00:00,0.745146008986,4.04151855255,0.0,3.67634904541,0.0,0.109152051549,0.109152051549,0.109152051549,0.128562410501,0.0263694190929,0.0863692416722,0.379617886171,0.33901959135
 01/02  02:00:00,0.643451202228,4.21206919013,0.0,3.91442008497,0.0,0.116232442971,0.116232442971,0.116232442971,0.0749947671662,0.0153821588643,0.0722387554862,0.34952807774,0.273571920895
 01/02  03:00:00,0.60634420115,4.38271711652,0.0,4.1030621187,0.0,0.121523432367,0.121523432367,0.121523432367,0.0535676765835,0.0109872588647,0.0597152550472,0.345475578288,0.255856969302
 01/02  04:00:00,0.598739719249,4.5400739388,0.0,4.25564702126,0.0,0.125886178493,0.125886178493,0.125886178493,0.0535676765835,0.0109872588647,0.0526110263622,0.340612578945,0.260963875937
 01/02  05:00:00,0.599917015541,4.71394714262,0.0,4.37832527857,0.0,0.129389478215,0.129389478215,0.129389478215,0.0535676765835,0.0109872588647,0.0631517086927,0.327745893185,0.31304514198
 01/02  06:00:00,0.651052178065,4.96191005533,0.0,4.39516218547,0.0,0.129702679092,0.129702679092,0.129702679092,0.0535676765835,0.0109872588647,0.0759814879778,0.365738075548,0.541554062544
 01/02  07:00:00,0.840318084901,5.21810770495,0.0,4.2210261004,0.0,0.124434306805,0.124434306805,0.124434306805,0.123205679416,0.0252706876143,0.129758030703,0.422574380363,0.96797263771
 01/02  08:00:00,1.12837470234,5.31502102623,0.0,4.19930127803,0.0,0.123468637392,0.123468637392,0.123468637392,0.251768089917,0.0516401067072,0.207405929039,0.449016939288,1.08478929003
 01/02  09:00:00,1.06886665281,4.99701730669,0.0,3.91732655581,0.0,0.114985898762,0.114985898762,0.114985898762,0.24105456125,0.0494426573893,0.268690649238,0.379617886171,1.05354083509
 01/02  10:00:00,0.922899068249,4.60568178577,0.0,3.6240802353,0.0,0.106228686725,0.106228686725,0.106228686725,0.123205679416,0.0252706876143,0.330033495679,0.323085518815,0.95934585753
 01/02  11:00:00,0.930973219563,4.85372461982,0.0,3.98279032891,0.0,0.117683299818,0.117683299818,0.117683299818,0.101778555585,0.0208757889786,0.344876619894,0.330683955288,0.848155180915
 01/02  12:00:00,0.920218253614,3.84918072845,0.0,3.07733221315,0.0,0.0905839154045,0.0905839154045,0.0905839154045,0.101778555585,0.0208757889786,0.361119725873,0.330785267774,0.749062426414
 01/02  13:00:00,0.910854973334,3.93519591511,0.0,3.24101521446,0.0,0.0960665738439,0.0960665738439,0.0960665738439,0.101778555585,0.0208757889786,0.3518459739,0.325213081027,0.671778450937
 01/02  14:00:00,0.896099441348,4.14215434499,0.0,3.49286420183,0.0,0.104063546697,0.104063546697,0.104063546697,0.101778555585,0.0208757889786,0.317847783081,0.336458767007,0.626113236206
 01/02  15:00:00,0.899885293425,4.21709264258,0.0,3.61203439823,0.0,0.107654046834,0.107654046834,0.107654046834,0.107135353167,0.0219745204572,0.292642171022,0.355404201945,0.580576284228
 01/02  16:00:00,0.957465930928,4.08540513037,0.0,3.47302982744,0.0,0.102979819657,0.102979819657,0.102979819657,0.133919208083,0.0274681505715,0.302863615842,0.375160136774,0.586532458476
 01/02  17:00:00,1.18997484533,4.26212546476,0.0,3.58993537394,0.0,0.106299686686,0.106299686686,0.106299686686,0.224984235001,0.0461464902322,0.353720743409,0.44374869,0.641622535142
 01/02  18:00:00,1.64768913668,5.65725383231,0.0,4.8603913124,0.0,0.144931956767,0.144931956767,0.144931956767,0.417827884001,0.0857006188716,0.445069937436,0.53908373961,0.759727824972
 01/02  19:00:00,1.88904016058,4.69324972234,0.0,3.78397052034,0.0,0.111561964243,0.111561964243,0.111561964243,0.621385061668,0.127452196829,0.398283704478,0.585282233363,0.868962131407
 01/02  20:00:00,1.83977305554,4.72775122341,0.0,3.79922363873,0.0,0.111200081683,0.111200081683,0.111200081683,0.658882445251,0.135143276261,0.315345896534,0.604126355815,0.886912439803
 01/02  21:00:00,1.72059723999,4.96493257179,0.0,4.09976458346,0.0,0.120469541588,0.120469541588,0.120469541588,0.567817418333,0.1164649366,0.275874927963,0.624895415507,0.822122170188
 01/02  22:00:00,1.58863050116,5.22602728007,0.0,4.44069303673,0.0,0.130367878795,0.130367878795,0.130367878795,0.476752324918,0.0977865969395,0.258342283024,0.610306417479,0.743293385928
 01/02  23:00:00,1.32369354935,5.50198355206,0.0,4.84752144488,0.0,0.142077631867,0.142077631867,0.142077631867,0.358903443084,0.0736146271644,0.205880856148,0.528141991089,0.618081132799
 01/02  24:00:00,1.06504845031,5.91538514891,0.0,5.40096381557,0.0,0.15815442441,0.15815442441,0.15815442441,0.246411292335,0.050541388868,0.135920781757,0.458945562945,0.482806943555
 01/03  01:00:00,0.813117009653,6.42264316677,0.0,6.0572378846,0.0,0.177123052216,0.177123052216,0.177123052216,0.128562410501,0.0263694190929,0.0863692416722,0.379617886171,0.339255366388
 01/03  02:00:00,0.71376494333,6.69771739422,0.0,6.39995044534,0.0,0.186546184074,0.186546184074,0.186546184074,0.0749947671662,0.0153821588643,0.0722387554862,0.34952807774,0.273689764605
 01/03  03:00:00,0.678559196048,6.94548556434,0.0,6.66574763029,0.0,0.193738427265,0.193738427265,0.193738427265,0.0535676765835,0.0109872588647,0.0597152550472,0.345475578288,0.255939905533
 01/03  04:00:00,0.688160123687,7.68518592405,0.0,7.4006664341,0.0,0.215306582932,0.215306582932,0.215306582932,0.0535676765835,0.0109872588647,0.0526110263622,0.340612578945,0.261056448344
 01/03  05:00:00,0.689523718531,7.85830274138,0.0,7.52249208042,0.0,0.218996181206,0.218996181206,0.218996181206,0.0535676765835,0.0109872588647,0.0631517086927,0.327745893185,0.3132339389
 01/03  06:00:00,0.754753320993,8.64250202099,0.0,8.07515769211,0.0,0.23340382202,0.23340382202,0.23340382202,0.0535676765835,0.0109872588647,0.0759814879778,0.365738075548,0.542150521573
 01/03  07:00:00,1.01062726398,11.1324323705,0.0,10.1339873872,0.0,0.29474348588,0.29474348588,0.29474348588,0.123205679416,0.0252706876143,0.129758030703,0.422574380363,0.969336016395
 01/03  08:00:00,1.2604516326,10.0028419303,0.0,8.88553019718,0.0,0.255545567648,0.255545567648,0.255545567648,0.251768089917,0.0516401067072,0.207405929039,0.449016939288,1.08638127496
