Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly) 
 01/01  01:00:00,0.702632528852,2.53974271485,0.0,2.16219749373,0.0,0.060064888338,0.060064888338,0.060064888338,0.128562410501,0.0263694190929,0.092942924749,0.379617886171,0.351395305327
 01/01  02:00:00,0.597448778309,2.6937286077,0.0,2.38957904571,0.0,0.0662829949768,0.0662829949768,0.0662829949768,0.0749947671662,0.0153821588643,0.0761857795615,0.34952807774,0.280072377718
 01/01  03:00:00,0.559932424266,2.89815924169,0.0,2.61372434157,0.0,0.0725004170562,0.0725004170562,0.0725004170562,0.0535676765835,0.0109872588647,0.0623264934745,0.345475578288,0.260636871607
 01/01  04:00:00,0.55185067234,3.08696615966,0.0,2.79740718608,0.0,0.0776317274126,0.0776317274126,0.0776317274126,0.0535676765835,0.0109872588647,0.0539764305342,0.340612578945,0.266095931982
 01/01  05:00:00,0.55566421302,3.31762510077,0.0,2.97150967852,0.0,0.0824655200792,0.0824655200792,0.0824655200792,0.0535676765835,0.0109872588647,0.0658228643082,0.327745893185,0.323538700182
 01/01  06:00:00,0.607542419466,3.55557208234,0.0,2.95856680678,0.0,0.082096227892,0.082096227892,0.082096227892,0.0535676765835,0.0109872588647,0.080078180578,0.365738075548,0.571811468249
 01/01  07:00:00,0.817737028263,4.35490789226,0.0,3.28841791461,0.0,0.0912277379497,0.0912277379497,0.0912277379497,0.123205679416,0.0252706876143,0.14038354292,0.422574380363,1.0373810108
 01/01  08:00:00,1.12114201206,4.6270822891,0.0,3.42699322908,0.0,0.0950745851884,0.0950745851884,0.0950745851884,0.251768089917,0.0516401067072,0.228567290958,0.449016939288,1.16915860185
 01/01  09:00:00,1.03922052636,3.07470502113,0.0,1.90685106542,0.0,0.0529024714225,0.0529024714225,0.0529024714225,0.24105456125,0.0494426573893,0.30112795013,0.379617886171,1.14170403992
 01/01  10:00:00,0.891401427032,2.13349159837,0.0,1.07071906932,0.0,0.029699987042,0.029699987042,0.029699987042,0.123205679416,0.0252706876143,0.375064554145,0.323085518815,1.04051683611
 01/01  11:00:00,0.888129563244,1.80307135675,0.0,0.86246690147,0.0,0.0239234142099,0.0239234142099,0.0239234142099,0.101778555585,0.0208757889786,0.395792849183,0.330683955288,0.917825345285
 01/01  12:00:00,0.883398605659,0.875631081472,0.0,0.0459835440824,0.0,0.00127550792969,0.00127550792969,0.00127550792969,0.101778555585,0.0208757889786,0.413608485392,0.330785267774,0.806861448505
 01/01  13:00:00,0.862598905581,0.742570028779,0.0,0.0,0.0,0.0,0.0,0.0,0.101778555585,0.0208757889786,0.399656479991,0.325213081027,0.720167779064
 01/01  14:00:00,0.835623927166,0.688950493797,0.0,0.0,0.0,0.0,0.0,0.0,0.101778555585,0.0208757889786,0.361435815596,0.336458767007,0.665773586849
 01/01  15:00:00,0.831356818766,0.639382975428,0.0,0.0,0.0,0.0,0.0,0.0,0.107135353167,0.0219745204572,0.331767743197,0.355404201945,0.614901015303
 01/01  16:00:00,0.891545084126,0.644744279984,0.0,0.0,0.0,0.0,0.0,0.0,0.133919208083,0.0274681505715,0.339922588697,0.375160136774,0.618901435531
 01/01  17:00:00,1.11959307789,0.714103199557,0.0,0.0,0.0,0.0,0.0,0.0,0.224984235001,0.0461464902322,0.389638662656,0.44374869,0.683535643871
 01/01  18:00:00,1.53810911013,0.852919832741,0.0,0.0,0.0,0.0,0.0,0.0,0.417827884001,0.0857006188716,0.480421867651,0.53908373961,0.815785137809
 01/01  19:00:00,1.81178851188,0.981946961014,0.0,0.0,0.0,0.0,0.0,0.0,0.621385061668,0.127452196829,0.432594020017,0.585282233363,0.941629890421
 01/01  20:00:00,1.76281772805,1.0111711514,0.0,0.0,0.0,0.0,0.0,0.0,0.658882445251,0.135143276261,0.349590650728,0.604126355815,0.969556006523
 01/01  21:00:00,1.64496288565,1.30513616457,0.0,0.359693839635,0.0,0.00997981691754,0.00997981691754,0.00997981691754,0.567817418333,0.1164649366,0.310730298291,0.624895415507,0.902396506795
 01/01  22:00:00,1.51879618734,1.74262886418,0.0,0.890023491249,0.0,0.0249267075068,0.0249267075068,0.0249267075068,0.476752324918,0.0977865969395,0.293949140492,0.610306417479,0.810564515519
 01/01  23:00:00,1.25402283938,2.2760531549,0.0,1.56867534173,0.0,0.0441137099663,0.0441137099663,0.0441137099663,0.358903443084,0.0736146271644,0.234174068073,0.528141991089,0.670996838789
 01/01  24:00:00,0.98772800266,2.87767680532,0.0,2.33028504333,0.0,0.0652991314196,0.0652991314196,0.0652991314196,0.246411292335,0.050541388868,0.151455627092,0.458945562945,0.515777372198
