Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly) 
 01/01  01:00:00,0.642567640514,0.3636869575,0.0,0.0,0.0,0.0,0.0,0.0,0.128562410501,0.0263694190929,0.092942924749,0.379617886171,0.337537041711
 01/01  02:00:00,0.531165783332,0.294265015189,0.0,0.0,0.0,0.0,0.0,0.0,0.0749947671662,0.0153821588643,0.0761857795615,0.34952807774,0.270187830915
 01/01  03:00:00,0.48743200721,0.27633650766,0.0,0.0,0.0,0.0,0.0,0.0,0.0535676765835,0.0109872588647,0.0623264934745,0.345475578288,0.252538479146
 01/01  04:00:00,0.474218944927,0.283550197815,0.0,0.0,0.0,0.0,0.0,0.0,0.0535676765835,0.0109872588647,0.0539764305342,0.340612578945,0.260087156213
 01/01  05:00:00,0.473198692941,0.343342936399,0.0,0.0,0.0,0.0,0.0,0.0,0.0535676765835,0.0109872588647,0.0658228643082,0.327745893185,0.320766214335
 01/01  06:00:00,0.525446191574,0.594846876582,0.0,0.0,0.0,0.0,0.0,0.0,0.0535676765835,0.0109872588647,0.080078180578,0.365738075548,0.56965306927
 01/01  07:00:00,0.742713712085,1.6502663827,0.0,0.584188248082,0.0,0.0162044217715,0.0162044217715,0.0162044217715,0.123205679416,0.0252706876143,0.14038354292,0.422574380363,1.03696916777
 01/01  08:00:00,1.02606742687,1.19994141985,0.0,0.0,0.0,0.0,0.0,0.0,0.251768089917,0.0516401067072,0.228567290958,0.449016939288,1.16901096168
 01/01  09:00:00,0.986318054941,1.16690307577,0.0,0.0,0.0,0.0,0.0,0.0,0.24105456125,0.0494426573893,0.30112795013,0.379617886171,1.14075315998
 01/01  10:00:00,0.86170143999,1.05947771997,0.0,0.0,0.0,0.0,0.0,0.0,0.123205679416,0.0252706876143,0.375064554145,0.323085518815,1.03722202703
 01/01  11:00:00,0.864206149034,0.93492764576,0.0,0.0,0.0,0.0,0.0,0.0,0.101778555585,0.0208757889786,0.395792849183,0.330683955288,0.91214853577
 01/01  12:00:00,0.882123097729,0.819796916985,0.0,0.0,0.0,0.0,0.0,0.0,0.101778555585,0.0208757889786,0.413608485392,0.330785267774,0.7970108281
 01/01  13:00:00,0.862598905581,0.728726783628,0.0,0.0,0.0,0.0,0.0,0.0,0.101778555585,0.0208757889786,0.399656479991,0.325213081027,0.706324533913
 01/01  14:00:00,0.835623927166,0.67345948137,0.0,0.0,0.0,0.0,0.0,0.0,0.101778555585,0.0208757889786,0.361435815596,0.336458767007,0.650282574422
 01/01  15:00:00,0.831356818766,0.621278574875,0.0,0.0,0.0,0.0,0.0,0.0,0.107135353167,0.0219745204572,0.331767743197,0.355404201945,0.596796614751
 01/01  16:00:00,0.891545084126,0.627741683898,0.0,0.0,0.0,0.0,0.0,0.0,0.133919208083,0.0274681505715,0.339922588697,0.375160136774,0.601898839445
 01/01  17:00:00,1.11959307789,0.694709545524,0.0,0.0,0.0,0.0,0.0,0.0,0.224984235001,0.0461464902322,0.389638662656,0.44374869,0.664141989838
 01/01  18:00:00,1.53810911013,0.829431405481,0.0,0.0,0.0,0.0,0.0,0.0,0.417827884001,0.0857006188716,0.480421867651,0.53908373961,0.792296710548
 01/01  19:00:00,1.81178851188,0.958539757115,0.0,0.0,0.0,0.0,0.0,0.0,0.621385061668,0.127452196829,0.432594020017,0.585282233363,0.918222686522
 01/01  20:00:00,1.76281772805,0.987707306809,0.0,0.0,0.0,0.0,0.0,0.0,0.658882445251,0.135143276261,0.349590650728,0.604126355815,0.946092161934
 01/01  21:00:00,1.63498306873,0.922009936359,0.0,0.0,0.0,0.0,0.0,0.0,0.567817418333,0.1164649366,0.310730298291,0.624895415507,0.878964118215
 01/01  22:00:00,1.49386947983,0.830320536478,0.0,0.0,0.0,0.0,0.0,0.0,0.476752324918,0.0977865969395,0.293949140492,0.610306417479,0.788279679069
 01/01  23:00:00,1.20990912941,0.687157232422,0.0,0.0,0.0,0.0,0.0,0.0,0.358903443084,0.0736146271644,0.234174068073,0.528141991089,0.650776258041
 01/01  24:00:00,0.92242887124,0.530655041322,0.0,0.0,0.0,0.0,0.0,0.0,0.246411292335,0.050541388868,0.151455627092,0.458945562945,0.499040651538
