Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly) 
 01/01  01:00:00,0.918465372592,6.58414614272,0.0,6.12689294163,0.0,0.197671766656,0.197671766656,0.197671766656,0.161612796136,0.0352113105958,0.092942924749,0.413914574456,0.428743711512
 01/01  02:00:00,0.793601867139,6.69419086083,0.0,6.33054287304,0.0,0.204383689365,0.204383689365,0.204383689365,0.0942741659095,0.0205399387695,0.0761857795615,0.381106293534,0.337398257592
 01/01  03:00:00,0.746599154892,6.79449331189,0.0,6.45665160627,0.0,0.208462938621,0.208462938621,0.208462938621,0.0673386720226,0.0146713809326,0.0623264934745,0.376687669841,0.311896320118
 01/01  04:00:00,0.736116461336,6.90043562956,0.0,6.55614711147,0.0,0.211632656437,0.211632656437,0.211632656437,0.0673386720226,0.0146713809326,0.0539764305342,0.371385321409,0.318708346226
 01/01  05:00:00,0.73480230629,7.00023380108,0.0,6.58276937607,0.0,0.212501197843,0.212501197843,0.212501197843,0.0673386720226,0.0146713809326,0.0658228643082,0.357356191184,0.392850547564
 01/01  06:00:00,0.794857908281,7.45645634037,0.0,6.71812360039,0.0,0.216876886441,0.216876886441,0.216876886441,0.0673386720226,0.0146713809326,0.080078180578,0.398780788307,0.710865630984
 01/01  07:00:00,1.03080781825,8.27566409954,0.0,6.9358754169,0.0,0.2239371323,0.2239371323,0.2239371323,0.15487897491,0.0337441825195,0.14038354292,0.460751985603,1.30805313925
 01/01  08:00:00,1.34397796184,7.96939208268,0.0,6.45518212017,0.0,0.208267901515,0.208267901515,0.208267901515,0.316491771045,0.0689554931152,0.228567290958,0.489583505201,1.48048856998
 01/01  09:00:00,1.28144883739,7.07380836812,0.0,5.59699606673,0.0,0.180249049055,0.180249049055,0.180249049055,0.303024045,0.06602121875,0.30112795013,0.413914574456,1.44830281181
 01/01  10:00:00,1.07638312952,5.80339337404,0.0,4.4579521077,0.0,0.143308644014,0.143308644014,0.143308644014,0.15487897491,0.0337441825195,0.375064554145,0.352274773936,1.32117738528
 01/01  11:00:00,1.07161369704,5.60770694087,0.0,4.41704383475,0.0,0.142330099692,0.142330099692,0.142330099692,0.127943439226,0.0278756155762,0.395792849183,0.360559693361,1.16582857877
 01/01  12:00:00,1.03796882242,3.88179097921,0.0,2.83452311035,0.0,0.0907591232696,0.0907591232696,0.0907591232696,0.127943439226,0.0278756155762,0.413608485392,0.360670158953,1.02242573289
 01/01  13:00:00,0.998006391487,3.14915885149,0.0,2.2101043073,0.0,0.0708243053179,0.0708243053179,0.0708243053179,0.127943439226,0.0278756155762,0.399656479991,0.354594551375,0.914630882172
 01/01  14:00:00,0.950696653764,2.41843795006,0.0,1.54632311508,0.0,0.0494735512422,0.0494735512422,0.0494735512422,0.127943439226,0.0278756155762,0.361435815596,0.366856232124,0.846846616427
 01/01  15:00:00,0.941499332348,2.09293178196,0.0,1.28350239872,0.0,0.0410861853511,0.0410861853511,0.0410861853511,0.134677344045,0.0293427618652,0.331767743197,0.387513297889,0.78273835322
 01/01  16:00:00,1.01912247681,2.31173884984,0.0,1.49290300677,0.0,0.0480086418756,0.0480086418756,0.0480086418756,0.168346700955,0.0366784568848,0.339922588697,0.409054088393,0.790661132653
 01/01  17:00:00,1.29069177528,2.63316928755,0.0,1.72681174293,0.0,0.0556596059874,0.0556596059874,0.0556596059874,0.282822414136,0.0616197980958,0.389638662656,0.4838392944,0.87303180019
 01/01  18:00:00,1.84103381653,4.65404681555,0.0,3.5774594671,0.0,0.116034108864,0.116034108864,0.116034108864,0.525241650136,0.114436773096,0.480421867651,0.587787416781,1.036101895
 01/01  19:00:00,2.16682301888,4.27084096917,0.0,3.03312298502,0.0,0.0976406373399,0.0976406373399,0.0976406373399,0.781128612181,0.170188022461,0.432594020017,0.638159726883,1.19376300114
 01/01  20:00:00,2.14294039268,4.64798709578,0.0,3.37550123843,0.0,0.108807727916,0.108807727916,0.108807727916,0.828265695136,0.180457991846,0.349590650728,0.658706327056,1.2271156715
 01/01  21:00:00,2.00758735368,5.18569323428,0.0,3.99851051071,0.0,0.129086667524,0.129086667524,0.129086667524,0.713789981955,0.155516632422,0.310730298291,0.681351773484,1.14025277113
 01/01  22:00:00,1.85663317698,5.72105120961,0.0,4.65214036209,0.0,0.15023783191,0.15023783191,0.15023783191,0.599314185181,0.130575291211,0.293949140492,0.665444728188,1.023076536
 01/01  23:00:00,1.5500568803,6.25216358238,0.0,5.36993035601,0.0,0.173446309345,0.173446309345,0.173446309345,0.45116911509,0.0982982549805,0.234174068073,0.57585713281,0.842569503593
 01/01  24:00:00,1.24274005949,6.75926873333,0.0,6.08378689372,0.0,0.1965170861,0.1965170861,0.1965170861,0.309757866226,0.0674883468263,0.151455627092,0.500409133249,0.641014802562
 01/02  01:00:00,0.933214652241,7.22073156453,0.0,6.77895423798,0.0,0.218994729382,0.218994729382,0.218994729382,0.161612796136,0.0352113105958,0.0863692416722,0.413914574456,0.413267836969
 01/02  02:00:00,0.821814093876,7.67794943626,0.0,7.32246503126,0.0,0.236542940177,0.236542940177,0.236542940177,0.0942741659095,0.0205399387695,0.0722387554862,0.381106293534,0.329234674795
 01/02  03:00:00,0.785520182473,8.07056419407,0.0,7.73928284018,0.0,0.249995204629,0.249995204629,0.249995204629,0.0673386720226,0.0146713809326,0.0597152550472,0.376687669841,0.30533596839
 01/02  04:00:00,0.784389586722,8.42526518762,0.0,8.08810572744,0.0,0.261271185995,0.261271185995,0.261271185995,0.0673386720226,0.0146713809326,0.0526110263622,0.371385321409,0.311579288306
 01/02  05:00:00,0.790730288396,8.79487223351,0.0,8.39177076305,0.0,0.271100335564,0.271100335564,0.271100335564,0.0673386720226,0.0146713809326,0.0631517086927,0.357356191184,0.378487593006
 01/02  06:00:00,0.851408042194,9.28917338383,0.0,8.59074056803,0.0,0.277523712954,0.277523712954,0.277523712954,0.0673386720226,0.0146713809326,0.0759814879778,0.398780788307,0.670965706802
 01/02  07:00:00,1.06559551671,9.58713087217,0.0,8.33778171771,0.0,0.269350342978,0.269350342978,0.269350342978,0.15487897491,0.0337441825195,0.129758030703,0.460751985603,1.21761361107
 01/02  08:00:00,1.36806728682,9.25941174492,0.0,7.85559087681,0.0,0.253518588421,0.253518588421,0.253518588421,0.316491771045,0.0689554931152,0.207405929039,0.489583505201,1.37009947557
 01/02  09:00:00,1.28475579426,8.0635361346,0.0,6.70288586168,0.0,0.215993306818,0.215993306818,0.215993306818,0.303024045,0.06602121875,0.268690649238,0.413914574456,1.33214078334
 01/02  10:00:00,1.05797155387,6.51975753215,0.0,5.28170373896,0.0,0.169928126827,0.169928126827,0.169928126827,0.15487897491,0.0337441825195,0.330033495679,0.352274773936,1.21378991214
 01/02  11:00:00,1.04632730361,6.30581783912,0.0,5.20783925664,0.0,0.167959935552,0.167959935552,0.167959935552,0.127943439226,0.0278756155762,0.344876619894,0.360559693361,1.07314405512
 01/02  12:00:00,1.00182106317,4.31174183671,0.0,3.34162027361,0.0,0.107100123543,0.107100123543,0.107100123543,0.127943439226,0.0278756155762,0.361119725873,0.360670158953,0.945279427128
 01/02  13:00:00,0.958530976182,3.34173795351,0.0,2.4694575221,0.0,0.0791593961041,0.0791593961041,0.0791593961041,0.127943439226,0.0278756155762,0.3518459739,0.354594551375,0.8478567694
 01/02  14:00:00,0.912321497498,2.52308816518,0.0,1.70866641263,0.0,0.0546864274904,0.0546864274904,0.0546864274904,0.127943439226,0.0278756155762,0.317847783081,0.366856232124,0.789153533998
 01/02  15:00:00,0.907984178812,2.21494634079,0.0,1.45770925328,0.0,0.0466966039903,0.0466966039903,0.0466966039903,0.134677344045,0.0293427618652,0.292642171022,0.387513297889,0.730546057491
 01/02  16:00:00,0.983668832809,2.30979700824,0.0,1.54271031451,0.0,0.0496139707343,0.0496139707343,0.0496139707343,0.168346700955,0.0366784568848,0.302863615842,0.409054088393,0.738911983308
 01/02  17:00:00,1.25455417288,2.56305991974,0.0,1.71992603988,0.0,0.0554399228434,0.0554399228434,0.0554399228434,0.282822414136,0.0616197980958,0.353720743409,0.4838392944,0.809808135435
 01/02  18:00:00,1.80593990918,4.58494126939,0.0,3.58368863417,0.0,0.116292131727,0.116292131727,0.116292131727,0.525241650136,0.114436773096,0.445069937436,0.587787416781,0.960767181762
 01/02  19:00:00,2.13464564478,4.23688665133,0.0,3.09649803965,0.0,0.0997735787775,0.0997735787775,0.0997735787775,0.781128612181,0.170188022461,0.398283704478,0.638159726883,1.09643362868
 01/02  20:00:00,2.11303250379,4.67002959649,0.0,3.50641166934,0.0,0.113144593214,0.113144593214,0.113144593214,0.828265695136,0.180457991846,0.315345896534,0.658706327056,1.11824774129
 01/02  21:00:00,1.98002099793,5.3031270293,0.0,4.21982337774,0.0,0.136375682111,0.136375682111,0.136375682111,0.713789981955,0.155516632422,0.275874927963,0.681351773484,1.03637369913
 01/02  22:00:00,1.83158313571,5.95529934989,0.0,4.97375140567,0.0,0.160794648104,0.160794648104,0.160794648104,0.599314185181,0.130575291211,0.258342283024,0.665444728188,0.935713632706
 01/02  23:00:00,1.53538395107,6.59881941899,0.0,5.78552447412,0.0,0.187066592037,0.187066592037,0.187066592037,0.45116911509,0.0982982549805,0.205880856148,0.57585713281,0.773631222106
 01/02  24:00:00,1.2437576535,7.22215634813,0.0,6.58930546907,0.0,0.213069525441,0.213069525441,0.213069525441,0.309757866226,0.0674883468263,0.135920781757,0.500409133249,0.598383842019
 01/03  01:00:00,0.953010685059,7.82534172183,0.0,7.38363001631,0.0,0.238790762199,0.238790762199,0.238790762199,0.161612796136,0.0352113105958,0.0863692416722,0.413914574456,0.413202215942
 01/03  02:00:00,0.844612467261,8.37424302686,0.0,8.01899589004,0.0,0.259341313562,0.259341313562,0.259341313562,0.0942741659095,0.0205399387695,0.0722387554862,0.381106293534,0.328997406626
 01/03  03:00:00,0.811686549486,8.87015901999,0.0,8.53920893562,0.0,0.276161571643,0.276161571643,0.276161571643,0.0673386720226,0.0146713809326,0.0597152550472,0.376687669841,0.305004698865
 01/03  04:00:00,0.814011192461,9.33118386405,0.0,8.99420739332,0.0,0.290892791734,0.290892791734,0.290892791734,0.0673386720226,0.0146713809326,0.0526110263622,0.371385321409,0.311396298864
 01/03  05:00:00,0.823497989743,9.79737955193,0.0,9.39458699759,0.0,0.303868036912,0.303868036912,0.303868036912,0.0673386720226,0.0146713809326,0.0631517086927,0.357356191184,0.378178676892
 01/03  06:00:00,0.887221314519,10.3854805818,0.0,9.68697793931,0.0,0.31333698528,0.31333698528,0.31333698528,0.0673386720226,0.0146713809326,0.0759814879778,0.398780788307,0.671035533513
 01/03  07:00:00,1.10352971007,10.7501454934,0.0,9.49955218094,0.0,0.307284536333,0.307284536333,0.307284536333,0.15487897491,0.0337441825195,0.129758030703,0.460751985603,1.21885776912
 01/03  08:00:00,1.4098189065,10.5401203225,0.0,9.13479849169,0.0,0.295270208104,0.295270208104,0.295270208104,0.316491771045,0.0689554931152,0.207405929039,0.489583505201,1.37160043826
 01/03  09:00:00,1.32988894119,9.4497637847,0.0,8.08775051703,0.0,0.261126453751,0.261126453751,0.261126453751,0.303024045,0.06602121875,0.268690649238,0.413914574456,1.33350377808
 01/03  10:00:00,1.09923214081,7.78978227971,0.0,6.55085429413,0.0,0.211188713762,0.211188713762,0.211188713762,0.15487897491,0.0337441825195,0.330033495679,0.352274773936,1.21466410453
 01/03  11:00:00,1.08711479613,7.55944938813,0.0,6.46100675058,0.0,0.208747428071,0.208747428071,0.208747428071,0.127943439226,0.0278756155762,0.344876619894,0.360559693361,1.07360811019
 01/03  12:00:00,1.03961991862,5.47720081679,0.0,4.50702310423,0.0,0.144898978986,0.144898978986,0.144898978986,0.127943439226,0.0278756155762,0.361119725873,0.360670158953,0.945335576588
 01/03  13:00:00,0.999427621115,4.60154557569,0.0,3.7295568936,0.0,0.120056041038,0.120056041038,0.120056041038,0.127943439226,0.0278756155762,0.3518459739,0.354594551375,0.84756502008
 01/03  14:00:00,0.953484491536,3.79391177219,0.0,2.97990044402,0.0,0.0958494215287,0.0958494215287,0.0958494215287,0.127943439226,0.0278756155762,0.317847783081,0.366856232124,0.788743109619
 01/03  15:00:00,0.947406389419,3.43283680456,0.0,2.67614541293,0.0,0.0861188145977,0.0861188145977,0.0861188145977,0.134677344045,0.0293427618652,0.292642171022,0.387513297889,0.730000361617
 01/03  16:00:00,1.02415850318,3.56029346356,0.0,2.79387780712,0.0,0.0901036411062,0.0901036411062,0.0901036411062,0.168346700955,0.0366784568848,0.302863615842,0.409054088393,0.73824094603
 01/03  17:00:00,1.29748981835,3.88869418546,0.0,3.04600087752,0.0,0.0983755683105,0.0983755683105,0.0983755683105,0.282822414136,0.0616197980958,0.353720743409,0.4838392944,0.809367563512
 01/03  18:00:00,1.85370292599,6.05583214949,0.0,5.05496577783,0.0,0.164055148536,0.164055148536,0.164055148536,0.525241650136,0.114436773096,0.445069937436,0.587787416781,0.960380918213
 01/03  19:00:00,2.1757464955,5.50852167933,0.0,4.36879539095,0.0,0.140874429497,0.140874429497,0.140874429497,0.781128612181,0.170188022461,0.398283704478,0.638159726883,1.09577130537
 01/03  20:00:00,2.15177083577,5.86433712776,0.0,4.70070172021,0.0,0.151882925194,0.151882925194,0.151882925194,0.828265695136,0.180457991846,0.315345896534,0.658706327056,1.1182652217
 01/03  21:00:00,2.01605294652,6.41452627162,0.0,5.33121095477,0.0,0.172407630692,0.172407630692,0.172407630692,0.713789981955,0.155516632422,0.275874927963,0.681351773484,1.03638536441
 01/03  22:00:00,1.86532968921,6.99477151673,0.0,6.01331948775,0.0,0.19454120161,0.19454120161,0.19454120161,0.599314185181,0.130575291211,0.258342283024,0.665444728188,0.935617717457
 01/03  23:00:00,1.5670509772,7.57253844914,0.0,6.75955467144,0.0,0.218733618171,0.218733618171,0.218733618171,0.45116911509,0.0982982549805,0.205880856148,0.57585713281,0.773320054928
 01/03  24:00:00,1.27314138555,8.12330709765,0.0,7.49132471451,0.0,0.242453257494,0.242453257494,0.242453257494,0.309757866226,0.0674883468263,0.135920781757,0.500409133249,0.597515346086
 01/04  01:00:00,0.980137604686,8.65585810766,0.0,8.21464078433,0.0,0.265917681827,0.265917681827,0.265917681827,0.161612796136,0.0352113105958,0.0863692416722,0.413914574456,0.412707833747
 01/04  02:00:00,0.869546507919,9.13650542688,0.0,8.78204312512,0.0,0.28427535422,0.28427535422,0.28427535422,0.0942741659095,0.0205399387695,0.0722387554862,0.381106293534,0.328212571564
 01/04  03:00:00,0.834858104503,9.57705129631,0.0,9.24683316235,0.0,0.29933312666,0.29933312666,0.29933312666,0.0673386720226,0.0146713809326,0.0597152550472,0.376687669841,0.304272748456
 01/04  04:00:00,0.835068645656,9.97200433688,0.0,9.63588849189,0.0,0.311950244929,0.311950244929,0.311950244929,0.0673386720226,0.0146713809326,0.0526110263622,0.371385321409,0.310535673124
 01/04  05:00:00,0.842218291812,10.3662420344,0.0,9.96380424411,0.0,0.32258833898,0.32258833898,0.32258833898,0.0673386720226,0.0146713809326,0.0631517086927,0.357356191184,0.377823912825
 01/04  06:00:00,0.904076901228,10.8969101071,0.0,10.19825393,0.0,0.330192571988,0.330192571988,0.330192571988,0.0673386720226,0.0146713809326,0.0759814879778,0.398780788307,0.6711890681
 01/04  07:00:00,1.11848541709,11.2040296041,0.0,9.9522086461,0.0,0.322240243354,0.322240243354,0.322240243354,0.15487897491,0.0337441825195,0.129758030703,0.460751985603,1.22008541465
 01/04  08:00:00,1.41824655608,10.7949184325,0.0,9.38808795056,0.0,0.303697857678,0.303697857678,0.303697857678,0.316491771045,0.0689554931152,0.207405929039,0.489583505201,1.37310908944
 01/04  09:00:00,1.33182511718,9.50516701041,0.0,8.14163427552,0.0,0.263062629736,0.263062629736,0.263062629736,0.303024045,0.06602121875,0.268690649238,0.413914574456,1.3350232453
 01/04  10:00:00,1.09427725906,7.63417014171,0.0,6.39385484483,0.0,0.206233832012,0.206233832012,0.206233832012,0.15487897491,0.0337441825195,0.330033495679,0.352274773936,1.21605141584
 01/04  11:00:00,1.0716615883,7.08148334316,0.0,5.98184308793,0.0,0.193294220243,0.193294220243,0.193294220243,0.127943439226,0.0278756155762,0.344876619894,0.360559693361,1.07480572787
 01/04  12:00:00,1.02218168332,4.93634108461,0.0,3.96489290868,0.0,0.12746074369,0.12746074369,0.12746074369,0.127943439226,0.0278756155762,0.361119725873,0.360670158953,0.946606039952
 01/04  13:00:00,0.97619341551,3.88360475317,0.0,3.01046108753,0.0,0.0968218354323,0.0968218354323,0.0968218354323,0.127943439226,0.0278756155762,0.3518459739,0.354594551375,0.848720003626
 01/04  14:00:00,0.927108557694,2.97832459957,0.0,2.16305929581,0.0,0.0694734876868,0.0694734876868,0.0694734876868,0.127943439226,0.0278756155762,0.317847783081,0.366856232124,0.789997085214
 01/04  15:00:00,0.9149511912,2.42925147716,0.0,1.67088359259,0.0,0.0536636163782,0.0536636163782,0.0536636163782,0.134677344045,0.0293427618652,0.292642171022,0.387513297889,0.731676854551
 01/04  16:00:00,0.99426350878,2.63537845627,0.0,1.86709132702,0.0,0.060208646705,0.060208646705,0.060208646705,0.168346700955,0.0366784568848,0.302863615842,0.409054088393,0.740112418825
 01/04  17:00:00,1.27112735937,3.07185040994,0.0,2.22710102563,0.0,0.0720131093275,0.0720131093275,0.0720131093275,0.282822414136,0.0616197980958,0.353720743409,0.4838392944,0.811423639885
 01/04  18:00:00,1.82431157096,5.14646133831,0.0,4.14325068927,0.0,0.134663793511,0.134663793511,0.134663793511,0.525241650136,0.114436773096,0.445069937436,0.587787416781,0.962725195587
 01/04  19:00:00,2.14833388196,4.65910113873,0.0,3.51650942591,0.0,0.113461815959,0.113461815959,0.113461815959,0.781128612181,0.170188022461,0.398283704478,0.638159726883,1.09863672981
 01/04  20:00:00,2.12396744825,5.00542874036,0.0,3.83939598179,0.0,0.124079537678,0.124079537678,0.124079537678,0.828265695136,0.180457991846,0.315345896534,0.658706327056,1.12066257271
 01/04  21:00:00,1.98805442183,5.54753975144,0.0,4.46204193863,0.0,0.144409106005,0.144409106005,0.144409106005,0.713789981955,0.155516632422,0.275874927963,0.681351773484,1.03856786038
