Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly) 
 01/01  01:00:00,0.661698213216,1.06715488933,0.0,0.689679391806,0.0,0.0191305727026,0.0191305727026,0.0191305727026,0.128562410501,0.0263694190929,0.092942924749,0.379617886171,0.351325581738
 01/01  02:00:00,0.56452187682,1.50667510878,0.0,1.2025259582,0.0,0.0333560934886,0.0333560934886,0.0333560934886,0.0749947671662,0.0153821588643,0.0761857795615,0.34952807774,0.280071966301
 01/01  03:00:00,0.533825774896,1.95698415011,0.0,1.67254927378,0.0,0.0463937676854,0.0463937676854,0.0463937676854,0.0535676765835,0.0109872588647,0.0623264934745,0.345475578288,0.260636847812
 01/01  04:00:00,0.529598575446,2.28605905011,0.0,1.99650007806,0.0,0.0553796305181,0.0553796305181,0.0553796305181,0.0535676765835,0.0109872588647,0.0539764305342,0.340612578945,0.266095930445
 01/01  05:00:00,0.540083299493,2.7573832648,0.0,2.41126784259,0.0,0.0668846065522,0.0668846065522,0.0668846065522,0.0535676765835,0.0109872588647,0.0658228643082,0.327745893185,0.323538700146
 01/01  06:00:00,0.598382551085,3.22644584957,0.0,2.62944057401,0.0,0.0729363595114,0.0729363595114,0.0729363595114,0.0535676765835,0.0109872588647,0.080078180578,0.365738075548,0.571811468248
 01/01  07:00:00,0.832591180936,4.890865474,0.0,3.82437551366,0.0,0.106081890623,0.106081890623,0.106081890623,0.123205679416,0.0252706876143,0.14038354292,0.422574380363,1.03738099349
 01/01  08:00:00,1.10609353038,4.08512314039,0.0,2.88503408948,0.0,0.0800261035114,0.0800261035114,0.0800261035114,0.251768089917,0.0516401067072,0.228567290958,0.449016939288,1.16915859274
 01/01  09:00:00,1.04232488549,3.18696532404,0.0,2.01911136841,0.0,0.0560068305463,0.0560068305463,0.0560068305463,0.24105456125,0.0494426573893,0.30112795013,0.379617886171,1.14170403984
 01/01  10:00:00,0.893229889886,2.19940981389,0.0,1.13663728143,0.0,0.0315284498962,0.0315284498962,0.0315284498962,0.123205679416,0.0252706876143,0.375064554145,0.323085518815,1.04051683951
 01/01  11:00:00,0.891958711418,1.94111659812,0.0,1.00051214585,0.0,0.027752562384,0.027752562384,0.027752562384,0.101778555585,0.0208757889786,0.395792849183,0.330683955288,0.917825342279
 01/01  12:00:00,0.882123097729,0.828746885319,0.0,0.0,0.0,0.0,0.0,0.0,0.101778555585,0.0208757889786,0.413608485392,0.330785267774,0.805960796434
 01/01  13:00:00,0.862598905581,0.738938720079,0.0,0.0,0.0,0.0,0.0,0.0,0.101778555585,0.0208757889786,0.399656479991,0.325213081027,0.716536470364
 01/01  14:00:00,0.835623927166,0.68403214706,0.0,0.0,0.0,0.0,0.0,0.0,0.101778555585,0.0208757889786,0.361435815596,0.336458767007,0.660855240112
 01/01  15:00:00,0.831356818766,0.631699570135,0.0,0.0,0.0,0.0,0.0,0.0,0.107135353167,0.0219745204572,0.331767743197,0.355404201945,0.60721761001
 01/01  16:00:00,0.891545084126,0.638408792323,0.0,0.0,0.0,0.0,0.0,0.0,0.133919208083,0.0274681505715,0.339922588697,0.375160136774,0.61256594787
 01/01  17:00:00,1.11959307789,0.706084050936,0.0,0.0,0.0,0.0,0.0,0.0,0.224984235001,0.0461464902322,0.389638662656,0.44374869,0.675516495251
 01/01  18:00:00,1.53810911013,0.843212795382,0.0,0.0,0.0,0.0,0.0,0.0,0.417827884001,0.0857006188716,0.480421867651,0.53908373961,0.80607810045
 01/01  19:00:00,1.81178851188,0.972002234338,0.0,0.0,0.0,0.0,0.0,0.0,0.621385061668,0.127452196829,0.432594020017,0.585282233363,0.931685163745
 01/01  20:00:00,1.76281772805,1.00059176239,0.0,0.0,0.0,0.0,0.0,0.0,0.658882445251,0.135143276261,0.349590650728,0.604126355815,0.958976617516
 01/01  21:00:00,1.63498306873,0.935795728613,0.0,0.0,0.0,0.0,0.0,0.0,0.567817418333,0.1164649366,0.310730298291,0.624895415507,0.892749910469
 01/01  22:00:00,1.49386947983,0.845282671297,0.0,0.0,0.0,0.0,0.0,0.0,0.476752324918,0.0977865969395,0.293949140492,0.610306417479,0.803241813888
 01/01  23:00:00,1.20990912941,0.703774128821,0.0,0.0,0.0,0.0,0.0,0.0,0.358903443084,0.0736146271644,0.234174068073,0.528141991089,0.66739315444
 01/01  24:00:00,0.929613137691,0.806182000071,0.0,0.259001159721,0.0,0.00718426645044,0.00718426645044,0.00718426645044,0.246411292335,0.050541388868,0.151455627092,0.458945562945,0.515566450565
 01/02  01:00:00,0.664555578169,1.39484869026,0.0,1.02967964009,0.0,0.0285616207315,0.0285616207315,0.0285616207315,0.128562410501,0.0263694190929,0.0863692416722,0.379617886171,0.339019134383
 01/02  02:00:00,0.569957088639,1.83841542101,0.0,1.54076647227,0.0,0.0427383293828,0.0427383293828,0.0427383293828,0.0749947671662,0.0153821588643,0.0722387554862,0.34952807774,0.273571764472
 01/02  03:00:00,0.542238913752,2.34964589019,0.0,2.0699908945,0.0,0.0574181449693,0.0574181449693,0.0574181449693,0.0535676765835,0.0109872588647,0.0597152550472,0.345475578288,0.255856967171
 01/02  04:00:00,0.543946147505,2.84739806045,0.0,2.56297114294,0.0,0.0710926067493,0.0710926067493,0.0710926067493,0.0535676765835,0.0109872588647,0.0526110263622,0.340612578945,0.260963875909
 01/02  05:00:00,0.547316174898,3.10394154174,0.0,2.7683196777,0.0,0.0767886375721,0.0767886375721,0.0767886375721,0.0535676765835,0.0109872588647,0.0631517086927,0.327745893185,0.31304514198
 01/02  06:00:00,0.605181247953,3.58897970431,0.0,3.02223203395,0.0,0.0838317489788,0.0838317489788,0.0838317489788,0.0535676765835,0.0109872588647,0.0759814879778,0.365738075548,0.541553863046
 01/02  07:00:00,0.829871907032,5.10648621907,0.0,4.10940459858,0.0,0.113988128936,0.113988128936,0.113988128936,0.123205679416,0.0252706876143,0.129758030703,0.422574380363,0.967972653644
 01/02  08:00:00,1.09303794777,4.29297705911,0.0,3.17725685921,0.0,0.0881318828171,0.0881318828171,0.0881318828171,0.251768089917,0.0516401067072,0.207405929039,0.449016939288,1.08478974173
 01/02  09:00:00,1.02069901984,3.48856675569,0.0,2.40887618086,0.0,0.0668182657872,0.0668182657872,0.0668182657872,0.24105456125,0.0494426573893,0.268690649238,0.379617886171,1.05354065904
 01/02  10:00:00,0.852637138672,2.27824490554,0.0,1.29664341892,0.0,0.035966757148,0.035966757148,0.035966757148,0.123205679416,0.0252706876143,0.330033495679,0.323085518815,0.959345793678
 01/02  11:00:00,0.846687234232,2.07494633257,0.0,1.20401202312,0.0,0.0333973144866,0.0333973144866,0.0333973144866,0.101778555585,0.0208757889786,0.344876619894,0.330683955288,0.84815519946
 01/02  12:00:00,0.833650558779,0.916637943446,0.0,0.144789421749,0.0,0.00401622056894,0.00401622056894,0.00401622056894,0.101778555585,0.0208757889786,0.361119725873,0.330785267774,0.749062432812
 01/02  13:00:00,0.81478839949,0.69133872107,0.0,0.0,0.0,0.0,0.0,0.0,0.101778555585,0.0208757889786,0.3518459739,0.325213081027,0.668936471355
 01/02  14:00:00,0.792035894651,0.643876381447,0.0,0.0,0.0,0.0,0.0,0.0,0.101778555585,0.0208757889786,0.317847783081,0.336458767007,0.620699474499
 01/02  15:00:00,0.792231246591,0.597544375211,0.0,0.0,0.0,0.0,0.0,0.0,0.107135353167,0.0219745204572,0.292642171022,0.355404201945,0.573062415086
 01/02  16:00:00,0.854486111271,0.604068731798,0.0,0.0,0.0,0.0,0.0,0.0,0.133919208083,0.0274681505715,0.302863615842,0.375160136774,0.578225887345
 01/02  17:00:00,1.08367515864,0.661632237248,0.0,0.0,0.0,0.0,0.0,0.0,0.224984235001,0.0461464902322,0.353720743409,0.44374869,0.631064681563
 01/02  18:00:00,1.50275717992,0.788557918912,0.0,0.0,0.0,0.0,0.0,0.0,0.417827884001,0.0857006188716,0.445069937436,0.53908373961,0.75142322398
 01/02  19:00:00,1.77747819634,0.899766614991,0.0,0.0,0.0,0.0,0.0,0.0,0.621385061668,0.127452196829,0.398283704478,0.585282233363,0.859449544398
 01/02  20:00:00,1.72857297386,0.918798154501,0.0,0.0,0.0,0.0,0.0,0.0,0.658882445251,0.135143276261,0.315345896534,0.604126355815,0.877183009625
 01/02  21:00:00,1.6001276984,0.857421776644,0.0,0.0,0.0,0.0,0.0,0.0,0.567817418333,0.1164649366,0.275874927963,0.624895415507,0.8143759585
 01/02  22:00:00,1.45826262236,0.779070505206,0.0,0.0,0.0,0.0,0.0,0.0,0.476752324918,0.0977865969395,0.258342283024,0.610306417479,0.737029647797
 01/02  23:00:00,1.18161591749,0.650283466484,0.0,0.0,0.0,0.0,0.0,0.0,0.358903443084,0.0736146271644,0.205880856148,0.528141991089,0.613902492103
 01/02  24:00:00,0.906894025904,0.51245290492,0.0,0.0,0.0,0.0,0.0,0.0,0.246411292335,0.050541388868,0.135920781757,0.458945562945,0.480838515135
 01/03  01:00:00,0.649610019131,0.856277013646,0.0,0.490874857421,0.0,0.0136160616938,0.0136160616938,0.0136160616938,0.128562410501,0.0263694190929,0.0863692416722,0.379617886171,0.339252240436
 01/03  02:00:00,0.554277611105,1.27326984816,0.0,0.975503074374,0.0,0.0270588518487,0.0270588518487,0.0270588518487,0.0749947671662,0.0153821588643,0.0722387554862,0.34952807774,0.273689589515
 01/03  03:00:00,0.520721641122,1.5740061348,0.0,1.29426819495,0.0,0.0359008723392,0.0359008723392,0.0359008723392,0.0535676765835,0.0109872588647,0.0597152550472,0.345475578288,0.255939911334
 01/03  04:00:00,0.518076181363,1.91484827076,0.0,1.6303287808,0.0,0.0452226406078,0.0452226406078,0.0452226406078,0.0535676765835,0.0109872588647,0.0526110263622,0.340612578945,0.261056448361
 01/03  05:00:00,0.523073124665,2.23014018687,0.0,1.89432952591,0.0,0.0525455873392,0.0525455873392,0.0525455873392,0.0535676765835,0.0109872588647,0.0631517086927,0.327745893185,0.313233938901
 01/03  06:00:00,0.576300838649,2.54840402402,0.0,1.98105969514,0.0,0.0549513396751,0.0549513396751,0.0549513396751,0.0535676765835,0.0109872588647,0.0759814879778,0.365738075548,0.542150521573
 01/03  07:00:00,0.792660494029,3.76633415622,0.0,2.76788988874,0.0,0.0767767159328,0.0767767159328,0.0767767159328,0.123205679416,0.0252706876143,0.129758030703,0.422574380363,0.969335300645
 01/03  08:00:00,1.06171530947,3.16535092711,0.0,2.0480393253,0.0,0.0568092445216,0.0568092445216,0.0568092445216,0.251768089917,0.0516401067072,0.207405929039,0.449016939288,1.08638114364
 01/03  09:00:00,0.998816954389,2.70124183828,0.0,1.62000227606,0.0,0.04493620034,0.04493620034,0.04493620034,0.24105456125,0.0494426573893,0.268690649238,0.379617886171,1.05508964643
 01/03  10:00:00,0.841031942021,1.86125520593,0.0,0.878262584592,0.0,0.0243615604963,0.0243615604963,0.0243615604963,0.123205679416,0.0252706876143,0.330033495679,0.323085518815,0.9607369284
 01/03  11:00:00,0.830662736647,1.49843901985,0.0,0.626310251213,0.0,0.0173728169025,0.0173728169025,0.0173728169025,0.101778555585,0.0208757889786,0.344876619894,0.330683955288,0.849349658641
