Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly) 
 01/01  01:00:00,0.914802735172,6.83087874465,0.0,6.37200237441,0.0,0.194009129236,0.194009129236,0.194009129236,0.161612796136,0.0352113105958,0.092942924749,0.413914574456,0.430366880652
 01/01  02:00:00,0.794156962543,7.09906072217,0.0,6.73411211413,0.0,0.204938784768,0.204938784768,0.204938784768,0.0942741659095,0.0205399387695,0.0761857795615,0.381106293534,0.338698877842
 01/01  03:00:00,0.751796604783,7.35973288983,0.0,7.02148529441,0.0,0.213660388512,0.213660388512,0.213660388512,0.0673386720226,0.0146713809326,0.0623264934745,0.376687669841,0.312302209918
 01/01  04:00:00,0.75047075723,7.76958874872,0.0,7.42471514183,0.0,0.225986952332,0.225986952332,0.225986952332,0.0673386720226,0.0146713809326,0.0539764305342,0.371385321409,0.319293435016
 01/01  05:00:00,0.754569385396,8.04843908586,0.0,7.63038954009,0.0,0.232268276949,0.232268276949,0.232268276949,0.0673386720226,0.0146713809326,0.0658228643082,0.357356191184,0.393435668328
 01/01  06:00:00,0.815977112959,8.55928554585,0.0,7.82083602916,0.0,0.237996091119,0.237996091119,0.237996091119,0.0673386720226,0.0146713809326,0.080078180578,0.398780788307,0.710982407695
 01/01  07:00:00,1.06025578099,9.66237493791,0.0,8.32269006715,0.0,0.253385095034,0.253385095034,0.253385095034,0.15487897491,0.0337441825195,0.14038354292,0.460751985603,1.30794932738
 01/01  08:00:00,1.37836251548,9.49137028438,0.0,7.97725880742,0.0,0.242652455163,0.242652455163,0.242652455163,0.316491771045,0.0689554931152,0.228567290958,0.489583505201,1.48039008443
 01/01  09:00:00,1.31987615888,8.67335788259,0.0,7.19704551078,0.0,0.218676370545,0.218676370545,0.218676370545,0.303024045,0.06602121875,0.30112795013,0.413914574456,1.44780288222
 01/01  10:00:00,1.11151380485,7.22724443321,0.0,5.88239662684,0.0,0.178439319342,0.178439319342,0.178439319342,0.15487897491,0.0337441825195,0.375064554145,0.352274773936,1.32058392533
