Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly) 
 01/01  01:00:00,0.642567640514,0.365808924632,0.0,0.0,0.0,0.0,0.0,0.0,0.128562410501,0.0263694190929,0.092942924749,0.379617886171,0.339659008843
 01/01  02:00:00,0.531165783332,0.294332396462,0.0,0.0,0.0,0.0,0.0,0.0,0.0749947671662,0.0153821588643,0.0761857795615,0.34952807774,0.270255212189
 01/01  03:00:00,0.48743200721,0.278357168947,0.0,0.0,0.0,0.0,0.0,0.0,0.0535676765835,0.0109872588647,0.0623264934745,0.345475578288,0.254559140434
 01/01  04:00:00,0.474218944927,0.284759047026,0.0,0.0,0.0,0.0,0.0,0.0,0.0535676765835,0.0109872588647,0.0539764305342,0.340612578945,0.261296005424
 01/01  05:00:00,0.473198692941,0.342780245427,0.0,0.0,0.0,0.0,0.0,0.0,0.0535676765835,0.0109872588647,0.0658228643082,0.327745893185,0.320203523363
 01/01  06:00:00,0.525446191574,0.595510418261,0.0,0.0,0.0,0.0,0.0,0.0,0.0535676765835,0.0109872588647,0.080078180578,0.365738075548,0.570316610949
 01/01  07:00:00,0.726509290314,1.06583737856,0.0,0.0,0.0,0.0,0.0,0.0,0.123205679416,0.0252706876143,0.14038354292,0.422574380363,1.03672841172
 01/01  08:00:00,1.02606742687,1.19979212425,0.0,0.0,0.0,0.0,0.0,0.0,0.251768089917,0.0516401067072,0.228567290958,0.449016939288,1.16886166608
 01/01  09:00:00,0.986318054941,1.16716383164,0.0,0.0,0.0,0.0,0.0,0.0,0.24105456125,0.0494426573893,0.30112795013,0.379617886171,1.14101391586
 01/01  10:00:00,0.86170143999,1.06029947788,0.0,0.0,0.0,0.0,0.0,0.0,0.123205679416,0.0252706876143,0.375064554145,0.323085518815,1.03804378494
 01/01  11:00:00,0.864206149034,0.936827340907,0.0,0.0,0.0,0.0,0.0,0.0,0.101778555585,0.0208757889786,0.395792849183,0.330683955288,0.914048230916
