Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly) 
 01/01  01:00:00,0.644005246628,0.427430209422,0.0,0.0518273721314,0.0,0.00143760611427,0.00143760611427,0.00143760611427,0.128562410501,0.0263694190929,0.092942924749,0.379617886171,0.349452921502
 01/01  02:00:00,0.544836523514,0.796993289031,0.0,0.492846080531,0.0,0.0136707401828,0.0136707401828,0.0136707401828,0.0749947671662,0.0153821588643,0.0761857795615,0.34952807774,0.280070024227
 01/01  03:00:00,0.512572904867,1.19079229671,0.0,0.90635859548,0.0,0.0251408976569,0.0251408976569,0.0251408976569,0.0535676765835,0.0109872588647,0.0623264934745,0.345475578288,0.260635672719
 01/01  04:00:00,0.509810340306,1.57267015613,0.0,1.28311119064,0.0,0.0355913953784,0.0355913953784,0.0355913953784,0.0535676765835,0.0109872588647,0.0539764305342,0.340612578945,0.266095923889
 01/01  05:00:00,0.513309320308,1.79215018125,0.0,1.446034759,0.0,0.0401106273672,0.0401106273672,0.0401106273672,0.0535676765835,0.0109872588647,0.0658228643082,0.327745893185,0.323538700182
 01/01  06:00:00,0.576224509875,2.42762269757,0.0,1.83061742201,0.0,0.0507783183006,0.0507783183006,0.0507783183006,0.0535676765835,0.0109872588647,0.080078180578,0.365738075548,0.571811468249
 01/01  07:00:00,0.803960171679,3.85868431417,0.0,2.79219433652,0.0,0.0774508813651,0.0774508813651,0.0774508813651,0.123205679416,0.0252706876143,0.14038354292,0.422574380363,1.0373810108
 01/01  08:00:00,1.07573139121,2.99053280472,0.0,1.79044366604,0.0,0.0496639643435,0.0496639643435,0.0496639643435,0.251768089917,0.0516401067072,0.228567290958,0.449016939288,1.16915868051
 01/01  09:00:00,1.02658711962,2.61960059203,0.0,1.45174660849,0.0,0.0402690646834,0.0402690646834,0.0402690646834,0.24105456125,0.0494426573893,0.30112795013,0.379617886171,1.14170406776
 01/01  10:00:00,0.882247457528,1.80348035693,0.0,0.740707824053,0.0,0.0205460175377,0.0205460175377,0.0205460175377,0.123205679416,0.0252706876143,0.375064554145,0.323085518815,1.04051683994
