Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly) 
 01/01  01:00:00,0.775026271649,4.94700603457,0.0,4.55546579383,0.121974748778,0.121974748778,0.121974748778,0.13299183107,0.0275544175015,0.092942924749,0.38421434955,0.365074093413
 01/01  02:00:00,0.677139971895,5.4725295479,0.0,5.16121529919,0.13819397796,0.13819397796,0.13819397796,0.0775785967864,0.0160734078338,0.0761857795615,0.353760209753,0.286945898491
 01/01  03:00:00,0.644347960131,5.89619747369,0.0,5.60664401192,0.150120542178,0.150120542178,0.150120542178,0.0554132755573,0.0114810068172,0.0623264934745,0.349658642104,0.26546764314
 01/01  04:00:00,0.635279024643,6.05890504224,0.0,5.76361635451,0.15432355081,0.15432355081,0.15432355081,0.0554132755573,0.0114810068172,0.0539764305342,0.344736760925,0.271541907016
 01/01  05:00:00,0.636470867398,6.20961013665,0.0,5.85205125604,0.156691437077,0.156691437077,0.156691437077,0.0554132755573,0.0114810068172,0.0658228643082,0.331714283638,0.334709137725
 01/01  06:00:00,0.690140999461,6.52051237822,0.0,5.88800278156,0.157654056158,0.157654056158,0.157654056158,0.0554132755573,0.0114810068172,0.080078180578,0.370166480351,0.607011120047
 01/01  07:00:00,0.889114597366,6.81795526969,0.0,5.67068369486,0.151835234943,0.151835234943,0.151835234943,0.127450542036,0.0264063108338,0.14038354292,0.427690966632,1.11781059257
 01/01  08:00:00,1.17118071917,6.65093609086,0.0,5.35597015481,0.143408631227,0.143408631227,0.143408631227,0.260442373107,0.0539607283354,0.228567290958,0.454453695544,1.26366143512
 01/01  09:00:00,1.14332291872,6.54971132592,0.0,5.28873445279,0.141608363542,0.141608363542,0.141608363542,0.24935972625,0.0516645292523,0.30112795013,0.38421434955,1.2345107258
 01/01  10:00:00,0.996631375824,5.82886123279,0.0,4.68206446348,0.125364487967,0.125364487967,0.125364487967,0.127450542036,0.0264063108338,0.375064554145,0.326997480842,1.12427193775
