Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly) 
 01/01  01:00:00,0.744468184613,4.0511782985,0.0,3.67363310922,0.0,0.101900544099,0.101900544099,0.101900544099,0.128562410501,0.0263694190929,0.092942924749,0.379617886171,0.351395273493
 01/01  02:00:00,0.6413541918,4.27656981197,0.0,3.97242025724,0.0,0.110188408468,0.110188408468,0.110188408468,0.0749947671662,0.0153821588643,0.0761857795615,0.34952807774,0.280072370453
 01/01  03:00:00,0.604601890349,4.50854543664,0.0,4.22411053748,0.0,0.117169883139,0.117169883139,0.117169883139,0.0535676765835,0.0109872588647,0.0623264934745,0.345475578288,0.260636870647
 01/01  04:00:00,0.598356541908,4.76486369735,0.0,4.47530472385,0.0,0.124137596981,0.124137596981,0.124137596981,0.0535676765835,0.0109872588647,0.0539764305342,0.340612578945,0.266095931902
 01/01  05:00:00,0.605704879779,5.1231175418,0.0,4.77700211956,0.0,0.132506186838,0.132506186838,0.132506186838,0.0535676765835,0.0109872588647,0.0658228643082,0.327745893185,0.323538700178
 01/01  06:00:00,0.657946323606,5.37378911231,0.0,4.77678383675,0.0,0.132500132032,0.132500132032,0.132500132032,0.0535676765835,0.0109872588647,0.080078180578,0.365738075548,0.571811468249
 01/01  07:00:00,0.900242095971,7.32975964577,0.0,6.26326966813,0.0,0.173732805657,0.173732805657,0.173732805657,0.123205679416,0.0252706876143,0.14038354292,0.422574380363,1.0373810108
 01/01  08:00:00,1.162378515,6.1142622958,0.0,4.91417323577,0.0,0.136311088133,0.136311088133,0.136311088133,0.251768089917,0.0516401067072,0.228567290958,0.449016939288,1.16915860185
 01/01  09:00:00,1.10002536055,5.26713454673,0.0,4.09928059102,0.0,0.113707305607,0.113707305607,0.113707305607,0.24105456125,0.0494426573893,0.30112795013,0.379617886171,1.14170403992
 01/01  10:00:00,0.957526110636,4.51736334488,0.0,3.45459080593,0.0,0.0958246706454,0.0958246706454,0.0958246706454,0.123205679416,0.0252706876143,0.375064554145,0.323085518815,1.04051684601
 01/01  11:00:00,0.970154717362,4.76017355414,0.0,3.81956908988,0.0,0.105948568327,0.105948568327,0.105948568327,0.101778555585,0.0208757889786,0.395792849183,0.330683955288,0.917825354275
 01/01  12:00:00,0.937150557048,2.8134514627,0.0,1.9838038968,0.0,0.0550274593185,0.0550274593185,0.0550274593185,0.101778555585,0.0208757889786,0.413608485392,0.330785267774,0.80686147702
 01/01  13:00:00,0.891885298548,1.80010260817,0.0,1.05580852195,0.0,0.0292863929662,0.0292863929662,0.0292863929662,0.101778555585,0.0208757889786,0.399656479991,0.325213081027,0.721891836514
 01/01  14:00:00,0.849576379507,1.19574822019,0.0,0.503002131436,0.0,0.0139524523414,0.0139524523414,0.0139524523414,0.101778555585,0.0208757889786,0.361435815596,0.336458767007,0.669569181803
 01/01  15:00:00,0.841480655261,1.00938468163,0.0,0.364976078075,0.0,0.0101238364946,0.0101238364946,0.0101238364946,0.107135353167,0.0219745204572,0.331767743197,0.355404201945,0.619926643433
 01/01  16:00:00,0.90280069096,1.05730132586,0.0,0.40577771489,0.0,0.0112556068342,0.0112556068342,0.0112556068342,0.133919208083,0.0274681505715,0.339922588697,0.375160136774,0.625680766513
 01/01  17:00:00,1.13729302814,1.35839994204,0.0,0.638103788832,0.0,0.017699950251,0.017699950251,0.017699950251,0.224984235001,0.0461464902322,0.389638662656,0.44374869,0.68972859752
 01/01  18:00:00,1.5888748768,2.68492403725,0.0,1.83016492115,0.0,0.0507657666705,0.0507657666705,0.0507657666705,0.417827884001,0.0857006188716,0.480421867651,0.53908373961,0.817624421169
 01/01  19:00:00,1.84734297959,2.26629027038,0.0,1.28177990534,0.0,0.0355544677125,0.0355544677125,0.0355544677125,0.621385061668,0.127452196829,0.432594020017,0.585282233363,0.94419329445
 01/01  20:00:00,1.80214987936,2.43079002113,0.0,1.4179697917,0.0,0.0393321513047,0.0393321513047,0.0393321513047,0.658882445251,0.135143276261,0.349590650728,0.604126355815,0.971205084549
 01/01  21:00:00,1.68668988818,2.8095353401,0.0,1.86409096804,0.0,0.0517068194469,0.0517068194469,0.0517068194469,0.567817418333,0.1164649366,0.310730298291,0.624895415507,0.902398553914
 01/01  22:00:00,1.55855724519,3.1846745331,0.0,2.33206916322,0.0,0.0646877653655,0.0646877653655,0.0646877653655,0.476752324918,0.0977865969395,0.293949140492,0.610306417479,0.810564512472
 01/01  23:00:00,1.28283775434,3.33653954277,0.0,2.62916173343,0.0,0.0729286249319,0.0729286249319,0.0729286249319,0.358903443084,0.0736146271644,0.234174068073,0.528141991089,0.670996834958
 01/01  24:00:00,1.01106712194,3.74290374119,0.0,3.19551201035,0.0,0.0886382507039,0.0886382507039,0.0886382507039,0.246411292335,0.050541388868,0.151455627092,0.458945562945,0.51577734105
 01/02  01:00:00,0.742059219659,4.18894553628,0.0,3.82377604047,0.0,0.106065262222,0.106065262222,0.106065262222,0.128562410501,0.0263694190929,0.0863692416722,0.379617886171,0.339019580014
 01/02  02:00:00,0.644550003429,4.52757689519,0.0,4.22992779037,0.0,0.117331244172,0.117331244172,0.117331244172,0.0749947671662,0.0153821588643,0.0722387554862,0.34952807774,0.273571920549
 01/02  03:00:00,0.606001345316,4.64835569596,0.0,4.36870069815,0.0,0.121180576533,0.121180576533,0.121180576533,0.0535676765835,0.0109872588647,0.0597152550472,0.345475578288,0.255856969299
 01/02  04:00:00,0.594868074759,4.68319275227,0.0,4.39876583473,0.0,0.122014534004,0.122014534004,0.122014534004,0.0535676765835,0.0109872588647,0.0526110263622,0.340612578945,0.260963875937
