Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly) 
 01/01  01:00:00,0.77259932762,5.06533873849,0.0,4.68779352678,0.0,0.130031687106,0.130031687106,0.130031687106,0.128562410501,0.0263694190929,0.092942924749,0.379617886171,0.351395295923
 01/01  02:00:00,0.680559449397,5.68996494497,0.0,5.38581538323,0.0,0.149393666066,0.149393666066,0.149393666066,0.0749947671662,0.0153821588643,0.0761857795615,0.34952807774,0.280072377466
 01/01  03:00:00,0.647978243778,6.07231341865,0.0,5.78787851854,0.0,0.160546236568,0.160546236568,0.160546236568,0.0535676765835,0.0109872588647,0.0623264934745,0.345475578288,0.260636871597
 01/01  04:00:00,0.639773076135,6.25797791729,0.0,5.96841894371,0.0,0.165554131208,0.165554131208,0.165554131208,0.0535676765835,0.0109872588647,0.0539764305342,0.340612578945,0.266095931982
 01/01  05:00:00,0.647298861236,6.62262894064,0.0,6.2765135184,0.0,0.174100168295,0.174100168295,0.174100168295,0.0535676765835,0.0109872588647,0.0658228643082,0.327745893185,0.323538700182
 01/01  06:00:00,0.701176399765,6.9322836277,0.0,6.33527835214,0.0,0.175730208191,0.175730208191,0.175730208191,0.0535676765835,0.0109872588647,0.080078180578,0.365738075548,0.571811468249
 01/01  07:00:00,0.898462524578,7.26560402769,0.0,6.19911405004,0.0,0.171953234264,0.171953234264,0.171953234264,0.123205679416,0.0252706876143,0.14038354292,0.422574380363,1.0373810108
 01/01  08:00:00,1.18118817834,6.79237253165,0.0,5.59228347162,0.0,0.155120751466,0.155120751466,0.155120751466,0.251768089917,0.0516401067072,0.228567290958,0.449016939288,1.16915860185
 01/01  09:00:00,1.12899376949,6.3114793748,0.0,5.14362541909,0.0,0.142675714548,0.142675714548,0.142675714548,0.24105456125,0.0494426573893,0.30112795013,0.379617886171,1.14170403992
 01/01  10:00:00,0.980107278939,5.33144070775,0.0,4.26866818166,0.0,0.118405838949,0.118405838949,0.118405838949,0.123205679416,0.0252706876143,0.375064554145,0.323085518815,1.04051683315
