Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly) 
 01/01  01:00:00,0.766260316762,4.836810032,0.0,4.45926481407,0.0,0.123692676248,0.123692676248,0.123692676248,0.128562410501,0.0263694190929,0.092942924749,0.379617886171,0.351395302149
 01/01  02:00:00,0.667963982408,5.2358837136,0.0,4.93173415169,0.0,0.136798199076,0.136798199076,0.136798199076,0.0749947671662,0.0153821588643,0.0761857795615,0.34952807774,0.280072377629
 01/01  03:00:00,0.637234548763,5.6849907912,0.0,5.40055582,0.0,0.149802541553,0.149802541553,0.149802541553,0.0535676765835,0.0109872588647,0.0623264934745,0.345475578288,0.260636942682
 01/01  04:00:00,0.633609842055,6.03578631567,0.0,5.74622718822,0.0,0.159390897127,0.159390897127,0.159390897127,0.0535676765835,0.0109872588647,0.0539764305342,0.340612578945,0.266096085846
 01/01  05:00:00,0.632399932596,6.08550526619,0.0,5.73938981581,0.0,0.159201239655,0.159201239655,0.159201239655,0.0535676765835,0.0109872588647,0.0658228643082,0.327745893185,0.323538728311
 01/01  06:00:00,0.695479313927,6.72689706004,0.0,6.12989178284,0.0,0.170033122353,0.170033122353,0.170033122353,0.0535676765835,0.0109872588647,0.080078180578,0.365738075548,0.571811469888
 01/01  07:00:00,0.890047135363,6.96221946074,0.0,5.89572948307,0.0,0.163537845049,0.163537845049,0.163537845049,0.123205679416,0.0252706876143,0.14038354292,0.422574380363,1.03738101083
 01/01  08:00:00,1.1892482182,7.08294634139,0.0,5.88285728136,0.0,0.163180791332,0.163180791332,0.163180791332,0.251768089917,0.0516401067072,0.228567290958,0.449016939288,1.16915860185
 01/01  09:00:00,1.12791845908,6.27271318418,0.0,5.10485922847,0.0,0.14160040414,0.14160040414,0.14160040414,0.24105456125,0.0494426573893,0.30112795013,0.379617886171,1.14170403992
 01/01  10:00:00,0.972952225067,5.07349269431,0.0,4.01072016934,0.0,0.111250785076,0.111250785076,0.111250785076,0.123205679416,0.0252706876143,0.375064554145,0.323085518815,1.04051683203
 01/01  11:00:00,0.970684878455,4.7792864666,0.0,3.83868201379,0.0,0.106478729421,0.106478729421,0.106478729421,0.101778555585,0.0208757889786,0.395792849183,0.330683955288,0.917825342825
 01/01  12:00:00,0.948196552291,3.21167243618,0.0,2.38202487008,0.0,0.0660734545615,0.0660734545615,0.0660734545615,0.101778555585,0.0208757889786,0.413608485392,0.330785267774,0.806861477216
 01/01  13:00:00,0.91289247261,2.55743566768,0.0,1.81314157496,0.0,0.0502935670284,0.0502935670284,0.0502935670284,0.101778555585,0.0208757889786,0.399656479991,0.325213081027,0.721891843012
 01/01  14:00:00,0.8714787218,1.98535313302,0.0,1.29260704011,0.0,0.0358547946344,0.0358547946344,0.0358547946344,0.101778555585,0.0208757889786,0.361435815596,0.336458767007,0.669569185957
 01/01  15:00:00,0.865212634619,1.86495013565,0.0,1.22054153054,0.0,0.033855815853,0.033855815853,0.033855815853,0.107135353167,0.0219745204572,0.331767743197,0.355404201945,0.619926644986
 01/01  16:00:00,0.91803272262,1.60643377966,0.0,0.954910168694,0.0,0.0264876384937,0.0264876384937,0.0264876384937,0.133919208083,0.0274681505715,0.339922588697,0.375160136774,0.625680766515
 01/01  17:00:00,1.15196563754,1.887364573,0.0,1.1670684198,0.0,0.0323725596547,0.0323725596547,0.0323725596547,0.224984235001,0.0461464902322,0.389638662656,0.44374869,0.68972859752
 01/01  18:00:00,1.60365590076,3.21779713869,0.0,2.3630380229,0.0,0.0655467906296,0.0655467906296,0.0655467906296,0.417827884001,0.0857006188716,0.480421867651,0.53908373961,0.81762442085
 01/01  19:00:00,1.85426258369,2.51575004183,0.0,1.5312396796,0.0,0.0424740718133,0.0424740718133,0.0424740718133,0.621385061668,0.127452196829,0.432594020017,0.585282233363,0.944193291637
 01/01  20:00:00,1.8209515366,3.10861162402,0.0,2.09579139872,0.0,0.058133808548,0.058133808548,0.058133808548,0.658882445251,0.135143276261,0.349590650728,0.604126355815,0.971205080428
 01/01  21:00:00,1.69740268413,3.19574408514,0.0,2.25029971948,0.0,0.0624196154005,0.0624196154005,0.0624196154005,0.567817418333,0.1164649366,0.310730298291,0.624895415507,0.902398547515
 01/01  22:00:00,1.56925779484,3.57044178955,0.0,2.71783642101,0.0,0.0753883150108,0.0753883150108,0.0753883150108,0.476752324918,0.0977865969395,0.293949140492,0.610306417479,0.810564511137
 01/01  23:00:00,1.2967820813,3.83924874468,0.0,3.13187093535,0.0,0.0868729518901,0.0868729518901,0.0868729518901,0.358903443084,0.0736146271644,0.234174068073,0.528141991089,0.67099683495
 01/01  24:00:00,1.02830559181,4.36437065595,0.0,3.81697889475,0.0,0.105876720572,0.105876720572,0.105876720572,0.246411292335,0.050541388868,0.151455627092,0.458945562945,0.515777371416
 01/02  01:00:00,0.7531060308,4.58719593496,0.0,4.22202642782,0.0,0.117112073363,0.117112073363,0.117112073363,0.128562410501,0.0263694190929,0.0863692416722,0.379617886171,0.33901959135
 01/02  02:00:00,0.665008234433,5.26511991299,0.0,4.96747080782,0.0,0.137789475177,0.137789475177,0.137789475177,0.0749947671662,0.0153821588643,0.0722387554862,0.34952807774,0.273571920895
 01/02  03:00:00,0.629302968064,5.4884062922,0.0,5.20875129439,0.0,0.144482199281,0.144482199281,0.144482199281,0.0535676765835,0.0109872588647,0.0597152550472,0.345475578288,0.255856969302
 01/02  04:00:00,0.621143601128,5.63045603219,0.0,5.34602911465,0.0,0.148290060372,0.148290060372,0.148290060372,0.0535676765835,0.0109872588647,0.0526110263622,0.340612578945,0.260963875937
 01/02  05:00:00,0.625303430108,5.91547277911,0.0,5.57985091506,0.0,0.154775892783,0.154775892783,0.154775892783,0.0535676765835,0.0109872588647,0.0631517086927,0.327745893185,0.31304514198
 01/02  06:00:00,0.672254570663,6.00705098384,0.0,5.44030331348,0.0,0.150905071689,0.150905071689,0.150905071689,0.0535676765835,0.0109872588647,0.0759814879778,0.365738075548,0.541553863046
 01/02  07:00:00,0.865575295463,6.39363484573,0.0,5.396553269,0.0,0.149691517367,0.149691517367,0.149691517367,0.123205679416,0.0252706876143,0.129758030703,0.422574380363,0.96797260989
 01/02  08:00:00,1.14688115412,6.23408680669,0.0,5.11836705962,0.0,0.141975089174,0.141975089174,0.141975089174,0.251768089917,0.0516401067072,0.207405929039,0.449016939288,1.08478928889
