Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly) 
 01/01  01:00:00,0.771162293489,4.80105004142,0.0,4.42350482031,0.0,0.128594652976,0.128594652976,0.128594652976,0.128562410501,0.0263694190929,0.092942924749,0.379617886171,0.351395305324
 01/01  02:00:00,0.67512223965,5.31738944269,0.0,5.0132398807,0.0,0.143956456318,0.143956456318,0.143956456318,0.0749947671662,0.0153821588643,0.0761857795615,0.34952807774,0.280072377718
 01/01  03:00:00,0.647910740509,5.90841291023,0.0,5.62397797159,0.0,0.160478733299,0.160478733299,0.160478733299,0.0535676765835,0.0109872588647,0.0623264934745,0.345475578288,0.260636910133
 01/01  04:00:00,0.649933448602,6.47446235059,0.0,6.18490331366,0.0,0.175714503674,0.175714503674,0.175714503674,0.0535676765835,0.0109872588647,0.0539764305342,0.340612578945,0.266095995323
 01/01  05:00:00,0.648371627066,6.54254097289,0.0,6.19642551611,0.0,0.175172934125,0.175172934125,0.175172934125,0.0535676765835,0.0109872588647,0.0658228643082,0.327745893185,0.32353873472
 01/01  06:00:00,0.709374992813,7.11533175869,0.0,6.518326482,0.0,0.183928801239,0.183928801239,0.183928801239,0.0535676765835,0.0109872588647,0.080078180578,0.365738075548,0.571811469385
 01/01  07:00:00,0.90744869677,7.47155012465,0.0,6.40506014701,0.0,0.180939406457,0.180939406457,0.180939406457,0.123205679416,0.0252706876143,0.14038354292,0.422574380363,1.03738101081
 01/01  08:00:00,1.1909827203,7.09442747661,0.0,5.89433841659,0.0,0.164915293434,0.164915293434,0.164915293434,0.251768089917,0.0516401067072,0.228567290958,0.449016939288,1.16915860185
 01/01  09:00:00,1.10826064558,5.55876268591,0.0,4.3909087302,0.0,0.121942590637,0.121942590637,0.121942590637,0.24105456125,0.0494426573893,0.30112795013,0.379617886171,1.14170403992
 01/01  10:00:00,0.947652332576,4.15931866724,0.0,3.09654613057,0.0,0.0859508925853,0.0859508925853,0.0859508925853,0.123205679416,0.0252706876143,0.375064554145,0.323085518815,1.04051684373
 01/01  11:00:00,0.946193292543,3.83054508943,0.0,2.88994063002,0.0,0.0819871435091,0.0819871435091,0.0819871435091,0.101778555585,0.0208757889786,0.395792849183,0.330683955288,0.917825349419
 01/01  12:00:00,0.939104012203,2.8185250374,0.0,1.98887747196,0.0,0.0569809144743,0.0569809144743,0.0569809144743,0.101778555585,0.0208757889786,0.413608485392,0.330785267774,0.806861476553
 01/01  13:00:00,0.915281889105,2.56695462933,0.0,1.8226605327,0.0,0.0526829835236,0.0526829835236,0.0526829835236,0.101778555585,0.0208757889786,0.399656479991,0.325213081027,0.721891846917
 01/01  14:00:00,0.862825131601,1.63024698007,0.0,0.937500890065,0.0,0.0272012044348,0.0272012044348,0.0272012044348,0.101778555585,0.0208757889786,0.361435815596,0.336458767007,0.669569183056
 01/01  15:00:00,0.843817807442,1.07508780147,0.0,0.430679197911,0.0,0.0124609886763,0.0124609886763,0.0124609886763,0.107135353167,0.0219745204572,0.331767743197,0.355404201945,0.619926643433
 01/01  16:00:00,0.908251945187,1.22459665152,0.0,0.573073040551,0.0,0.0167068610609,0.0167068610609,0.0167068610609,0.133919208083,0.0274681505715,0.339922588697,0.375160136774,0.625680766513
 01/01  17:00:00,1.14770054718,1.67300276881,0.0,0.952706615601,0.0,0.0281074692931,0.0281074692931,0.0281074692931,0.224984235001,0.0461464902322,0.389638662656,0.44374869,0.68972859752
 01/01  18:00:00,1.5962162469,2.81374229944,0.0,1.9589831866,0.0,0.0581071367639,0.0581071367639,0.0581071367639,0.417827884001,0.0857006188716,0.480421867651,0.53908373961,0.817624417915
 01/01  19:00:00,1.85691492224,2.52880355863,0.0,1.54429319766,0.0,0.0451264103669,0.0451264103669,0.0451264103669,0.621385061668,0.127452196829,0.432594020017,0.585282233363,0.944193290378
 01/01  20:00:00,1.80307076948,2.40182725015,0.0,1.38900701282,0.0,0.0402530414237,0.0402530414237,0.0402530414237,0.658882445251,0.135143276261,0.349590650728,0.604126355815,0.971205092458
 01/01  21:00:00,1.68576705262,2.6961883406,0.0,1.75074397121,0.0,0.0507839838876,0.0507839838876,0.0507839838876,0.567817418333,0.1164649366,0.310730298291,0.624895415507,0.90239855124
 01/01  22:00:00,1.55593566878,2.98932386799,0.0,2.13671849941,0.0,0.0620661889491,0.0620661889491,0.0620661889491,0.476752324918,0.0977865969395,0.293949140492,0.610306417479,0.810564511172
 01/01  23:00:00,1.28144698376,3.17051282419,0.0,2.46313501481,0.0,0.0715378543546,0.0715378543546,0.0715378543546,0.358903443084,0.0736146271644,0.234174068073,0.528141991089,0.670996834995
 01/01  24:00:00,1.01416800939,3.71122450078,0.0,3.16383273958,0.0,0.0917391381471,0.0917391381471,0.0917391381471,0.246411292335,0.050541388868,0.151455627092,0.458945562945,0.515777371416
 01/02  01:00:00,0.747543830428,4.21763116317,0.0,3.85246165603,0.0,0.111549872991,0.111549872991,0.111549872991,0.128562410501,0.0263694190929,0.0863692416722,0.379617886171,0.33901959135
 01/02  02:00:00,0.651328950497,4.60388502762,0.0,4.30623592245,0.0,0.12411019124,0.12411019124,0.12411019124,0.0749947671662,0.0153821588643,0.0722387554862,0.34952807774,0.273571920895
 01/02  03:00:00,0.613777453244,4.76278015212,0.0,4.4831251543,0.0,0.128956684461,0.128956684461,0.128956684461,0.0535676765835,0.0109872588647,0.0597152550472,0.345475578288,0.255856969302
 01/02  04:00:00,0.610810629769,5.10284130952,0.0,4.81841439198,0.0,0.137957089013,0.137957089013,0.137957089013,0.0535676765835,0.0109872588647,0.0526110263622,0.340612578945,0.260963875937
 01/02  05:00:00,0.616317955686,5.43140092469,0.0,5.09577906065,0.0,0.14579041836,0.14579041836,0.14579041836,0.0535676765835,0.0109872588647,0.0631517086927,0.327745893185,0.31304514198
 01/02  06:00:00,0.668191207142,5.70219226129,0.0,5.13544459093,0.0,0.146841708168,0.146841708168,0.146841708168,0.0535676765835,0.0109872588647,0.0759814879778,0.365738075548,0.541553863046
 01/02  07:00:00,0.900459818836,7.4486900646,0.0,6.45160848786,0.0,0.18457604074,0.18457604074,0.18457604074,0.123205679416,0.0252706876143,0.129758030703,0.422574380363,0.96797260989
 01/02  08:00:00,1.15267417771,6.31368936286,0.0,5.19796944381,0.0,0.14776811276,0.14776811276,0.14776811276,0.251768089917,0.0516401067072,0.207405929039,0.449016939288,1.08478946088
 01/02  09:00:00,1.07114573395,5.25502081435,0.0,4.1753302889,0.0,0.117264979903,0.117264979903,0.117264979903,0.24105456125,0.0494426573893,0.268690649238,0.379617886171,1.05354060965
 01/02  10:00:00,0.902449855557,4.03547918556,0.0,3.05387769261,0.0,0.0857794740324,0.0857794740324,0.0857794740324,0.123205679416,0.0252706876143,0.330033495679,0.323085518815,0.959345800013
 01/02  11:00:00,0.903316200385,4.01678920817,0.0,3.14585488392,0.0,0.0900262806398,0.0900262806398,0.0900262806398,0.101778555585,0.0208757889786,0.344876619894,0.330683955288,0.848155214261
 01/02  12:00:00,0.8795256913,2.52678464493,0.0,1.75493606277,0.0,0.0498913530899,0.0498913530899,0.0498913530899,0.101778555585,0.0208757889786,0.361119725873,0.330785267774,0.749062493271
 01/02  13:00:00,0.844830851635,1.74802331489,0.0,1.05384258605,0.0,0.0300424521449,0.0300424521449,0.0300424521449,0.101778555585,0.0208757889786,0.3518459739,0.325213081027,0.671778479127
 01/02  14:00:00,0.808690078206,1.23107313773,0.0,0.58178298746,0.0,0.0166541835552,0.0166541835552,0.0166541835552,0.101778555585,0.0208757889786,0.317847783081,0.336458767007,0.626113243326
 01/02  15:00:00,0.805928997419,1.08301933741,0.0,0.477961093053,0.0,0.0136977508278,0.0136977508278,0.0136977508278,0.107135353167,0.0219745204572,0.292642171022,0.355404201945,0.580576284228
 01/02  16:00:00,0.871925933226,1.21172062002,0.0,0.599345317088,0.0,0.0174398219552,0.0174398219552,0.0174398219552,0.133919208083,0.0274681505715,0.302863615842,0.375160136774,0.586532458476
 01/02  17:00:00,1.11457428407,1.72153077989,0.0,1.04934068906,0.0,0.0308991254235,0.0308991254235,0.0308991254235,0.224984235001,0.0461464902322,0.353720743409,0.44374869,0.641622535142
 01/02  18:00:00,1.57088409112,3.09624503717,0.0,2.29938251509,0.0,0.068126911199,0.068126911199,0.068126911199,0.417827884001,0.0857006188716,0.445069937436,0.53908373961,0.759727827152
 01/02  19:00:00,1.82718143945,2.62112543345,0.0,1.71184619764,0.0,0.0497032431149,0.0497032431149,0.0497032431149,0.621385061668,0.127452196829,0.398283704478,0.585282233363,0.868962165216
 01/02  20:00:00,1.78101646039,2.74208677674,0.0,1.81355918514,0.0,0.0524434865323,0.0524434865323,0.0524434865323,0.658882445251,0.135143276261,0.315345896534,0.604126355815,0.886912446723
 01/02  21:00:00,1.65895219038,2.89982729725,0.0,2.03465930886,0.0,0.0588244919744,0.0588244919744,0.0588244919744,0.567817418333,0.1164649366,0.275874927963,0.624895415507,0.822122170242
 01/02  22:00:00,1.52957156236,3.25108660357,0.0,2.46575236023,0.0,0.071308940002,0.071308940002,0.071308940002,0.476752324918,0.0977865969395,0.258342283024,0.610306417479,0.743293385929
 01/02  23:00:00,1.26335890963,3.4797458991,0.0,2.82528379192,0.0,0.0817429921455,0.0817429921455,0.0817429921455,0.358903443084,0.0736146271644,0.205880856148,0.528141991089,0.618081132799
 01/02  24:00:00,1.0002861752,3.74942468346,0.0,3.23500335011,0.0,0.093392149299,0.093392149299,0.093392149299,0.246411292335,0.050541388868,0.135920781757,0.458945562945,0.482806943555
