Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly) 
 01/01  01:00:00,0.68387387995,1.86668308812,0.0,1.48913796438,0.0,0.0413062394357,0.0413062394357,0.0413062394357,0.128562410501,0.0263694190929,0.092942924749,0.379617886171,0.351395207952
 01/01  02:00:00,0.591562180176,2.48150993673,0.0,2.17736033782,0.0,0.0603963968438,0.0603963968438,0.0603963968438,0.0749947671662,0.0153821588643,0.0761857795615,0.34952807774,0.280072414637
 01/01  03:00:00,0.562722473482,2.99874376793,0.0,2.71430886017,0.0,0.0752904662715,0.0752904662715,0.0752904662715,0.0535676765835,0.0109872588647,0.0623264934745,0.345475578288,0.260636879248
 01/01  04:00:00,0.562956632563,3.48865580101,0.0,3.19909682736,0.0,0.0887376876352,0.0887376876352,0.0887376876352,0.0535676765835,0.0109872588647,0.0539764305342,0.340612578945,0.26609593205
 01/01  05:00:00,0.571060506332,3.87414759302,0.0,3.52803217077,0.0,0.0978618133904,0.0978618133904,0.0978618133904,0.0535676765835,0.0109872588647,0.0658228643082,0.327745893185,0.323538700183
 01/01  06:00:00,0.62645887887,4.23863011459,0.0,3.64162483903,0.0,0.101012687296,0.101012687296,0.101012687296,0.0535676765835,0.0109872588647,0.080078180578,0.365738075548,0.571811468249
 01/01  07:00:00,0.863907884338,6.01986929249,0.0,4.95337908775,0.0,0.137398594025,0.137398594025,0.137398594025,0.123205679416,0.0252706876143,0.14038354292,0.422574380363,1.0373812379
 01/01  08:00:00,1.12403822666,4.73205036856,0.0,3.53196125731,0.0,0.0979707997929,0.0979707997929,0.0979707997929,0.251768089917,0.0516401067072,0.228567290958,0.449016939288,1.16915865307
 01/01  09:00:00,1.05884738248,3.78262055411,0.0,2.61476659804,0.0,0.0725293275375,0.0725293275375,0.0725293275375,0.24105456125,0.0494426573893,0.30112795013,0.379617886171,1.14170404028
 01/01  10:00:00,0.914496041731,2.96607934026,0.0,1.90330678465,0.0,0.0527946017407,0.0527946017407,0.0527946017407,0.123205679416,0.0252706876143,0.375064554145,0.323085518815,1.04051686267
 01/01  11:00:00,0.906798282185,2.47610039934,0.0,1.53549592811,0.0,0.042592133151,0.042592133151,0.042592133151,0.101778555585,0.0208757889786,0.395792849183,0.330683955288,0.917825361245
 01/01  12:00:00,0.901440048728,1.52604609204,0.0,0.696398546136,0.0,0.0193169509995,0.0193169509995,0.0193169509995,0.101778555585,0.0208757889786,0.413608485392,0.330785267774,0.806861457018
 01/01  13:00:00,0.862598905581,0.742585702488,0.0,0.0,0.0,0.0,0.0,0.0,0.101778555585,0.0208757889786,0.399656479991,0.325213081027,0.720183452773
 01/01  14:00:00,0.835623927166,0.688826472584,0.0,0.0,0.0,0.0,0.0,0.0,0.101778555585,0.0208757889786,0.361435815596,0.336458767007,0.665649565636
 01/01  15:00:00,0.831356818766,0.640145806984,0.0,0.0,0.0,0.0,0.0,0.0,0.107135353167,0.0219745204572,0.331767743197,0.355404201945,0.615663846859
 01/01  16:00:00,0.891545084126,0.645516755361,0.0,0.0,0.0,0.0,0.0,0.0,0.133919208083,0.0274681505715,0.339922588697,0.375160136774,0.619673910908
 01/01  17:00:00,1.11959307789,0.714509522877,0.0,0.0,0.0,0.0,0.0,0.0,0.224984235001,0.0461464902322,0.389638662656,0.44374869,0.683941967191
 01/01  18:00:00,1.53810911013,0.850606017398,0.0,0.0,0.0,0.0,0.0,0.0,0.417827884001,0.0857006188716,0.480421867651,0.53908373961,0.813471322466
 01/01  19:00:00,1.81178851188,0.978382597721,0.0,0.0,0.0,0.0,0.0,0.0,0.621385061668,0.127452196829,0.432594020017,0.585282233363,0.938065527128
 01/01  20:00:00,1.76281772805,1.00648154343,0.0,0.0,0.0,0.0,0.0,0.0,0.658882445251,0.135143276261,0.349590650728,0.604126355815,0.96486639855
 01/01  21:00:00,1.63498306873,0.94107741744,0.0,0.0,0.0,0.0,0.0,0.0,0.567817418333,0.1164649366,0.310730298291,0.624895415507,0.898031599296
 01/01  22:00:00,1.49386947983,0.849069966797,0.0,0.0,0.0,0.0,0.0,0.0,0.476752324918,0.0977865969395,0.293949140492,0.610306417479,0.807029109388
 01/01  23:00:00,1.20990912941,0.705419830606,0.0,0.0,0.0,0.0,0.0,0.0,0.358903443084,0.0736146271644,0.234174068073,0.528141991089,0.669038856225
 01/01  24:00:00,0.93321460196,0.935967915612,0.0,0.388838134576,0.0,0.0107857307199,0.0107857307199,0.0107857307199,0.246411292335,0.050541388868,0.151455627092,0.458945562945,0.515515391251
 01/02  01:00:00,0.66298965822,1.3383958901,0.0,0.973226405002,0.0,0.0269957007825,0.0269957007825,0.0269957007825,0.128562410501,0.0263694190929,0.0863692416722,0.379617886171,0.339019569313
 01/02  02:00:00,0.568062663472,1.77011933971,0.0,1.47247024208,0.0,0.0408439042159,0.0408439042159,0.0408439042159,0.0749947671662,0.0153821588643,0.0722387554862,0.34952807774,0.273571913358
 01/02  03:00:00,0.535131909024,2.09343010741,0.0,1.81377510969,0.0,0.0503111402405,0.0503111402405,0.0503111402405,0.0535676765835,0.0109872588647,0.0597152550472,0.345475578288,0.255856969204
 01/02  04:00:00,0.529117111072,2.31279397203,0.0,2.02836713568,0.0,0.0562635703166,0.0562635703166,0.0562635703166,0.0535676765835,0.0109872588647,0.0526110263622,0.340612578945,0.260963794748
 01/02  05:00:00,0.533502358083,2.6059372536,0.0,2.27031551822,0.0,0.0629748207576,0.0629748207576,0.0629748207576,0.0535676765835,0.0109872588647,0.0631517086927,0.327745893185,0.313045013313
 01/02  06:00:00,0.58318352274,2.79593611946,0.0,2.22918846009,0.0,0.0618340237656,0.0618340237656,0.0618340237656,0.0535676765835,0.0109872588647,0.0759814879778,0.365738075548,0.54155385206
 01/02  07:00:00,0.773748813639,3.08318339551,0.0,2.08610181933,0.0,0.0578650355425,0.0578650355425,0.0578650355425,0.123205679416,0.0252706876143,0.129758030703,0.422574380363,0.967972609341
 01/02  08:00:00,1.08413712186,3.97209148192,0.0,2.85637173488,0.0,0.0792310569072,0.0792310569072,0.0792310569072,0.251768089917,0.0516401067072,0.207405929039,0.449016939288,1.08478928886
 01/02  09:00:00,0.988880093728,2.34145738735,0.0,1.26176689423,0.0,0.0349993396796,0.0349993396796,0.0349993396796,0.24105456125,0.0494426573893,0.268690649238,0.379617886171,1.05354057733
 01/02  10:00:00,0.841127497267,1.86330892497,0.0,0.881707462327,0.0,0.0244571157423,0.0244571157423,0.0244571157423,0.123205679416,0.0252706876143,0.330033495679,0.323085518815,0.959345769702
 01/02  11:00:00,0.819222259108,1.08469065713,0.0,0.213867732437,0.0,0.00593233936341,0.00593233936341,0.00593233936341,0.101778555585,0.0208757889786,0.344876619894,0.330683955288,0.848043814697
 01/02  12:00:00,0.82963433821,0.768505446693,0.0,0.0,0.0,0.0,0.0,0.0,0.101778555585,0.0208757889786,0.361119725873,0.330785267774,0.745719357808
 01/02  13:00:00,0.81478839949,0.687000858652,0.0,0.0,0.0,0.0,0.0,0.0,0.101778555585,0.0208757889786,0.3518459739,0.325213081027,0.664598608937
 01/02  14:00:00,0.792035894651,0.639798973613,0.0,0.0,0.0,0.0,0.0,0.0,0.101778555585,0.0208757889786,0.317847783081,0.336458767007,0.616622066665
 01/02  15:00:00,0.792231246591,0.594238864792,0.0,0.0,0.0,0.0,0.0,0.0,0.107135353167,0.0219745204572,0.292642171022,0.355404201945,0.569756904667
 01/02  16:00:00,0.854486111271,0.600020105769,0.0,0.0,0.0,0.0,0.0,0.0,0.133919208083,0.0274681505715,0.302863615842,0.375160136774,0.574177261316
 01/02  17:00:00,1.08367515864,0.660957363369,0.0,0.0,0.0,0.0,0.0,0.0,0.224984235001,0.0461464902322,0.353720743409,0.44374869,0.630389807683
 01/02  18:00:00,1.50275717992,0.787594009708,0.0,0.0,0.0,0.0,0.0,0.0,0.417827884001,0.0857006188716,0.445069937436,0.53908373961,0.750459314776
 01/02  19:00:00,1.77747819634,0.899085991468,0.0,0.0,0.0,0.0,0.0,0.0,0.621385061668,0.127452196829,0.398283704478,0.585282233363,0.858768920875
 01/02  20:00:00,1.72857297386,0.918503545387,0.0,0.0,0.0,0.0,0.0,0.0,0.658882445251,0.135143276261,0.315345896534,0.604126355815,0.876888400512
 01/02  21:00:00,1.6001276984,0.856378284115,0.0,0.0,0.0,0.0,0.0,0.0,0.567817418333,0.1164649366,0.275874927963,0.624895415507,0.813332465972
 01/02  22:00:00,1.45826262236,0.778538710542,0.0,0.0,0.0,0.0,0.0,0.0,0.476752324918,0.0977865969395,0.258342283024,0.610306417479,0.736497853133
 01/02  23:00:00,1.18161591749,0.648952736681,0.0,0.0,0.0,0.0,0.0,0.0,0.358903443084,0.0736146271644,0.205880856148,0.528141991089,0.612571762299
 01/02  24:00:00,0.906894025904,0.510865937115,0.0,0.0,0.0,0.0,0.0,0.0,0.246411292335,0.050541388868,0.135920781757,0.458945562945,0.479251547331
 01/03  01:00:00,0.639589165287,0.494876928823,0.0,0.12961142367,0.0,0.00359520785031,0.00359520785031,0.00359520785031,0.128562410501,0.0263694190929,0.0863692416722,0.379617886171,0.339115589364
 01/03  02:00:00,0.54382208872,0.896335518844,0.0,0.598569334239,0.0,0.0166033294633,0.0166033294633,0.0166033294633,0.0749947671662,0.0153821588643,0.0722387554862,0.34952807774,0.273689000332
 01/03  03:00:00,0.504252697268,0.980281433647,0.0,0.700543618188,0.0,0.019431928485,0.019431928485,0.019431928485,0.0535676765835,0.0109872588647,0.0597152550472,0.345475578288,0.255939786946
 01/03  04:00:00,0.49849121914,1.20878760771,0.0,0.924268118396,0.0,0.0256376783847,0.0256376783847,0.0256376783847,0.0535676765835,0.0109872588647,0.0526110263622,0.340612578945,0.261056447712
 01/03  05:00:00,0.502879910733,1.50215134308,0.0,1.16634068212,0.0,0.0323523734077,0.0323523734077,0.0323523734077,0.0535676765835,0.0109872588647,0.0631517086927,0.327745893185,0.313233938899
 01/03  06:00:00,0.55567531312,1.80482984442,0.0,1.23748551554,0.0,0.034325814146,0.034325814146,0.034325814146,0.0535676765835,0.0109872588647,0.0759814879778,0.365738075548,0.542150521572
 01/03  07:00:00,0.768270982962,2.88706392105,0.0,1.88861965356,0.0,0.0523872048656,0.0523872048656,0.0523872048656,0.123205679416,0.0252706876143,0.129758030703,0.422574380363,0.969335300645
 01/03  08:00:00,1.02738020654,1.92753027012,0.0,0.810218938331,0.0,0.0224741415924,0.0224741415924,0.0224741415924,0.251768089917,0.0516401067072,0.207405929039,0.449016939288,1.08638087361
