Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly) 
 01/01  01:00:00,0.654253435277,0.798521999724,0.0,0.421286489964,0.0,0.011685794763,0.011685794763,0.011685794763,0.128562410501,0.0263694190929,0.092942924749,0.379617886171,0.351085593971
 01/01  02:00:00,0.560074644739,1.34633396023,0.0,1.04219807024,0.0,0.0289088614074,0.0289088614074,0.0289088614074,0.0749947671662,0.0153821588643,0.0761857795615,0.34952807774,0.280058705723
 01/01  03:00:00,0.52886885206,1.77828126507,0.0,1.49384644144,0.0,0.04143684485,0.04143684485,0.04143684485,0.0535676765835,0.0109872588647,0.0623264934745,0.345475578288,0.260636795114
 01/01  04:00:00,0.528519728883,2.24716537373,0.0,1.95760640495,0.0,0.0543007839556,0.0543007839556,0.0543007839556,0.0535676765835,0.0109872588647,0.0539764305342,0.340612578945,0.266095927174
 01/01  05:00:00,0.535755754217,2.60137022283,0.0,2.25525480309,0.0,0.0625570612754,0.0625570612754,0.0625570612754,0.0535676765835,0.0109872588647,0.0658228643082,0.327745893185,0.323538697672
 01/01  06:00:00,0.595223197735,3.11254748743,0.0,2.5155422119,0.0,0.0697770061613,0.0697770061613,0.0697770061613,0.0535676765835,0.0109872588647,0.080078180578,0.365738075548,0.571811468211
 01/01  07:00:00,0.826372909867,4.66668958837,0.0,3.60019961073,0.0,0.0998636195532,0.0998636195532,0.0998636195532,0.123205679416,0.0252706876143,0.14038354292,0.422574380363,1.0373810108
 01/01  08:00:00,1.09437772536,3.66275475497,0.0,2.46266569495,0.0,0.0683102984942,0.0683102984942,0.0683102984942,0.251768089917,0.0516401067072,0.228567290958,0.449016939288,1.16915860185
 01/01  09:00:00,1.02638210303,2.61220947748,0.0,1.44435552178,0.0,0.0400640480868,0.0400640480868,0.0400640480868,0.24105456125,0.0494426573893,0.30112795013,0.379617886171,1.14170403992
 01/01  10:00:00,0.879677565284,1.71083274958,0.0,0.648060220291,0.0,0.0179761252942,0.0179761252942,0.0179761252942,0.123205679416,0.0252706876143,0.375064554145,0.323085518815,1.04051683635
 01/01  11:00:00,0.874685101885,1.31831607881,0.0,0.377778435648,0.0,0.0104789528504,0.0104789528504,0.0104789528504,0.101778555585,0.0208757889786,0.395792849183,0.330683955288,0.917758533171
 01/01  12:00:00,0.882123097729,0.825938166968,0.0,0.0,0.0,0.0,0.0,0.0,0.101778555585,0.0208757889786,0.413608485392,0.330785267774,0.803152078084
 01/01  13:00:00,0.862598905581,0.736258527508,0.0,0.0,0.0,0.0,0.0,0.0,0.101778555585,0.0208757889786,0.399656479991,0.325213081027,0.713856277793
 01/01  14:00:00,0.835623927166,0.681013640565,0.0,0.0,0.0,0.0,0.0,0.0,0.101778555585,0.0208757889786,0.361435815596,0.336458767007,0.657836733617
 01/01  15:00:00,0.831356818766,0.631033040564,0.0,0.0,0.0,0.0,0.0,0.0,0.107135353167,0.0219745204572,0.331767743197,0.355404201945,0.60655108044
 01/01  16:00:00,0.891545084126,0.637047371382,0.0,0.0,0.0,0.0,0.0,0.0,0.133919208083,0.0274681505715,0.339922588697,0.375160136774,0.611204526929
 01/01  17:00:00,1.11959307789,0.706002970338,0.0,0.0,0.0,0.0,0.0,0.0,0.224984235001,0.0461464902322,0.389638662656,0.44374869,0.675435414653
 01/01  18:00:00,1.53810911013,0.843263915391,0.0,0.0,0.0,0.0,0.0,0.0,0.417827884001,0.0857006188716,0.480421867651,0.53908373961,0.806129220459
 01/01  19:00:00,1.81178851188,0.971965232122,0.0,0.0,0.0,0.0,0.0,0.0,0.621385061668,0.127452196829,0.432594020017,0.585282233363,0.931648161529
 01/01  20:00:00,1.76281772805,1.00039962464,0.0,0.0,0.0,0.0,0.0,0.0,0.658882445251,0.135143276261,0.349590650728,0.604126355815,0.958784479769
 01/01  21:00:00,1.63498306873,0.934894841264,0.0,0.0,0.0,0.0,0.0,0.0,0.567817418333,0.1164649366,0.310730298291,0.624895415507,0.891849023121
 01/01  22:00:00,1.49386947983,0.84470767721,0.0,0.0,0.0,0.0,0.0,0.0,0.476752324918,0.0977865969395,0.293949140492,0.610306417479,0.802666819801
 01/01  23:00:00,1.20990912941,0.701615708639,0.0,0.0,0.0,0.0,0.0,0.0,0.358903443084,0.0736146271644,0.234174068073,0.528141991089,0.665234734258
 01/01  24:00:00,0.92242887124,0.545697069435,0.0,0.0,0.0,0.0,0.0,0.0,0.246411292335,0.050541388868,0.151455627092,0.458945562945,0.514082679651
 01/02  01:00:00,0.646039480012,0.727319364236,0.0,0.362152770195,0.0,0.0100455225747,0.0100455225747,0.0100455225747,0.128562410501,0.0263694190929,0.0863692416722,0.379617886171,0.339016678252
 01/02  02:00:00,0.553410264054,1.24188307148,0.0,0.944234204595,0.0,0.0261915047976,0.0261915047976,0.0261915047976,0.0749947671662,0.0153821588643,0.0722387554862,0.34952807774,0.273571682614
 01/02  03:00:00,0.522922136225,1.65325367057,0.0,1.37359860226,0.0,0.0381013674425,0.0381013674425,0.0381013674425,0.0535676765835,0.0109872588647,0.0597152550472,0.345475578288,0.255857039801
 01/02  04:00:00,0.523314123389,2.10358976568,0.0,1.81916268175,0.0,0.0504605826339,0.0504605826339,0.0504605826339,0.0535676765835,0.0109872588647,0.0526110263622,0.340612578945,0.260964042328
 01/02  05:00:00,0.529192078111,2.45054686373,0.0,2.11492491304,0.0,0.0586645407855,0.0586645407855,0.0586645407855,0.0535676765835,0.0109872588647,0.0631517086927,0.327745893185,0.313045228626
 01/02  06:00:00,0.583753784109,2.81649471622,0.0,2.24974704558,0.0,0.0624042851351,0.0624042851351,0.0624042851351,0.0535676765835,0.0109872588647,0.0759814879778,0.365738075548,0.541553863321
 01/02  07:00:00,0.808547835286,4.3377285923,0.0,3.34064701556,0.0,0.09266405719,0.09266405719,0.09266405719,0.123205679416,0.0252706876143,0.129758030703,0.422574380363,0.967972609898
 01/02  08:00:00,1.06420482443,3.25350898135,0.0,2.13778923429,0.0,0.0592987594748,0.0592987594748,0.0592987594748,0.251768089917,0.0516401067072,0.207405929039,0.449016939288,1.08478928889
 01/02  09:00:00,0.982952501104,2.12776078039,0.0,1.04807028727,0.0,0.0290717470556,0.0290717470556,0.0290717470556,0.24105456125,0.0494426573893,0.268690649238,0.379617886171,1.05354057733
 01/02  10:00:00,0.818312079624,1.04078660555,0.0,0.059185125517,0.0,0.00164169809925,0.00164169809925,0.00164169809925,0.123205679416,0.0252706876143,0.330033495679,0.323085518815,0.95934578709
 01/02  11:00:00,0.813289919745,0.86803808768,0.0,0.0,0.0,0.0,0.0,0.0,0.101778555585,0.0208757889786,0.344876619894,0.330683955288,0.84525897769
 01/02  12:00:00,0.82963433821,0.763326184632,0.0,0.0,0.0,0.0,0.0,0.0,0.101778555585,0.0208757889786,0.361119725873,0.330785267774,0.740540095748
