Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly) 
 01/01  01:00:00,0.689436086477,1.75046153525,0.0,1.3588766248,0.0363845636061,0.0363845636061,0.0363845636061,0.13299183107,0.0275544175015,0.092942924749,0.38421434955,0.36511876312
 01/01  02:00:00,0.583387141703,1.97113275175,0.0,1.65977081752,0.0444411477682,0.0444411477682,0.0444411477682,0.0775785967864,0.0160734078338,0.0761857795615,0.353760209753,0.286993584
 01/01  03:00:00,0.543877964458,2.14387397439,0.0,1.85432942896,0.0496505465051,0.0496505465051,0.0496505465051,0.0554132755573,0.0114810068172,0.0623264934745,0.349658642104,0.26545872681
 01/01  04:00:00,0.534396868291,2.29115413859,0.0,1.99590855373,0.0534413944575,0.0534413944575,0.0534413944575,0.0554132755573,0.0114810068172,0.0539764305342,0.344736760925,0.271498804145
 01/01  05:00:00,0.536260747719,2.4669517053,0.0,2.10944242127,0.0564813173978,0.0564813173978,0.0564813173978,0.0554132755573,0.0114810068172,0.0658228643082,0.331714283638,0.33465954114
 01/01  06:00:00,0.589045577119,2.74470050033,0.0,2.11233000498,0.056558633816,0.056558633816,0.056558633816,0.0554132755573,0.0114810068172,0.080078180578,0.370166480351,0.606872018732
 01/01  07:00:00,0.797656186766,3.40206349557,0.0,2.25493030969,0.0603768243435,0.0603768243435,0.0603768243435,0.127450542036,0.0264063108338,0.14038354292,0.427690966632,1.11767220363
 01/01  08:00:00,1.07798702103,3.17024497194,0.0,1.87540792099,0.0502149330875,0.0502149330875,0.0502149330875,0.260442373107,0.0539607283354,0.228567290958,0.454453695544,1.26353255002
 01/01  09:00:00,1.04653197692,2.93473450396,0.0,1.67382375224,0.0448174217343,0.0448174217343,0.0448174217343,0.24935972625,0.0516645292523,0.30112795013,0.38421434955,1.23444460439
 01/01  10:00:00,0.907041836993,2.48287776042,0.0,1.33610897911,0.0357749491365,0.0357749491365,0.0357749491365,0.127450542036,0.0264063108338,0.375064554145,0.326997480842,1.12424394975
 01/01  11:00:00,0.899651450261,2.01094665211,0.0,0.998059697024,0.0267235199033,0.0267235199033,0.0267235199033,0.105285248323,0.0218139126677,0.395792849183,0.334687920184,0.989832376788
 01/01  12:00:00,0.892698724985,0.960072291399,0.0,0.069190907173,0.00185261922757,0.00185261922757,0.00185261922757,0.105285248323,0.0218139126677,0.413608485392,0.334790459375,0.867819742639
