Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly) 
 01/01  01:00:00,0.688997072199,2.05138022356,0.0,1.67383500245,0.0,0.0464294316853,0.0464294316853,0.0464294316853,0.128562410501,0.0263694190929,0.092942924749,0.379617886171,0.351395305318
 01/01  02:00:00,0.585355246202,2.25774271231,0.0,1.95359315039,0.0,0.0541894628706,0.0541894628706,0.0541894628706,0.0749947671662,0.0153821588643,0.0761857795615,0.34952807774,0.280072377652
 01/01  03:00:00,0.547338975473,2.44415076844,0.0,2.15971586836,0.0,0.0599069682631,0.0599069682631,0.0599069682631,0.0535676765835,0.0109872588647,0.0623264934745,0.345475578288,0.260636871573
 01/01  04:00:00,0.537723470141,2.57897095342,0.0,2.28941197983,0.0,0.0635045252139,0.0635045252139,0.0635045252139,0.0535676765835,0.0109872588647,0.0539764305342,0.340612578945,0.266095931982
 01/01  05:00:00,0.539265403095,2.72789714857,0.0,2.38178172633,0.0,0.0660667101535,0.0660667101535,0.0660667101535,0.0535676765835,0.0109872588647,0.0658228643082,0.327745893185,0.323538700182
 01/01  06:00:00,0.590761006166,2.95168029256,0.0,2.354675017,0.0,0.065314814592,0.065314814592,0.065314814592,0.0535676765835,0.0109872588647,0.080078180578,0.365738075548,0.571811468249
 01/01  07:00:00,0.786856470592,3.24207600106,0.0,2.17558602341,0.0,0.0603471802786,0.0603471802786,0.0603471802786,0.123205679416,0.0252706876143,0.14038354292,0.422574380363,1.0373810108
 01/01  08:00:00,1.10262830831,3.96019786423,0.0,2.76010880421,0.0,0.0765608814378,0.0765608814378,0.0765608814378,0.251768089917,0.0516401067072,0.228567290958,0.449016939288,1.16915860185
 01/01  09:00:00,1.04161628915,3.16141960233,0.0,1.99356564663,0.0,0.0552982342134,0.0552982342134,0.0552982342134,0.24105456125,0.0494426573893,0.30112795013,0.379617886171,1.14170403992
 01/01  10:00:00,0.905566562451,2.64416120578,0.0,1.58138867302,0.0,0.043865122461,0.043865122461,0.043865122461,0.123205679416,0.0252706876143,0.375064554145,0.323085518815,1.04051683982
