Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly) 
 01/01  01:00:00,0.762259387618,4.69257188708,0.0,4.31502666597,0.0,0.119691747104,0.119691747104,0.119691747104,0.128562410501,0.0263694190929,0.092942924749,0.379617886171,0.351395305324
 01/01  02:00:00,0.668589060342,5.25841850008,0.0,4.95426893809,0.0,0.13742327701,0.13742327701,0.13742327701,0.0749947671662,0.0153821588643,0.0761857795615,0.34952807774,0.280072377718
 01/01  03:00:00,0.640157759005,5.79037604021,0.0,5.50594094848,0.0,0.152725751795,0.152725751795,0.152725751795,0.0535676765835,0.0109872588647,0.0623264934745,0.345475578288,0.260637063225
 01/01  04:00:00,0.63640254078,6.13646626759,0.0,5.84690722473,0.0,0.162183595852,0.162183595852,0.162183595852,0.0535676765835,0.0109872588647,0.0539764305342,0.340612578945,0.266096001261
 01/01  05:00:00,0.639135027533,6.3283132425,0.0,5.98219782016,0.0,0.165936334592,0.165936334592,0.165936334592,0.0535676765835,0.0109872588647,0.0658228643082,0.327745893185,0.323538700274
 01/01  06:00:00,0.703033313482,6.99922752651,0.0,6.40222225094,0.0,0.177587121908,0.177587121908,0.177587121908,0.0535676765835,0.0109872588647,0.080078180578,0.365738075548,0.571811468251
 01/01  07:00:00,0.953954517892,9.26615491521,0.0,8.19966493756,0.0,0.227445227578,0.227445227578,0.227445227578,0.123205679416,0.0252706876143,0.14038354292,0.422574380363,1.0373810108
 01/01  08:00:00,1.20108659124,7.50973345553,0.0,6.30964439551,0.0,0.175019164369,0.175019164369,0.175019164369,0.251768089917,0.0516401067072,0.228567290958,0.449016939288,1.16915860185
 01/01  09:00:00,1.14000066907,6.70829096739,0.0,5.5404369484,0.0,0.153682614132,0.153682614132,0.153682614132,0.24105456125,0.0494426573893,0.30112795013,0.379617886171,1.14170410319
 01/01  10:00:00,0.987291100112,5.59042583242,0.0,4.5276532886,0.0,0.125589660122,0.125589660122,0.125589660122,0.123205679416,0.0252706876143,0.375064554145,0.323085518815,1.04051685088
 01/01  11:00:00,0.999363594064,5.81318743713,0.0,4.87258306038,0.0,0.13515744503,0.13515744503,0.13515744503,0.101778555585,0.0208757889786,0.395792849183,0.330683955288,0.917825266753
 01/01  12:00:00,0.9851213224,4.54285319664,0.0,3.71320577027,0.0,0.102998224671,0.102998224671,0.102998224671,0.101778555585,0.0208757889786,0.413608485392,0.330785267774,0.806861337484
 01/01  13:00:00,0.923599562102,2.94343861246,0.0,2.19914460182,0.0,0.0610006565202,0.0610006565202,0.0610006565202,0.101778555585,0.0208757889786,0.399656479991,0.325213081027,0.721891760925
 01/01  14:00:00,0.866972701362,1.82290581307,0.0,1.13015976353,0.0,0.0313487741966,0.0313487741966,0.0313487741966,0.101778555585,0.0208757889786,0.361435815596,0.336458767007,0.669569142593
 01/01  15:00:00,0.870004307629,2.03769550432,0.0,1.39328691453,0.0,0.0386474888632,0.0386474888632,0.0386474888632,0.107135353167,0.0219745204572,0.331767743197,0.355404201945,0.619926629666
 01/01  16:00:00,0.923707827285,1.81102790203,0.0,1.15950429115,0.0,0.0321627431591,0.0321627431591,0.0321627431591,0.133919208083,0.0274681505715,0.339922588697,0.375160136774,0.625680766431
 01/01  17:00:00,1.16145909136,2.22961462238,0.0,1.50931846918,0.0,0.0418660134681,0.0418660134681,0.0418660134681,0.224984235001,0.0461464902322,0.389638662656,0.44374869,0.68972859752
 01/01  18:00:00,1.61334343409,3.5670439738,0.0,2.71228486449,0.0,0.0752343239581,0.0752343239581,0.0752343239581,0.417827884001,0.0857006188716,0.480421867651,0.53908373961,0.817624414375
 01/01  19:00:00,1.86762257063,2.99739311646,0.0,2.01288274419,0.0,0.0558340587482,0.0558340587482,0.0558340587482,0.621385061668,0.127452196829,0.432594020017,0.585282233363,0.944193301686
 01/01  20:00:00,1.82278999215,3.17489009878,0.0,2.16206985896,0.0,0.0599722640932,0.0599722640932,0.0599722640932,0.658882445251,0.135143276261,0.349590650728,0.604126355815,0.971205094942
 01/01  21:00:00,1.70404910088,3.43535515647,0.0,2.48991077213,0.0,0.0690660321525,0.0690660321525,0.0690660321525,0.567817418333,0.1164649366,0.310730298291,0.624895415507,0.902398566192
 01/01  22:00:00,1.57348746949,3.72292648288,0.0,2.87032111057,0.0,0.0796179896603,0.0796179896603,0.0796179896603,0.476752324918,0.0977865969395,0.293949140492,0.610306417479,0.810564514902
