Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly) 
 01/01  01:00:00,0.692044518851,2.16124419672,0.0,1.78369899797,0.0,0.0494768783374,0.0494768783374,0.0494768783374,0.128562410501,0.0263694190929,0.092942924749,0.379617886171,0.351395282967
 01/01  02:00:00,0.588196624796,2.36017771471,0.0,2.05602815277,0.0,0.0570308414643,0.0570308414643,0.0570308414643,0.0749947671662,0.0153821588643,0.0761857795615,0.34952807774,0.280072377661
 01/01  03:00:00,0.548667042518,2.49202912976,0.0,2.20759422965,0.0,0.0612350353076,0.0612350353076,0.0612350353076,0.0535676765835,0.0109872588647,0.0623264934745,0.345475578288,0.260636871604
 01/01  04:00:00,0.538515815774,2.60753593483,0.0,2.31797696125,0.0,0.0642968708462,0.0642968708462,0.0642968708462,0.0535676765835,0.0109872588647,0.0539764305342,0.340612578945,0.266095931982
 01/01  05:00:00,0.539490852932,2.73602487736,0.0,2.38990945512,0.0,0.0662921599905,0.0662921599905,0.0662921599905,0.0535676765835,0.0109872588647,0.0658228643082,0.327745893185,0.323538700182
 01/01  06:00:00,0.593200702361,3.03963417735,0.0,2.44262890179,0.0,0.0677545107865,0.0677545107865,0.0677545107865,0.0535676765835,0.0109872588647,0.080078180578,0.365738075548,0.571811468249
 01/01  07:00:00,0.787228249883,3.25547907683,0.0,2.18898909918,0.0,0.0607189595697,0.0607189595697,0.0607189595697,0.123205679416,0.0252706876143,0.14038354292,0.422574380363,1.0373810108
 01/01  08:00:00,1.07250418418,2.87418815965,0.0,1.67409909963,0.0,0.0464367573068,0.0464367573068,0.0464367573068,0.251768089917,0.0516401067072,0.228567290958,0.449016939288,1.16915860185
 01/01  09:00:00,1.00983862631,2.0157979042,0.0,0.847943948491,0.0,0.0235205713656,0.0235205713656,0.0235205713656,0.24105456125,0.0494426573893,0.30112795013,0.379617886171,1.14170403992
 01/01  10:00:00,0.874566508763,1.52657322375,0.0,0.463800689346,0.0,0.0128650687732,0.0128650687732,0.0128650687732,0.123205679416,0.0252706876143,0.375064554145,0.323085518815,1.04051684146
 01/01  11:00:00,0.898679067704,2.1833932611,0.0,1.24278880469,0.0,0.03447291867,0.03447291867,0.03447291867,0.101778555585,0.0208757889786,0.395792849183,0.330683955288,0.917825346417
 01/01  12:00:00,0.902530094236,1.56534349088,0.0,0.735695954227,0.0,0.0204069965068,0.0204069965068,0.0204069965068,0.101778555585,0.0208757889786,0.413608485392,0.330785267774,0.806861447767
 01/01  13:00:00,0.871604100555,1.06894183217,0.0,0.324647750424,0.0,0.00900519497324,0.00900519497324,0.00900519497324,0.101778555585,0.0208757889786,0.399656479991,0.325213081027,0.721891832033
 01/01  14:00:00,0.84452338184,1.01358177955,0.0,0.320835689675,0.0,0.00889945467393,0.00889945467393,0.00889945467393,0.101778555585,0.0208757889786,0.361435815596,0.336458767007,0.669569182928
