Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly) 
 01/01  01:00:00,0.709613387766,2.79462237333,0.0,2.41707715221,0.0,0.0670457472525,0.0670457472525,0.0670457472525,0.128562410501,0.0263694190929,0.092942924749,0.379617886171,0.351395305324
 01/01  02:00:00,0.606395893722,3.01628251597,0.0,2.71213296049,0.0,0.0752301103907,0.0752301103907,0.0752301103907,0.0749947671662,0.0153821588643,0.0761857795615,0.34952807774,0.280072371212
 01/01  03:00:00,0.566855653802,3.14774971644,0.0,2.86331481697,0.0,0.0794236465919,0.0794236465919,0.0794236465919,0.0535676765835,0.0109872588647,0.0623264934745,0.345475578288,0.26063687096
 01/01  04:00:00,0.556351087675,3.25051822648,0.0,2.96095925293,0.0,0.0821321427474,0.0821321427474,0.0821321427474,0.0535676765835,0.0109872588647,0.0539764305342,0.340612578945,0.266095931942
 01/01  05:00:00,0.557232205593,3.37562127124,0.0,3.029505849,0.0,0.0840335126522,0.0840335126522,0.0840335126522,0.0535676765835,0.0109872588647,0.0658228643082,0.327745893185,0.323538700179
 01/01  06:00:00,0.609310267246,3.62040272438,0.0,3.02339744882,0.0,0.0838640756715,0.0838640756715,0.0838640756715,0.0535676765835,0.0109872588647,0.080078180578,0.365738075548,0.571811468249
 01/01  07:00:00,0.805225562109,3.90430311062,0.0,2.83781313298,0.0,0.0787162717951,0.0787162717951,0.0787162717951,0.123205679416,0.0252706876143,0.14038354292,0.422574380363,1.0373810108
 01/01  08:00:00,1.10372774737,3.99983392075,0.0,2.79974486073,0.0,0.0776603204957,0.0776603204957,0.0776603204957,0.251768089917,0.0516401067072,0.228567290958,0.449016939288,1.16915860185
 01/01  09:00:00,1.06543902002,4.02025675235,0.0,2.85240279665,0.0,0.0791209650843,0.0791209650843,0.0791209650843,0.24105456125,0.0494426573893,0.30112795013,0.379617886171,1.14170403992
 01/01  10:00:00,0.932637725154,3.62010810078,0.0,2.55733556802,0.0,0.0709362851642,0.0709362851642,0.0709362851642,0.123205679416,0.0252706876143,0.375064554145,0.323085518815,1.04051683982
