Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly) 
 01/01  01:00:00,0.759793755728,4.37818454406,0.0,3.98656767412,0.106742232857,0.106742232857,0.106742232857,0.13299183107,0.0275544175015,0.092942924749,0.38421434955,0.365150722609
 01/01  02:00:00,0.65558606295,4.66764347901,0.0,4.35622823502,0.116640069015,0.116640069015,0.116640069015,0.0775785967864,0.0160734078338,0.0761857795615,0.353760209753,0.287046893762
 01/01  03:00:00,0.617556954561,4.89574687598,0.0,4.6060638863,0.123329536608,0.123329536608,0.123329536608,0.0554132755573,0.0114810068172,0.0623264934745,0.349658642104,0.265597171055
 01/01  04:00:00,0.60835099663,5.05328185616,0.0,4.75791876761,0.127395522796,0.127395522796,0.127395522796,0.0554132755573,0.0114810068172,0.0539764305342,0.344736760925,0.271616307842
 01/01  05:00:00,0.609886693245,5.2168556072,0.0,4.85919579024,0.130107262924,0.130107262924,0.130107262924,0.0554132755573,0.0114810068172,0.0658228643082,0.331714283638,0.334810074068
 01/01  06:00:00,0.661401950697,5.44719400104,0.0,4.81466789132,0.128915007394,0.128915007394,0.128915007394,0.0554132755573,0.0114810068172,0.080078180578,0.370166480351,0.607027633111
 01/01  07:00:00,0.860018075699,5.73127117775,0.0,4.58399804474,0.122738713276,0.122738713276,0.122738713276,0.127450542036,0.0264063108338,0.14038354292,0.427690966632,1.11781215076
 01/01  08:00:00,1.16123125521,6.27934743092,0.0,4.98438141848,0.133459167262,0.133459167262,0.133459167262,0.260442373107,0.0539607283354,0.228567290958,0.454453695544,1.26366151152
 01/01  09:00:00,1.11749334021,5.58503322733,0.0,4.32406133335,0.115778785026,0.115778785026,0.115778785026,0.24935972625,0.0516645292523,0.30112795013,0.38421434955,1.23450574665
 01/01  10:00:00,0.959473831598,4.44111476765,0.0,3.29431885714,0.0882069437419,0.0882069437419,0.0882069437419,0.127450542036,0.0264063108338,0.375064554145,0.326997480842,1.12427107896
