Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly) 
 01/01  01:00:00,0.740619237332,3.91241930514,0.0,3.53487408402,0.0,0.098051596818,0.098051596818,0.098051596818,0.128562410501,0.0263694190929,0.092942924749,0.379617886171,0.351395305324
 01/01  02:00:00,0.638911172638,4.18849613758,0.0,3.88434657559,0.0,0.107745389306,0.107745389306,0.107745389306,0.0749947671662,0.0153821588643,0.0761857795615,0.34952807774,0.280072377718
 01/01  03:00:00,0.60150687682,4.39696660085,0.0,4.11253170073,0.0,0.114074869609,0.114074869609,0.114074869609,0.0535676765835,0.0109872588647,0.0623264934745,0.345475578288,0.260636871607
 01/01  04:00:00,0.602810199707,4.92542323999,0.0,4.6358642664,0.0,0.12859125478,0.12859125478,0.12859125478,0.0535676765835,0.0109872588647,0.0539764305342,0.340612578945,0.266095931982
 01/01  05:00:00,0.606457622698,5.15025479936,0.0,4.80413937711,0.0,0.133258929757,0.133258929757,0.133258929757,0.0535676765835,0.0109872588647,0.0658228643082,0.327745893185,0.323538700182
 01/01  06:00:00,0.660894861112,5.48008731812,0.0,4.88308204256,0.0,0.135448669538,0.135448669538,0.135448669538,0.0535676765835,0.0109872588647,0.080078180578,0.365738075548,0.571811468249
 01/01  07:00:00,0.857393173025,5.78500614696,0.0,4.71851616931,0.0,0.130883882711,0.130883882711,0.130883882711,0.123205679416,0.0252706876143,0.14038354292,0.422574380363,1.0373810108
 01/01  08:00:00,1.15302166882,5.77693711023,0.0,4.5768480502,0.0,0.126954241947,0.126954241947,0.126954241947,0.251768089917,0.0516401067072,0.228567290958,0.449016939288,1.16915860185
 01/01  09:00:00,1.09880196046,5.22302955111,0.0,4.05517559541,0.0,0.112483905524,0.112483905524,0.112483905524,0.24105456125,0.0494426573893,0.30112795013,0.379617886171,1.14170403992
 01/01  10:00:00,0.952251925079,4.32722281634,0.0,3.26445028358,0.0,0.0905504850892,0.0905504850892,0.0905504850892,0.123205679416,0.0252706876143,0.375064554145,0.323085518815,1.04051683982
