Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly) 
 01/01  01:00:00,0.753526615949,4.37774531355,0.0,4.00020009244,0.0,0.110958975435,0.110958975435,0.110958975435,0.128562410501,0.0263694190929,0.092942924749,0.379617886171,0.351395305324
 01/01  02:00:00,0.660061874406,4.9510035313,0.0,4.64685396931,0.0,0.128896091074,0.128896091074,0.128896091074,0.0749947671662,0.0153821588643,0.0761857795615,0.34952807774,0.280072377718
 01/01  03:00:00,0.629738340242,5.414743686,0.0,5.13030878588,0.0,0.142306333031,0.142306333031,0.142306333031,0.0535676765835,0.0109872588647,0.0623264934745,0.345475578288,0.260636871607
 01/01  04:00:00,0.620906440496,5.57781376353,0.0,5.28825478995,0.0,0.146687495568,0.146687495568,0.146687495568,0.0535676765835,0.0109872588647,0.0539764305342,0.340612578945,0.266095931982
 01/01  05:00:00,0.624669888526,5.80682816048,0.0,5.46071273823,0.0,0.151471195585,0.151471195585,0.151471195585,0.0535676765835,0.0109872588647,0.0658228643082,0.327745893185,0.323538700182
 01/01  06:00:00,0.679422017228,6.14801284028,0.0,5.55100756472,0.0,0.153975825654,0.153975825654,0.153975825654,0.0535676765835,0.0109872588647,0.080078180578,0.365738075548,0.571811468249
 01/01  07:00:00,0.87672766608,6.48203710461,0.0,5.41554712696,0.0,0.150218375767,0.150218375767,0.150218375767,0.123205679416,0.0252706876143,0.14038354292,0.422574380363,1.0373810108
 01/01  08:00:00,1.17416472611,6.53916891181,0.0,5.33907985178,0.0,0.148097299243,0.148097299243,0.148097299243,0.251768089917,0.0516401067072,0.228567290958,0.449016939288,1.16915860185
 01/01  09:00:00,1.11349009871,5.75255401484,0.0,4.58470005913,0.0,0.127172043768,0.127172043768,0.127172043768,0.24105456125,0.0494426573893,0.30112795013,0.379617886171,1.14170403992
 01/01  10:00:00,0.955662055323,4.45016197654,0.0,3.38738944431,0.0,0.0939606153329,0.0939606153329,0.0939606153329,0.123205679416,0.0252706876143,0.375064554145,0.323085518815,1.04051683929
