Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly) 
 01/01  01:00:00,0.653404220836,0.768079875171,0.0,0.390671321878,0.0,0.0108365803224,0.0108365803224,0.0108365803224,0.128562410501,0.0263694190929,0.092942924749,0.379617886171,0.351258637505
 01/01  02:00:00,0.555916981014,1.19645865549,0.0,0.892309458225,0.0,0.024751197682,0.024751197682,0.024751197682,0.0749947671662,0.0153821588643,0.0761857795615,0.34952807774,0.280072012995
 01/01  03:00:00,0.525119612006,1.6431168754,0.0,1.35868197771,0.0,0.0376876047959,0.0376876047959,0.0376876047959,0.0535676765835,0.0109872588647,0.0623264934745,0.345475578288,0.260636869183
 01/01  04:00:00,0.522529325766,2.03120441717,0.0,1.74164540666,0.0,0.0483103808381,0.0483103808381,0.0483103808381,0.0535676765835,0.0109872588647,0.0539764305342,0.340612578945,0.266095968912
 01/01  05:00:00,0.528128849866,2.3264114738,0.0,1.98029603236,0.0,0.0549301569248,0.0549301569248,0.0549301569248,0.0535676765835,0.0109872588647,0.0658228643082,0.327745893185,0.32353871938
 01/01  06:00:00,0.586101037064,2.78368298787,0.0,2.18667771205,0.0,0.0606548454899,0.0606548454899,0.0606548454899,0.0535676765835,0.0109872588647,0.080078180578,0.365738075548,0.571811468507
 01/01  07:00:00,0.782856175973,3.09786072833,0.0,2.03137075068,0.0,0.0563468856597,0.0563468856597,0.0563468856597,0.123205679416,0.0252706876143,0.14038354292,0.422574380363,1.0373810108
 01/01  08:00:00,1.07510075033,2.96779738879,0.0,1.76770832876,0.0,0.0490333234576,0.0490333234576,0.0490333234576,0.251768089917,0.0516401067072,0.228567290958,0.449016939288,1.16915860185
 01/01  09:00:00,1.01784990756,2.30461390929,0.0,1.13675995359,0.0,0.0315318526201,0.0315318526201,0.0315318526201,0.24105456125,0.0494426573893,0.30112795013,0.379617886171,1.14170403992
 01/01  10:00:00,0.872570137418,1.45460171511,0.0,0.39182918087,0.0,0.0108686974277,0.0108686974277,0.0108686974277,0.123205679416,0.0252706876143,0.375064554145,0.323085518815,1.0405168413
 01/01  11:00:00,0.871130962591,1.19004666363,0.0,0.249647581209,0.0,0.006924813557,0.006924813557,0.006924813557,0.101778555585,0.0208757889786,0.395792849183,0.330683955288,0.917619972431
 01/01  12:00:00,0.882123097729,0.826139626167,0.0,0.0,0.0,0.0,0.0,0.0,0.101778555585,0.0208757889786,0.413608485392,0.330785267774,0.803353537282
 01/01  13:00:00,0.862598905581,0.736513638552,0.0,0.0,0.0,0.0,0.0,0.0,0.101778555585,0.0208757889786,0.399656479991,0.325213081027,0.714111388837
 01/01  14:00:00,0.835623927166,0.681717860307,0.0,0.0,0.0,0.0,0.0,0.0,0.101778555585,0.0208757889786,0.361435815596,0.336458767007,0.658540953359
 01/01  15:00:00,0.831356818766,0.631768701757,0.0,0.0,0.0,0.0,0.0,0.0,0.107135353167,0.0219745204572,0.331767743197,0.355404201945,0.607286741632
 01/01  16:00:00,0.891545084126,0.637827334778,0.0,0.0,0.0,0.0,0.0,0.0,0.133919208083,0.0274681505715,0.339922588697,0.375160136774,0.611984490324
 01/01  17:00:00,1.11959307789,0.708125759046,0.0,0.0,0.0,0.0,0.0,0.0,0.224984235001,0.0461464902322,0.389638662656,0.44374869,0.67755820336
 01/01  18:00:00,1.53810911013,0.846289141231,0.0,0.0,0.0,0.0,0.0,0.0,0.417827884001,0.0857006188716,0.480421867651,0.53908373961,0.809154446299
 01/01  19:00:00,1.81178851188,0.974811132839,0.0,0.0,0.0,0.0,0.0,0.0,0.621385061668,0.127452196829,0.432594020017,0.585282233363,0.934494062247
 01/01  20:00:00,1.76281772805,1.0025756853,0.0,0.0,0.0,0.0,0.0,0.0,0.658882445251,0.135143276261,0.349590650728,0.604126355815,0.960960540424
 01/01  21:00:00,1.63498306873,0.93691059562,0.0,0.0,0.0,0.0,0.0,0.0,0.567817418333,0.1164649366,0.310730298291,0.624895415507,0.893864777476
 01/01  22:00:00,1.49386947983,0.846209886536,0.0,0.0,0.0,0.0,0.0,0.0,0.476752324918,0.0977865969395,0.293949140492,0.610306417479,0.804169029127
 01/01  23:00:00,1.20990912941,0.703125323551,0.0,0.0,0.0,0.0,0.0,0.0,0.358903443084,0.0736146271644,0.234174068073,0.528141991089,0.66674434917
 01/01  24:00:00,0.924445513228,0.619657145604,0.0,0.0727022887061,0.0,0.00201664198795,0.00201664198795,0.00201664198795,0.246411292335,0.050541388868,0.151455627092,0.458945562945,0.515340467113
 01/02  01:00:00,0.651618113641,0.92833581826,0.0,0.563268999627,0.0,0.0156241562044,0.0156241562044,0.0156241562044,0.128562410501,0.0263694190929,0.0863692416722,0.379617886171,0.338916902844
 01/02  02:00:00,0.55892956214,1.44086017908,0.0,1.14321131869,0.0,0.031710802884,0.031710802884,0.031710802884,0.0749947671662,0.0153821588643,0.0722387554862,0.34952807774,0.27357167612
 01/02  03:00:00,0.527671140508,1.82446072418,0.0,1.54480572901,0.0,0.0428503717254,0.0428503717254,0.0428503717254,0.0535676765835,0.0109872588647,0.0597152550472,0.345475578288,0.255856966659
 01/02  04:00:00,0.527030493299,2.23756905607,0.0,1.95314213856,0.0,0.0541769525437,0.0541769525437,0.0541769525437,0.0535676765835,0.0109872588647,0.0526110263622,0.340612578945,0.260963875908
 01/02  05:00:00,0.534819415513,2.65341890626,0.0,2.3177969701,0.0,0.0642918781875,0.0642918781875,0.0642918781875,0.0535676765835,0.0109872588647,0.0631517086927,0.327745893185,0.3130452141
 01/02  06:00:00,0.589889027751,3.03767742136,0.0,2.47092971321,0.0,0.068539528777,0.068539528777,0.068539528777,0.0535676765835,0.0109872588647,0.0759814879778,0.365738075548,0.541553900843
 01/02  07:00:00,0.8128014416,4.49107618649,0.0,3.49399446945,0.0,0.0969176635036,0.0969176635036,0.0969176635036,0.123205679416,0.0252706876143,0.129758030703,0.422574380363,0.967972750196
 01/02  08:00:00,1.06725887144,3.36361095292,0.0,2.24789118038,0.0,0.0623528064848,0.0623528064848,0.0623528064848,0.251768089917,0.0516401067072,0.207405929039,0.449016939288,1.08478931437
 01/02  09:00:00,0.987091442534,2.27697444202,0.0,1.19728393877,0.0,0.0332106884858,0.0332106884858,0.0332106884858,0.24105456125,0.0494426573893,0.268690649238,0.379617886171,1.05354058746
 01/02  10:00:00,0.823406173184,1.22443460592,0.0,0.24283312199,0.0,0.00673579165918,0.00673579165918,0.00673579165918,0.123205679416,0.0252706876143,0.330033495679,0.323085518815,0.959345790984
 01/02  11:00:00,0.813289919745,0.868499913338,0.0,0.0,0.0,0.0,0.0,0.0,0.101778555585,0.0208757889786,0.344876619894,0.330683955288,0.845720803347
 01/02  12:00:00,0.82963433821,0.763989705085,0.0,0.0,0.0,0.0,0.0,0.0,0.101778555585,0.0208757889786,0.361119725873,0.330785267774,0.7412036162
 01/02  13:00:00,0.81478839949,0.682663662135,0.0,0.0,0.0,0.0,0.0,0.0,0.101778555585,0.0208757889786,0.3518459739,0.325213081027,0.66026141242
 01/02  14:00:00,0.792035894651,0.635820403378,0.0,0.0,0.0,0.0,0.0,0.0,0.101778555585,0.0208757889786,0.317847783081,0.336458767007,0.61264349643
 01/02  15:00:00,0.792231246591,0.589784871169,0.0,0.0,0.0,0.0,0.0,0.0,0.107135353167,0.0219745204572,0.292642171022,0.355404201945,0.565302911044
 01/02  16:00:00,0.854486111271,0.596914238468,0.0,0.0,0.0,0.0,0.0,0.0,0.133919208083,0.0274681505715,0.302863615842,0.375160136774,0.571071394015
 01/02  17:00:00,1.08367515864,0.657428376391,0.0,0.0,0.0,0.0,0.0,0.0,0.224984235001,0.0461464902322,0.353720743409,0.44374869,0.626860820705
 01/02  18:00:00,1.50275717992,0.784988646741,0.0,0.0,0.0,0.0,0.0,0.0,0.417827884001,0.0857006188716,0.445069937436,0.53908373961,0.747853951809
 01/02  19:00:00,1.77747819634,0.897030076017,0.0,0.0,0.0,0.0,0.0,0.0,0.621385061668,0.127452196829,0.398283704478,0.585282233363,0.856713005424
 01/02  20:00:00,1.72857297386,0.91617459109,0.0,0.0,0.0,0.0,0.0,0.0,0.658882445251,0.135143276261,0.315345896534,0.604126355815,0.874559446215
 01/02  21:00:00,1.6001276984,0.854675953034,0.0,0.0,0.0,0.0,0.0,0.0,0.567817418333,0.1164649366,0.275874927963,0.624895415507,0.81163013489
 01/02  22:00:00,1.45826262236,0.776758708383,0.0,0.0,0.0,0.0,0.0,0.0,0.476752324918,0.0977865969395,0.258342283024,0.610306417479,0.734717850974
 01/02  23:00:00,1.18161591749,0.648299003363,0.0,0.0,0.0,0.0,0.0,0.0,0.358903443084,0.0736146271644,0.205880856148,0.528141991089,0.611918028982
 01/02  24:00:00,0.906894025904,0.510456837907,0.0,0.0,0.0,0.0,0.0,0.0,0.246411292335,0.050541388868,0.135920781757,0.458945562945,0.478842448122
 01/03  01:00:00,0.64199144351,0.579919228687,0.0,0.216216347058,0.0,0.00599748607257,0.00599748607257,0.00599748607257,0.128562410501,0.0263694190929,0.0863692416722,0.379617886171,0.33755296584
 01/03  02:00:00,0.548181022245,1.05340265159,0.0,0.755713956604,0.0,0.0209622629891,0.0209622629891,0.0209622629891,0.0749947671662,0.0153821588643,0.0722387554862,0.34952807774,0.27361151071
 01/03  03:00:00,0.518317688479,1.48734039899,0.0,1.20760290673,0.0,0.0334969196957,0.0334969196957,0.0334969196957,0.0535676765835,0.0109872588647,0.0597152550472,0.345475578288,0.255939463744
 01/03  04:00:00,0.514282124292,1.77806810078,0.0,1.49354861149,0.0,0.0414285835368,0.0414285835368,0.0414285835368,0.0535676765835,0.0109872588647,0.0526110263622,0.340612578945,0.26105644769
 01/03  05:00:00,0.520456125161,2.13579431157,0.0,1.79998365063,0.0,0.0499285878352,0.0499285878352,0.0499285878352,0.0535676765835,0.0109872588647,0.0631517086927,0.327745893185,0.313233938877
