Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly) 
 01/01  01:00:00,0.648242943324,0.581055455201,0.0,0.204601265791,0.0,0.00567530280993,0.00567530280993,0.00567530280993,0.128562410501,0.0263694190929,0.092942924749,0.379617886171,0.350304273621
 01/01  02:00:00,0.550720401262,1.00903369048,0.0,0.704966715372,0.0,0.0195546179306,0.0195546179306,0.0195546179306,0.0749947671662,0.0153821588643,0.0761857795615,0.34952807774,0.27998979084
 01/01  03:00:00,0.519661836501,1.44635728304,0.0,1.16192282421,0.0,0.0322298292909,0.0322298292909,0.0322298292909,0.0535676765835,0.0109872588647,0.0623264934745,0.345475578288,0.26063643032
 01/01  04:00:00,0.515746744153,1.78668442546,0.0,1.49712545245,0.0,0.0415277992259,0.0415277992259,0.0415277992259,0.0535676765835,0.0109872588647,0.0539764305342,0.340612578945,0.266095931406
 01/01  05:00:00,0.52724886609,2.29468701619,0.0,1.94857159395,0.0,0.0540501731489,0.0540501731489,0.0540501731489,0.0535676765835,0.0109872588647,0.0658228643082,0.327745893185,0.323538700174
 01/01  06:00:00,0.579277764792,2.53769608781,0.0,1.94069081225,0.0,0.0538315732182,0.0538315732182,0.0538315732182,0.0535676765835,0.0109872588647,0.080078180578,0.365738075548,0.571811468249
 01/01  07:00:00,0.807582976219,3.98929056023,0.0,2.92280065294,0.0,0.081073685905,0.081073685905,0.081073685905,0.123205679416,0.0252706876143,0.14038354292,0.422574380363,1.03738094045
 01/01  08:00:00,1.06672614648,2.66588316925,0.0,1.4657941218,0.0,0.0406587196128,0.0406587196128,0.0406587196128,0.251768089917,0.0516401067072,0.228567290958,0.449016939288,1.16915858928
 01/01  09:00:00,1.00125515233,1.70635368326,0.0,0.538499730464,0.0,0.014937097391,0.014937097391,0.014937097391,0.24105456125,0.0494426573893,0.30112795013,0.379617886171,1.14170403701
 01/01  10:00:00,0.86170143999,1.06057946542,0.0,0.0,0.0,0.0,0.0,0.0,0.123205679416,0.0252706876143,0.375064554145,0.323085518815,1.03832377248
 01/01  11:00:00,0.864206149034,0.93467260419,0.0,0.0,0.0,0.0,0.0,0.0,0.101778555585,0.0208757889786,0.395792849183,0.330683955288,0.9118934942
 01/01  12:00:00,0.882123097729,0.819203381287,0.0,0.0,0.0,0.0,0.0,0.0,0.101778555585,0.0208757889786,0.413608485392,0.330785267774,0.796417292402
 01/01  13:00:00,0.862598905581,0.730089212248,0.0,0.0,0.0,0.0,0.0,0.0,0.101778555585,0.0208757889786,0.399656479991,0.325213081027,0.707686962533
 01/01  14:00:00,0.835623927166,0.675454278401,0.0,0.0,0.0,0.0,0.0,0.0,0.101778555585,0.0208757889786,0.361435815596,0.336458767007,0.652277371453
 01/01  15:00:00,0.831356818766,0.624773171135,0.0,0.0,0.0,0.0,0.0,0.0,0.107135353167,0.0219745204572,0.331767743197,0.355404201945,0.60029121101
 01/01  16:00:00,0.891545084126,0.630747251956,0.0,0.0,0.0,0.0,0.0,0.0,0.133919208083,0.0274681505715,0.339922588697,0.375160136774,0.604904407502
 01/01  17:00:00,1.11959307789,0.700098244103,0.0,0.0,0.0,0.0,0.0,0.0,0.224984235001,0.0461464902322,0.389638662656,0.44374869,0.669530688417
 01/01  18:00:00,1.53810911013,0.838700806619,0.0,0.0,0.0,0.0,0.0,0.0,0.417827884001,0.0857006188716,0.480421867651,0.53908373961,0.801566111686
 01/01  19:00:00,1.81178851188,0.967788860735,0.0,0.0,0.0,0.0,0.0,0.0,0.621385061668,0.127452196829,0.432594020017,0.585282233363,0.927471790142
 01/01  20:00:00,1.76281772805,0.996184028584,0.0,0.0,0.0,0.0,0.0,0.0,0.658882445251,0.135143276261,0.349590650728,0.604126355815,0.954568883709
 01/01  21:00:00,1.63498306873,0.932254402818,0.0,0.0,0.0,0.0,0.0,0.0,0.567817418333,0.1164649366,0.310730298291,0.624895415507,0.889208584674
 01/01  22:00:00,1.49386947983,0.841957811781,0.0,0.0,0.0,0.0,0.0,0.0,0.476752324918,0.0977865969395,0.293949140492,0.610306417479,0.799916954372
 01/01  23:00:00,1.20990912941,0.700365993285,0.0,0.0,0.0,0.0,0.0,0.0,0.358903443084,0.0736146271644,0.234174068073,0.528141991089,0.663985018903
 01/01  24:00:00,0.92242887124,0.544916761843,0.0,0.0,0.0,0.0,0.0,0.0,0.246411292335,0.050541388868,0.151455627092,0.458945562945,0.513302372058
 01/02  01:00:00,0.641789331761,0.573013028442,0.0,0.208929983491,0.0,0.0057953743238,0.0057953743238,0.0057953743238,0.128562410501,0.0263694190929,0.0863692416722,0.379617886171,0.337933129163
 01/02  02:00:00,0.547672581585,1.03495148106,0.0,0.737384079555,0.0,0.0204538223286,0.0204538223286,0.0204538223286,0.0749947671662,0.0153821588643,0.0722387554862,0.34952807774,0.273490217231
 01/02  03:00:00,0.523487927025,1.67365071054,0.0,1.39399601849,0.0,0.0386671582415,0.0386671582415,0.0386671582415,0.0535676765835,0.0109872588647,0.0597152550472,0.345475578288,0.255856663538
 01/02  04:00:00,0.522868086061,2.08750943082,0.0,1.80308251737,0.0,0.050014545305,0.050014545305,0.050014545305,0.0535676765835,0.0109872588647,0.0526110263622,0.340612578945,0.260963871849
 01/02  05:00:00,0.528721985565,2.43359939413,0.0,2.0979775301,0.0,0.0581944482391,0.0581944482391,0.0581944482391,0.0535676765835,0.0109872588647,0.0631517086927,0.327745893185,0.313045141969
 01/02  06:00:00,0.586817544132,2.92694682744,0.0,2.36019915709,0.0,0.0654680451581,0.0654680451581,0.0654680451581,0.0535676765835,0.0109872588647,0.0759814879778,0.365738075548,0.541553863046
 01/02  07:00:00,0.816687829959,4.63118486579,0.0,3.63410328906,0.0,0.100804051863,0.100804051863,0.100804051863,0.123205679416,0.0252706876143,0.129758030703,0.422574380363,0.96797260989
 01/02  08:00:00,1.06600218769,3.31830613523,0.0,2.20258627015,0.0,0.0610961227427,0.0610961227427,0.0610961227427,0.251768089917,0.0516401067072,0.207405929039,0.449016939288,1.08478940691
 01/02  09:00:00,0.981807039002,2.08646555954,0.0,1.0067750465,0.0,0.0279262849537,0.0279262849537,0.0279262849537,0.24105456125,0.0494426573893,0.268690649238,0.379617886171,1.05354059725
 01/02  10:00:00,0.820037075839,1.10297472346,0.0,0.121373244996,0.0,0.00336669431499,0.00336669431499,0.00336669431499,0.123205679416,0.0252706876143,0.330033495679,0.323085518815,0.959345785523
 01/02  11:00:00,0.813289919745,0.868172118388,0.0,0.0,0.0,0.0,0.0,0.0,0.101778555585,0.0208757889786,0.344876619894,0.330683955288,0.845393008397
 01/02  12:00:00,0.82963433821,0.763836069905,0.0,0.0,0.0,0.0,0.0,0.0,0.101778555585,0.0208757889786,0.361119725873,0.330785267774,0.741049981021
 01/02  13:00:00,0.81478839949,0.681230717836,0.0,0.0,0.0,0.0,0.0,0.0,0.101778555585,0.0208757889786,0.3518459739,0.325213081027,0.658828468121
 01/02  14:00:00,0.792035894651,0.632733657272,0.0,0.0,0.0,0.0,0.0,0.0,0.101778555585,0.0208757889786,0.317847783081,0.336458767007,0.609556750324
 01/02  15:00:00,0.792231246591,0.586273059162,0.0,0.0,0.0,0.0,0.0,0.0,0.107135353167,0.0219745204572,0.292642171022,0.355404201945,0.561791099037
 01/02  16:00:00,0.854486111271,0.592630868261,0.0,0.0,0.0,0.0,0.0,0.0,0.133919208083,0.0274681505715,0.302863615842,0.375160136774,0.566788023808
 01/02  17:00:00,1.08367515864,0.653307334385,0.0,0.0,0.0,0.0,0.0,0.0,0.224984235001,0.0461464902322,0.353720743409,0.44374869,0.6227397787
 01/02  18:00:00,1.50275717992,0.781402848227,0.0,0.0,0.0,0.0,0.0,0.0,0.417827884001,0.0857006188716,0.445069937436,0.53908373961,0.744268153294
 01/02  19:00:00,1.77747819634,0.893241503587,0.0,0.0,0.0,0.0,0.0,0.0,0.621385061668,0.127452196829,0.398283704478,0.585282233363,0.852924432994
 01/02  20:00:00,1.72857297386,0.912530035115,0.0,0.0,0.0,0.0,0.0,0.0,0.658882445251,0.135143276261,0.315345896534,0.604126355815,0.87091489024
 01/02  21:00:00,1.6001276984,0.852575866021,0.0,0.0,0.0,0.0,0.0,0.0,0.567817418333,0.1164649366,0.275874927963,0.624895415507,0.809530047877
 01/02  22:00:00,1.45826262236,0.775860442592,0.0,0.0,0.0,0.0,0.0,0.0,0.476752324918,0.0977865969395,0.258342283024,0.610306417479,0.733819585183
 01/02  23:00:00,1.18161591749,0.648777159771,0.0,0.0,0.0,0.0,0.0,0.0,0.358903443084,0.0736146271644,0.205880856148,0.528141991089,0.612396185389
 01/02  24:00:00,0.906894025904,0.510968845835,0.0,0.0,0.0,0.0,0.0,0.0,0.246411292335,0.050541388868,0.135920781757,0.458945562945,0.47935445605
 01/03  01:00:00,0.645558599996,0.710216878555,0.0,0.344816486435,0.0,0.00956464255882,0.00956464255882,0.00956464255882,0.128562410501,0.0263694190929,0.0863692416722,0.379617886171,0.339250476331
 01/03  02:00:00,0.552468458827,1.20804780969,0.0,0.910281030987,0.0,0.0252496995706,0.0252496995706,0.0252496995706,0.0749947671662,0.0153821588643,0.0722387554862,0.34952807774,0.273689594429
