Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly) 
 01/01  01:00:00,0.703309378367,2.56735550391,0.0,2.18981028279,0.0,0.0607417378534,0.0607417378534,0.0607417378534,0.128562410501,0.0263694190929,0.092942924749,0.379617886171,0.351395305324
 01/01  02:00:00,0.605093165951,2.96931767145,0.0,2.66516810946,0.0,0.0739273826194,0.0739273826194,0.0739273826194,0.0749947671662,0.0153821588643,0.0761857795615,0.34952807774,0.280072377718
 01/01  03:00:00,0.563539069933,3.02818301193,0.0,2.74374811181,0.0,0.0761070627227,0.0761070627227,0.0761070627227,0.0535676765835,0.0109872588647,0.0623264934745,0.345475578288,0.260636871607
 01/01  04:00:00,0.55622764926,3.24606812812,0.0,2.95650915454,0.0,0.0820087043326,0.0820087043326,0.0820087043326,0.0535676765835,0.0109872588647,0.0539764305342,0.340612578945,0.266095931982
 01/01  05:00:00,0.55605105162,3.33303929701,0.0,2.98692387477,0.0,0.082852358679,0.082852358679,0.082852358679,0.0535676765835,0.0109872588647,0.0658228643082,0.327745893185,0.323538700182
 01/01  06:00:00,0.611129333108,3.68598216402,0.0,3.08897688846,0.0,0.0856831415342,0.0856831415342,0.0856831415342,0.0535676765835,0.0109872588647,0.080078180578,0.365738075548,0.571811468249
 01/01  07:00:00,0.803908362562,3.85681653525,0.0,2.79032655761,0.0,0.0773990722481,0.0773990722481,0.0773990722481,0.123205679416,0.0252706876143,0.14038354292,0.422574380363,1.0373810108
 01/01  08:00:00,1.12067010148,4.61062548776,0.0,3.41053642773,0.0,0.0946026746064,0.0946026746064,0.0946026746064,0.251768089917,0.0516401067072,0.228567290958,0.449016939288,1.16915860185
 01/01  09:00:00,1.06058779268,3.84536436551,0.0,2.67751040981,0.0,0.074269737744,0.074269737744,0.074269737744,0.24105456125,0.0494426573893,0.30112795013,0.379617886171,1.14170403992
 01/01  10:00:00,0.931028610945,3.56209770339,0.0,2.49932512963,0.0,0.0693271709549,0.0693271709549,0.0693271709549,0.123205679416,0.0252706876143,0.375064554145,0.323085518815,1.04051688082
 01/01  11:00:00,0.93796985423,3.59987181089,0.0,2.65926734801,0.0,0.0737637051958,0.0737637051958,0.0737637051958,0.101778555585,0.0208757889786,0.395792849183,0.330683955288,0.917825352894
 01/01  12:00:00,0.915791161685,2.04342042624,0.0,1.21377285632,0.0,0.0336680639558,0.0336680639558,0.0336680639558,0.101778555585,0.0208757889786,0.413608485392,0.330785267774,0.806861481034
 01/01  13:00:00,0.891911434301,1.8010448415,0.0,1.05675074623,0.0,0.0293125287191,0.0293125287191,0.0293125287191,0.101778555585,0.0208757889786,0.399656479991,0.325213081027,0.72189184556
