Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly) 
 01/01  01:00:00,0.705445777648,2.64437518222,0.0,2.26682996115,0.0,0.0628781371337,0.0628781371337,0.0628781371337,0.128562410501,0.0263694190929,0.092942924749,0.379617886171,0.351395305279
 01/01  02:00:00,0.605986931514,3.0015389593,0.0,2.69738939731,0.0,0.0748211481824,0.0748211481824,0.0748211481824,0.0749947671662,0.0153821588643,0.0761857795615,0.34952807774,0.280072377717
 01/01  03:00:00,0.570465665328,3.27789483047,0.0,2.99345993035,0.0,0.0830336581176,0.0830336581176,0.0830336581176,0.0535676765835,0.0109872588647,0.0623264934745,0.345475578288,0.260636871607
 01/01  04:00:00,0.564113095922,3.5303477455,0.0,3.24078867625,0.0,0.0898941509945,0.0898941509945,0.0898941509945,0.0535676765835,0.0109872588647,0.0539764305342,0.340612578945,0.266096027654
 01/01  05:00:00,0.568368154571,3.7770853389,0.0,3.43096975901,0.0,0.0951694616298,0.0951694616298,0.0951694616298,0.0535676765835,0.0109872588647,0.0658228643082,0.327745893185,0.323538857826
 01/01  06:00:00,0.6233301333,4.12583533336,0.0,3.52882992301,0.0,0.0978839417262,0.0978839417262,0.0978839417262,0.0535676765835,0.0109872588647,0.080078180578,0.365738075548,0.571811603045
 01/01  07:00:00,0.857264144025,5.78035463727,0.0,4.71386452383,0.0,0.130754853712,0.130754853712,0.130754853712,0.123205679416,0.0252706876143,0.14038354292,0.422574380363,1.0373811466
 01/01  08:00:00,1.1580232861,5.95725125034,0.0,4.75716216922,0.0,0.131955859226,0.131955859226,0.131955859226,0.251768089917,0.0516401067072,0.228567290958,0.449016939288,1.16915862294
 01/01  09:00:00,1.07889352458,4.50530728755,0.0,3.33745333143,0.0,0.0925754696417,0.0925754696417,0.0925754696417,0.24105456125,0.0494426573893,0.30112795013,0.379617886171,1.14170404033
 01/01  10:00:00,0.939672085208,3.87370496057,0.0,2.8109324278,0.0,0.0779706452174,0.0779706452174,0.0779706452174,0.123205679416,0.0252706876143,0.375064554145,0.323085518815,1.04051683982
 01/01  11:00:00,0.95891719931,4.35504794366,0.0,3.41444349663,0.0,0.0947110502754,0.0947110502754,0.0947110502754,0.101778555585,0.0208757889786,0.395792849183,0.330683955288,0.917825337038
 01/01  12:00:00,0.946411545267,3.14732084165,0.0,2.3176732912,0.0,0.0642884475381,0.0642884475381,0.0642884475381,0.101778555585,0.0208757889786,0.413608485392,0.330785267774,0.806861461562
 01/01  13:00:00,0.903614023155,2.22293676679,0.0,1.47864268271,0.0,0.0410151175734,0.0410151175734,0.0410151175734,0.101778555585,0.0208757889786,0.399656479991,0.325213081027,0.721891834365
 01/01  14:00:00,0.85346564431,1.33596073965,0.0,0.643214650189,0.0,0.0178417171443,0.0178417171443,0.0178417171443,0.101778555585,0.0208757889786,0.361435815596,0.336458767007,0.669569182517
 01/01  15:00:00,0.83580103231,0.804627669144,0.0,0.160219066186,0.0,0.0044442135439,0.0044442135439,0.0044442135439,0.107135353167,0.0219745204572,0.331767743197,0.355404201945,0.619926642834
 01/01  16:00:00,0.892665471435,0.691914875981,0.0,0.0403912653149,0.0,0.00112038730871,0.00112038730871,0.00112038730871,0.133919208083,0.0274681505715,0.339922588697,0.375160136774,0.625680766213
 01/01  17:00:00,1.12095680384,0.769460059642,0.0,0.0491639064361,0.0,0.00136372595382,0.00136372595382,0.00136372595382,0.224984235001,0.0461464902322,0.389638662656,0.44374869,0.68972859752
 01/01  18:00:00,1.57053620528,2.02379361545,0.0,1.16903448778,0.0,0.0324270951489,0.0324270951489,0.0324270951489,0.417827884001,0.0857006188716,0.480421867651,0.53908373961,0.817624432743
 01/01  19:00:00,1.82619070551,1.50372618602,0.0,0.519215828073,0.0,0.0144021936356,0.0144021936356,0.0144021936356,0.621385061668,0.127452196829,0.432594020017,0.585282233363,0.944193287354
 01/01  20:00:00,1.78190339444,1.70088069648,0.0,0.688060466948,0.0,0.0190856663881,0.0190856663881,0.0190856663881,0.658882445251,0.135143276261,0.349590650728,0.604126355815,0.971205084655
 01/01  21:00:00,1.65410102655,1.63466899051,0.0,0.689224610664,0.0,0.0191179578213,0.0191179578213,0.0191179578213,0.567817418333,0.1164649366,0.310730298291,0.624895415507,0.902398561703
 01/01  22:00:00,1.51825185411,1.73161828311,0.0,0.879012945827,0.0,0.0243823742836,0.0243823742836,0.0243823742836,0.476752324918,0.0977865969395,0.293949140492,0.610306417479,0.810564479871
