Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly) 
 01/01  01:00:00,0.794805141507,5.68560980465,0.0,5.29415938398,0.141753618637,0.141753618637,0.141753618637,0.13299183107,0.0275544175015,0.092942924749,0.38421434955,0.364984273341
 01/01  02:00:00,0.707100362775,6.59142976321,0.0,6.28016440292,0.16815436884,0.16815436884,0.16815436884,0.0775785967864,0.0160734078338,0.0761857795615,0.353760209753,0.286897010068
 01/01  03:00:00,0.674636704348,7.02739276394,0.0,6.73785632925,0.180409286395,0.180409286395,0.180409286395,0.0554132755573,0.0114810068172,0.0623264934745,0.349658642104,0.265450616073
 01/01  04:00:00,0.669091888034,7.32179420615,0.0,7.02644611323,0.188136414201,0.188136414201,0.188136414201,0.0554132755573,0.0114810068172,0.0539764305342,0.344736760925,0.271601312205
 01/01  05:00:00,0.671636932712,7.52307804883,0.0,7.16541987735,0.191857502391,0.191857502391,0.191857502391,0.0554132755573,0.0114810068172,0.0658228643082,0.331714283638,0.334808428583
 01/01  06:00:00,0.72343975382,7.76415772217,0.0,7.13163179476,0.190952810517,0.190952810517,0.190952810517,0.0554132755573,0.0114810068172,0.080078180578,0.370166480351,0.6070274508
 01/01  07:00:00,0.933359120581,8.47038418027,0.0,7.32311105452,0.196079758158,0.196079758158,0.196079758158,0.127450542036,0.0264063108338,0.14038354292,0.427690966632,1.11781214349
 01/01  08:00:00,1.19803822594,7.6539999537,0.0,6.35903394139,0.170266137993,0.170266137993,0.170266137993,0.260442373107,0.0539607283354,0.228567290958,0.454453695544,1.26366151139
 01/01  09:00:00,1.15152299268,6.85596452196,0.0,5.59498764681,0.149808437495,0.149808437495,0.149808437495,0.24935972625,0.0516645292523,0.30112795013,0.38421434955,1.23451072782
 01/01  10:00:00,0.998545029593,5.90033161194,0.0,4.75353486512,0.127278141736,0.127278141736,0.127278141736,0.127450542036,0.0264063108338,0.375064554145,0.326997480842,1.12427191527
 01/01  11:00:00,1.0001582786,5.76458629586,0.0,4.75174989203,0.127230348238,0.127230348238,0.127230348238,0.105285248323,0.0218139126677,0.395792849183,0.334687920184,0.989781825535
 01/01  12:00:00,0.981241546882,4.26685409865,0.0,3.37605401188,0.0903954411244,0.0903954411244,0.0903954411244,0.105285248323,0.0218139126677,0.413608485392,0.334790459375,0.867738445181
 01/01  13:00:00,0.936641007136,3.23899741062,0.0,2.44203206733,0.0653865622972,0.0653865622972,0.0653865622972,0.105285248323,0.0218139126677,0.399656479991,0.329150803858,0.774292182641
 01/01  14:00:00,0.898952272877,2.77661126071,0.0,2.03681344353,0.0545366422066,0.0545366422066,0.0545366422066,0.105285248323,0.0218139126677,0.361435815596,0.340532654084,0.716340631351
 01/01  15:00:00,0.890221844259,2.53920630863,0.0,1.85281741156,0.0496100615249,0.0496100615249,0.0496100615249,0.110826537357,0.0229620193354,0.331767743197,0.359707482845,0.661610876034
 01/01  16:00:00,0.94862831473,2.42745332262,0.0,1.73365389555,0.0464194020871,0.0464194020871,0.0464194020871,0.138533188893,0.0287025099169,0.339922588697,0.379702625135,0.667644064498
 01/01  17:00:00,1.18411663798,2.60087302222,0.0,1.83198906303,0.049052372653,0.049052372653,0.049052372653,0.23273572157,0.0482202235015,0.389638662656,0.4491216576,0.737946749342
 01/01  18:00:00,1.63481019703,3.59143878827,0.0,2.67610111836,0.0716538717202,0.0716538717202,0.0716538717202,0.432223571359,0.0895518497538,0.480421867651,0.54561103655,0.877753904252
