Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly) 
 01/01  01:00:00,0.661226169371,1.05020688336,0.0,0.672661662249,0.0,0.0186585288568,0.0186585288568,0.0186585288568,0.128562410501,0.0263694190929,0.092942924749,0.379617886171,0.351395305324
 01/01  02:00:00,0.558963056589,1.30627358682,0.0,1.00212402483,0.0,0.0277972732575,0.0277972732575,0.0277972732575,0.0749947671662,0.0153821588643,0.0761857795615,0.34952807774,0.280072377718
 01/01  03:00:00,0.522875439228,1.56221183954,0.0,1.27777693942,0.0,0.0354434320174,0.0354434320174,0.0354434320174,0.0535676765835,0.0109872588647,0.0623264934745,0.345475578288,0.260636871607
 01/01  04:00:00,0.515335653172,1.77186411814,0.0,1.48230514455,0.0,0.0411167082449,0.0411167082449,0.0411167082449,0.0535676765835,0.0109872588647,0.0539764305342,0.340612578945,0.266095931982
 01/01  05:00:00,0.517807130655,1.9543014745,0.0,1.60818605225,0.0,0.044608437714,0.044608437714,0.044608437714,0.0535676765835,0.0109872588647,0.0658228643082,0.327745893185,0.323538700182
 01/01  06:00:00,0.572007435034,2.27559224577,0.0,1.67858697021,0.0,0.0465612434601,0.0465612434601,0.0465612434601,0.0535676765835,0.0109872588647,0.080078180578,0.365738075548,0.571811468249
 01/01  07:00:00,0.792836823073,3.4576746622,0.0,2.39118468455,0.0,0.0663275327591,0.0663275327591,0.0663275327591,0.123205679416,0.0252706876143,0.14038354292,0.422574380363,1.0373810108
 01/01  08:00:00,1.06933005176,2.75975713131,0.0,1.55966793514,0.0,0.0432626248944,0.0432626248944,0.0432626248944,0.251768089917,0.0516401067072,0.228567290958,0.449016939288,1.169158738
 01/01  09:00:00,1.01828583997,2.32032980347,0.0,1.15247582404,0.0,0.0319677850342,0.0319677850342,0.0319677850342,0.24105456125,0.0494426573893,0.30112795013,0.379617886171,1.14170406365
 01/01  10:00:00,0.884403999152,1.88122618892,0.0,0.818453657306,0.0,0.0227025591613,0.0227025591613,0.0227025591613,0.123205679416,0.0252706876143,0.375064554145,0.323085518815,1.04051683867
 01/01  11:00:00,0.887961284175,1.79700470312,0.0,0.856400245328,0.0,0.0237551351402,0.0237551351402,0.0237551351402,0.101778555585,0.0208757889786,0.395792849183,0.330683955288,0.917825347802
 01/01  12:00:00,0.885066262313,0.935752044247,0.0,0.106104505709,0.0,0.00294316458439,0.00294316458439,0.00294316458439,0.101778555585,0.0208757889786,0.413608485392,0.330785267774,0.806861449653
 01/01  13:00:00,0.862598905581,0.743208923488,0.0,0.0,0.0,0.0,0.0,0.0,0.101778555585,0.0208757889786,0.399656479991,0.325213081027,0.720806673773
 01/01  14:00:00,0.835623927166,0.69023211242,0.0,0.0,0.0,0.0,0.0,0.0,0.101778555585,0.0208757889786,0.361435815596,0.336458767007,0.667055205472
 01/01  15:00:00,0.831356818766,0.640038318375,0.0,0.0,0.0,0.0,0.0,0.0,0.107135353167,0.0219745204572,0.331767743197,0.355404201945,0.61555635825
 01/01  16:00:00,0.891545084126,0.646382131014,0.0,0.0,0.0,0.0,0.0,0.0,0.133919208083,0.0274681505715,0.339922588697,0.375160136774,0.620539286561
 01/01  17:00:00,1.11959307789,0.715674767285,0.0,0.0,0.0,0.0,0.0,0.0,0.224984235001,0.0461464902322,0.389638662656,0.44374869,0.685107211599
 01/01  18:00:00,1.53810911013,0.851659342052,0.0,0.0,0.0,0.0,0.0,0.0,0.417827884001,0.0857006188716,0.480421867651,0.53908373961,0.814524647119
 01/01  19:00:00,1.81178851188,0.979388415584,0.0,0.0,0.0,0.0,0.0,0.0,0.621385061668,0.127452196829,0.432594020017,0.585282233363,0.939071344991
 01/01  20:00:00,1.76281772805,1.0072605041,0.0,0.0,0.0,0.0,0.0,0.0,0.658882445251,0.135143276261,0.349590650728,0.604126355815,0.965645359227
 01/01  21:00:00,1.63498306873,0.940887397186,0.0,0.0,0.0,0.0,0.0,0.0,0.567817418333,0.1164649366,0.310730298291,0.624895415507,0.897841579042
 01/01  22:00:00,1.49386947983,0.849127065095,0.0,0.0,0.0,0.0,0.0,0.0,0.476752324918,0.0977865969395,0.293949140492,0.610306417479,0.807086207686
 01/01  23:00:00,1.20990912941,0.705425873022,0.0,0.0,0.0,0.0,0.0,0.0,0.358903443084,0.0736146271644,0.234174068073,0.528141991089,0.669044898641
 01/01  24:00:00,0.92796267828,0.746890526015,0.0,0.199500178742,0.0,0.00553380703986,0.00553380703986,0.00553380703986,0.246411292335,0.050541388868,0.151455627092,0.458945562945,0.515775957488
 01/02  01:00:00,0.654174008903,1.02058150305,0.0,0.655411995913,0.0,0.0181800514659,0.0181800514659,0.0181800514659,0.128562410501,0.0263694190929,0.0863692416722,0.379617886171,0.33901959135
 01/02  02:00:00,0.554644738243,1.28638753978,0.0,0.988738434615,0.0,0.0274259789868,0.0274259789868,0.0274259789868,0.0749947671662,0.0153821588643,0.0722387554862,0.34952807774,0.273571920895
 01/02  03:00:00,0.520877678617,1.57954852588,0.0,1.29989352807,0.0,0.0360569098335,0.0360569098335,0.0360569098335,0.0535676765835,0.0109872588647,0.0597152550472,0.345475578288,0.255856969302
 01/02  04:00:00,0.512541711316,1.71523161172,0.0,1.43080469985,0.0,0.0396881705601,0.0396881705601,0.0396881705601,0.0535676765835,0.0109872588647,0.0526110263622,0.340612578945,0.260963870267
 01/02  05:00:00,0.513100065389,1.87041099021,0.0,1.53478914191,0.0,0.0425725280637,0.0425725280637,0.0425725280637,0.0535676765835,0.0109872588647,0.0631517086927,0.327745893185,0.313045126234
 01/02  06:00:00,0.563343144157,2.08066741033,0.0,1.51391974094,0.0,0.0419936451836,0.0419936451836,0.0419936451836,0.0535676765835,0.0109872588647,0.0759814879778,0.365738075548,0.54155386208
 01/02  07:00:00,0.754049122524,2.37298662366,0.0,1.37590504696,0.0,0.0381653444275,0.0381653444275,0.0381653444275,0.123205679416,0.0252706876143,0.129758030703,0.422574380363,0.967972609855
 01/02  08:00:00,1.06046101185,3.1185401845,0.0,2.00282043744,0.0,0.0555549468986,0.0555549468986,0.0555549468986,0.251768089917,0.0516401067072,0.207405929039,0.449016939288,1.08478928889
 01/02  09:00:00,0.990716127355,2.4076485346,0.0,1.32795804148,0.0,0.0368353733061,0.0368353733061,0.0368353733061,0.24105456125,0.0494426573893,0.268690649238,0.379617886171,1.05354057733
 01/02  10:00:00,0.850245965421,2.19204032108,0.0,1.21043884264,0.0,0.0335755838964,0.0335755838964,0.0335755838964,0.123205679416,0.0252706876143,0.330033495679,0.323085518815,0.959345785502
 01/02  11:00:00,0.858626965678,2.50538751304,0.0,1.6344532258,0.0,0.0453370459327,0.0453370459327,0.0453370459327,0.101778555585,0.0208757889786,0.344876619894,0.330683955288,0.848155177258
 01/02  12:00:00,0.8575355334,1.77771904312,0.0,1.00587053135,0.0,0.0279011951901,0.0279011951901,0.0279011951901,0.101778555585,0.0208757889786,0.361119725873,0.330785267774,0.749062422886
 01/02  13:00:00,0.836666500064,1.48291166628,0.0,0.788730966516,0.0,0.021878100574,0.021878100574,0.021878100574,0.101778555585,0.0208757889786,0.3518459739,0.325213081027,0.671778450045
 01/02  14:00:00,0.813139805133,1.41011065657,0.0,0.760820513417,0.0,0.0211039104815,0.0211039104815,0.0211039104815,0.101778555585,0.0208757889786,0.317847783081,0.336458767007,0.626113236206
 01/02  15:00:00,0.810570780113,1.26621975386,0.0,0.661161509503,0.0,0.0183395335224,0.0183395335224,0.0183395335224,0.107135353167,0.0219745204572,0.292642171022,0.355404201945,0.580576284228
 01/02  16:00:00,0.873924704544,1.31315919447,0.0,0.700783891545,0.0,0.0194385932729,0.0194385932729,0.0194385932729,0.133919208083,0.0274681505715,0.302863615842,0.375160136774,0.586532458476
 01/02  17:00:00,1.10116311015,1.30265107858,0.0,0.630460987755,0.0,0.0174879515116,0.0174879515116,0.0174879515116,0.224984235001,0.0461464902322,0.353720743409,0.44374869,0.641622535142
 01/02  18:00:00,1.53027717833,1.78899046427,0.0,0.992127944368,0.0,0.027519998416,0.027519998416,0.027519998416,0.417827884001,0.0857006188716,0.445069937436,0.53908373961,0.759727824972
 01/02  19:00:00,1.78571854688,1.20635340847,0.0,0.29707421934,0.0,0.00824035054356,0.00824035054356,0.00824035054356,0.621385061668,0.127452196829,0.398283704478,0.585282233363,0.86896211854
 01/02  20:00:00,1.73305903458,1.09025528363,0.0,0.161727705406,0.0,0.00448606071611,0.00448606071611,0.00448606071611,0.658882445251,0.135143276261,0.315345896534,0.604126355815,0.886912433346
 01/02  21:00:00,1.60596804987,1.07571943937,0.0,0.210551461948,0.0,0.00584035147097,0.00584035147097,0.00584035147097,0.567817418333,0.1164649366,0.275874927963,0.624895415507,0.822122159283
 01/02  22:00:00,1.46764993234,1.12375768415,0.0,0.338423440914,0.0,0.00938730998433,0.00938730998433,0.00938730998433,0.476752324918,0.0977865969395,0.258342283024,0.610306417479,0.743293385824
 01/02  23:00:00,1.19880120006,1.27401152788,0.0,0.619549420701,0.0,0.0171852825768,0.0171852825768,0.0171852825768,0.358903443084,0.0736146271644,0.205880856148,0.528141991089,0.618081132798
 01/02  24:00:00,0.933761103747,1.48301073179,0.0,0.968589398447,0.0,0.0268670778424,0.0268670778424,0.0268670778424,0.246411292335,0.050541388868,0.135920781757,0.458945562945,0.482806943555
 01/03  01:00:00,0.668902200578,1.55178536283,0.0,1.1863804324,0.0,0.0329082431412,0.0329082431412,0.0329082431412,0.128562410501,0.0263694190929,0.0863692416722,0.379617886171,0.339255014643
 01/03  02:00:00,0.564789699626,1.65224284593,0.0,1.35447608947,0.0,0.0375709403694,0.0375709403694,0.0375709403694,0.0749947671662,0.0153821588643,0.0722387554862,0.34952807774,0.27368957219
 01/03  03:00:00,0.522927703731,1.65353724826,0.0,1.3737993173,0.0,0.038106934948,0.038106934948,0.038106934948,0.0535676765835,0.0109872588647,0.0597152550472,0.345475578288,0.255939902446
 01/03  04:00:00,0.511126882849,1.66431797828,0.0,1.37979848839,0.0,0.0382733420932,0.0382733420932,0.0382733420932,0.0535676765835,0.0109872588647,0.0526110263622,0.340612578945,0.261056448283
