Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly) 
 01/01  01:00:00,0.647319911259,0.54791944538,0.0,0.171324886521,0.0,0.00475227074537,0.00475227074537,0.00475227074537,0.128562410501,0.0263694190929,0.092942924749,0.379617886171,0.35044464307
 01/01  02:00:00,0.551584292972,1.04018807738,0.0,0.736111016086,0.0,0.0204185096405,0.0204185096405,0.0204185096405,0.0749947671662,0.0153821588643,0.0761857795615,0.34952807774,0.279999877023
 01/01  03:00:00,0.520039539845,1.45997436909,0.0,1.17553946897,0.0,0.032607532635,0.032607532635,0.032607532635,0.0535676765835,0.0109872588647,0.0623264934745,0.345475578288,0.260636871601
 01/01  04:00:00,0.521607213026,1.99796114372,0.0,1.70840217014,0.0,0.0473882680988,0.0473882680988,0.0473882680988,0.0535676765835,0.0109872588647,0.0539764305342,0.340612578945,0.266095931982
 01/01  05:00:00,0.524024249235,2.17843582884,0.0,1.8323204066,0.0,0.0508255562938,0.0508255562938,0.0508255562938,0.0535676765835,0.0109872588647,0.0658228643082,0.327745893185,0.323538700182
 01/01  06:00:00,0.580608078831,2.58565545585,0.0,1.98865018029,0.0,0.0551618872567,0.0551618872567,0.0551618872567,0.0535676765835,0.0109872588647,0.080078180578,0.365738075548,0.571811468249
 01/01  07:00:00,0.778862590583,2.95388733107,0.0,1.88739735342,0.0,0.0523533002688,0.0523533002688,0.0523533002688,0.123205679416,0.0252706876143,0.14038354292,0.422574380363,1.0373810108
 01/01  08:00:00,1.10268240079,3.96214796102,0.0,2.762058901,0.0,0.0766149739172,0.0766149739172,0.0766149739172,0.251768089917,0.0516401067072,0.228567290958,0.449016939288,1.16915860185
 01/01  09:00:00,1.02771281322,2.66018312736,0.0,1.49232917165,0.0,0.04139475828,0.04139475828,0.04139475828,0.24105456125,0.0494426573893,0.30112795013,0.379617886171,1.14170403992
 01/01  10:00:00,0.874685677088,1.53086937784,0.0,0.46809684601,0.0,0.0129842370975,0.0129842370975,0.0129842370975,0.123205679416,0.0252706876143,0.375064554145,0.323085518815,1.04051683889
 01/01  11:00:00,0.864206149034,0.93965946684,0.0,0.0,0.0,0.0,0.0,0.0,0.101778555585,0.0208757889786,0.395792849183,0.330683955288,0.916880356849
 01/01  12:00:00,0.882123097729,0.823024685006,0.0,0.0,0.0,0.0,0.0,0.0,0.101778555585,0.0208757889786,0.413608485392,0.330785267774,0.800238596122
 01/01  13:00:00,0.862598905581,0.733022940183,0.0,0.0,0.0,0.0,0.0,0.0,0.101778555585,0.0208757889786,0.399656479991,0.325213081027,0.710620690468
 01/01  14:00:00,0.835623927166,0.677863547224,0.0,0.0,0.0,0.0,0.0,0.0,0.101778555585,0.0208757889786,0.361435815596,0.336458767007,0.654686640276
 01/01  15:00:00,0.831356818766,0.627864295844,0.0,0.0,0.0,0.0,0.0,0.0,0.107135353167,0.0219745204572,0.331767743197,0.355404201945,0.60338233572
 01/01  16:00:00,0.891545084126,0.633590269816,0.0,0.0,0.0,0.0,0.0,0.0,0.133919208083,0.0274681505715,0.339922588697,0.375160136774,0.607747425363
 01/01  17:00:00,1.11959307789,0.702614260587,0.0,0.0,0.0,0.0,0.0,0.0,0.224984235001,0.0461464902322,0.389638662656,0.44374869,0.672046704901
 01/01  18:00:00,1.53810911013,0.839475481531,0.0,0.0,0.0,0.0,0.0,0.0,0.417827884001,0.0857006188716,0.480421867651,0.53908373961,0.802340786599
 01/01  19:00:00,1.81178851188,0.968581447672,0.0,0.0,0.0,0.0,0.0,0.0,0.621385061668,0.127452196829,0.432594020017,0.585282233363,0.92826437708
 01/01  20:00:00,1.76281772805,0.997373378305,0.0,0.0,0.0,0.0,0.0,0.0,0.658882445251,0.135143276261,0.349590650728,0.604126355815,0.95575823343
 01/01  21:00:00,1.63498306873,0.932495800696,0.0,0.0,0.0,0.0,0.0,0.0,0.567817418333,0.1164649366,0.310730298291,0.624895415507,0.889449982552
 01/01  22:00:00,1.49386947983,0.843149521016,0.0,0.0,0.0,0.0,0.0,0.0,0.476752324918,0.0977865969395,0.293949140492,0.610306417479,0.801108663607
 01/01  23:00:00,1.20990912941,0.70098286712,0.0,0.0,0.0,0.0,0.0,0.0,0.358903443084,0.0736146271644,0.234174068073,0.528141991089,0.664601892739
 01/01  24:00:00,0.92242887124,0.54521585329,0.0,0.0,0.0,0.0,0.0,0.0,0.246411292335,0.050541388868,0.151455627092,0.458945562945,0.513601463505
