Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly) 
 01/01  01:00:00,0.712376992964,2.89425355433,0.0,2.51670833321,0.0,0.0698093524497,0.0698093524497,0.0698093524497,0.128562410501,0.0263694190929,0.092942924749,0.379617886171,0.351395305324
 01/01  02:00:00,0.607101899841,3.04173486403,0.0,2.73758530204,0.0,0.0759361165093,0.0759361165093,0.0759361165093,0.0749947671662,0.0153821588643,0.0761857795615,0.34952807774,0.280072377718
 01/01  03:00:00,0.563318293418,3.02022374886,0.0,2.73578886171,0.0,0.0758862862074,0.0758862862074,0.0758862862074,0.0535676765835,0.0109872588647,0.0623264934745,0.345475578288,0.260636858642
 01/01  04:00:00,0.552604034826,3.11543260726,0.0,2.8258736405,0.0,0.0783850898989,0.0783850898989,0.0783850898989,0.0535676765835,0.0109872588647,0.0539764305342,0.340612578945,0.266095925157
 01/01  05:00:00,0.551331738284,3.16290253782,0.0,2.81678714117,0.0,0.0781330453428,0.0781330453428,0.0781330453428,0.0535676765835,0.0109872588647,0.0658228643082,0.327745893185,0.323538674587
 01/01  06:00:00,0.60188291992,3.35263821383,0.0,2.75563294087,0.0,0.0764367283456,0.0764367283456,0.0764367283456,0.0535676765835,0.0109872588647,0.080078180578,0.365738075548,0.571811465649
 01/01  07:00:00,0.796349735889,3.58431925405,0.0,2.51782927655,0.0,0.0698404455754,0.0698404455754,0.0698404455754,0.123205679416,0.0252706876143,0.14038354292,0.422574380363,1.03738101065
 01/01  08:00:00,1.1136379103,4.35710681846,0.0,3.15701775845,0.0,0.0875704834291,0.0875704834291,0.0875704834291,0.251768089917,0.0516401067072,0.228567290958,0.449016939288,1.16915860184
 01/01  09:00:00,1.05572714156,3.67013224013,0.0,2.50227828442,0.0,0.0694090866149,0.0694090866149,0.0694090866149,0.24105456125,0.0494426573893,0.30112795013,0.379617886171,1.14170403992
 01/01  10:00:00,0.933840584348,3.66347257343,0.0,2.60070004067,0.0,0.0721391443574,0.0721391443574,0.0721391443574,0.123205679416,0.0252706876143,0.375064554145,0.323085518815,1.04051683982
 01/01  11:00:00,0.936845693438,3.55934450007,0.0,2.61874004422,0.0,0.0726395444036,0.0726395444036,0.0726395444036,0.101778555585,0.0208757889786,0.395792849183,0.330683955288,0.917825345857
 01/01  12:00:00,0.975711202655,4.20360754763,0.0,3.37396001098,0.0,0.0935881049264,0.0935881049264,0.0935881049264,0.101778555585,0.0208757889786,0.413608485392,0.330785267774,0.80686144776
 01/01  13:00:00,0.938277068902,3.47257987138,0.0,2.72828578963,0.0,0.0756781633209,0.0756781633209,0.0756781633209,0.101778555585,0.0208757889786,0.399656479991,0.325213081027,0.721891832033
 01/01  14:00:00,0.904096777939,3.16127201041,0.0,2.46852589363,0.0,0.068472850773,0.068472850773,0.068472850773,0.101778555585,0.0208757889786,0.361435815596,0.336458767007,0.669569209838
 01/01  15:00:00,0.897878252518,3.04258364684,0.0,2.39817504082,0.0,0.0665214337518,0.0665214337518,0.0665214337518,0.107135353167,0.0219745204572,0.331767743197,0.355404201945,0.619926645897
 01/01  16:00:00,0.955565239314,2.9595246511,0.0,2.30800104,0.0,0.0640201551882,0.0640201551882,0.0640201551882,0.133919208083,0.0274681505715,0.339922588697,0.375160136774,0.625680766644
 01/01  17:00:00,1.17960806614,2.88390626781,0.0,2.1636101146,0.0,0.0600149882529,0.0600149882529,0.0600149882529,0.224984235001,0.0461464902322,0.389638662656,0.44374869,0.689728597524
 01/01  18:00:00,1.61743539176,3.71456382444,0.0,2.85980469677,0.0,0.0793262816272,0.0793262816272,0.0793262816272,0.417827884001,0.0857006188716,0.480421867651,0.53908373961,0.817624432743
 01/01  19:00:00,1.86207345235,2.79734093865,0.0,1.81283057752,0.0,0.0502849404706,0.0502849404706,0.0502849404706,0.621385061668,0.127452196829,0.432594020017,0.585282233363,0.944193290542
 01/01  20:00:00,1.80848261794,2.65909261885,0.0,1.64627238146,0.0,0.0456648898837,0.0456648898837,0.0456648898837,0.658882445251,0.135143276261,0.349590650728,0.604126355815,0.971205092514
 01/01  21:00:00,1.6803821708,2.58213480553,0.0,1.6366904217,0.0,0.0453991020697,0.0453991020697,0.0453991020697,0.567817418333,0.1164649366,0.310730298291,0.624895415507,0.902398565691
 01/01  22:00:00,1.54317880794,2.63026398979,0.0,1.77765861748,0.0,0.0493093281114,0.0493093281114,0.0493093281114,0.476752324918,0.0977865969395,0.293949140492,0.610306417479,0.810564514898
 01/01  23:00:00,1.26877445241,2.82954115473,0.0,2.12216334536,0.0,0.0588653230002,0.0588653230002,0.0588653230002,0.358903443084,0.0736146271644,0.234174068073,0.528141991089,0.670996834995
 01/01  24:00:00,0.992864809616,3.08668924566,0.0,2.53929748446,0.0,0.0704359383754,0.0704359383754,0.0704359383754,0.246411292335,0.050541388868,0.151455627092,0.458945562945,0.515777371416
 01/02  01:00:00,0.719626719396,3.38022782764,0.0,3.0150583205,0.0,0.0836327619592,0.0836327619592,0.0836327619592,0.128562410501,0.0263694190929,0.0863692416722,0.379617886171,0.33901959135
 01/02  02:00:00,0.621399564205,3.69297664117,0.0,3.39532753601,0.0,0.0941808049487,0.0941808049487,0.0941808049487,0.0749947671662,0.0153821588643,0.0722387554862,0.34952807774,0.273571920895
 01/02  03:00:00,0.586524973674,3.94620985029,0.0,3.66655485247,0.0,0.101704204891,0.101704204891,0.101704204891,0.0535676765835,0.0109872588647,0.0597152550472,0.345475578288,0.255856969302
 01/02  04:00:00,0.577750010685,4.06606681675,0.0,3.7816397192,0.0,0.104896469929,0.104896469929,0.104896469929,0.0535676765835,0.0109872588647,0.0526110263622,0.340612578945,0.260964055944
