Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly) 
 01/01  01:00:00,0.912433123832,7.32522096628,0.0,6.86837913832,0.0,0.191639517896,0.191639517896,0.191639517896,0.161612796136,0.0352113105958,0.092942924749,0.413914574456,0.428332338381
 01/01  02:00:00,0.786181590976,7.42086996743,0.0,7.05757512244,0.0,0.196963413201,0.196963413201,0.196963413201,0.0942741659095,0.0205399387695,0.0761857795615,0.381106293534,0.337045114789
 01/01  03:00:00,0.758673514704,8.2301876907,0.0,7.89303281174,0.0,0.220537298433,0.220537298433,0.220537298433,0.0673386720226,0.0146713809326,0.0623264934745,0.376687669841,0.311209493458
 01/01  04:00:00,0.744239334614,8.21385943274,0.0,7.87062357889,0.0,0.219755529715,0.219755529715,0.219755529715,0.0673386720226,0.0146713809326,0.0539764305342,0.371385321409,0.317655681976
 01/01  05:00:00,0.74140153502,8.26476478883,0.0,7.84852950083,0.0,0.219100426573,0.219100426573,0.219100426573,0.0673386720226,0.0146713809326,0.0658228643082,0.357356191184,0.391621410555
 01/01  06:00:00,0.796728946481,8.57188958795,0.0,7.83490415456,0.0,0.218747924641,0.218747924641,0.218747924641,0.0673386720226,0.0146713809326,0.080078180578,0.398780788307,0.709518324393
 01/01  07:00:00,1.02198020833,9.0433531615,0.0,7.70481911343,0.0,0.215109522374,0.215109522374,0.215109522374,0.15487897491,0.0337441825195,0.14038354292,0.460751985603,1.30679850469
 01/01  08:00:00,1.36113794701,9.58987291509,0.0,8.07668212527,0.0,0.225427886693,0.225427886693,0.225427886693,0.316491771045,0.0689554931152,0.228567290958,0.489583505201,1.47946939728
 01/01  09:00:00,1.30587980647,8.80257936922,0.0,7.32693754423,0.0,0.204680018138,0.204680018138,0.204680018138,0.303024045,0.06602121875,0.30112795013,0.413914574456,1.4471323354
 01/01  10:00:00,1.10267687476,7.43468824905,0.0,6.09082552947,0.0,0.169602389251,0.169602389251,0.169602389251,0.15487897491,0.0337441825195,0.375064554145,0.352274773936,1.31959883853
 01/01  11:00:00,1.13078257707,8.41027049836,0.0,7.22204135366,0.0,0.201498979727,0.201498979727,0.201498979727,0.127943439226,0.0278756155762,0.395792849183,0.360559693361,1.16339461735
 01/01  12:00:00,1.10573851915,6.73117111828,0.0,5.68598613357,0.0,0.158528819999,0.158528819999,0.158528819999,0.127943439226,0.0278756155762,0.413608485392,0.360670158953,1.02034284874
 01/01  13:00:00,1.06222821626,5.78890347414,0.0,4.85309291991,0.0,0.135046130087,0.135046130087,0.135046130087,0.127943439226,0.0278756155762,0.399656479991,0.354594551375,0.91138689222
 01/01  14:00:00,1.04660322279,6.09169010232,0.0,5.22307445118,0.0,0.145380120264,0.145380120264,0.145380120264,0.127943439226,0.0278756155762,0.361435815596,0.366856232124,0.843347432597
 01/01  15:00:00,1.02470146868,5.26996056499,0.0,4.46339161933,0.0,0.124288321683,0.124288321683,0.124288321683,0.134677344045,0.0293427618652,0.331767743197,0.387513297889,0.779877915641
 01/01  16:00:00,1.09113811903,5.12604491494,0.0,4.31071092091,0.0,0.120024284099,0.120024284099,0.120024284099,0.168346700955,0.0366784568848,0.339922588697,0.409054088393,0.78715928361
 01/01  17:00:00,1.36749734556,5.65207783907,0.0,4.74896900561,0.0,0.132465176275,0.132465176275,0.132465176275,0.282822414136,0.0616197980958,0.389638662656,0.4838392944,0.869783089036
 01/01  18:00:00,1.88848072374,6.92293839423,0.0,5.85020740245,0.0,0.163481016079,0.163481016079,0.163481016079,0.525241650136,0.114436773096,0.480421867651,0.587787416781,1.03224553832
 01/01  19:00:00,2.21240416946,6.37802005947,0.0,5.14337998347,0.0,0.143221787917,0.143221787917,0.143221787917,0.781128612181,0.170188022461,0.432594020017,0.638159726883,1.190685093
 01/01  20:00:00,2.17843897727,6.44679325709,0.0,5.17670065167,0.0,0.144306312501,0.144306312501,0.144306312501,0.828265695136,0.180457991846,0.349590650728,0.658706327056,1.22472241957
 01/01  21:00:00,2.02724972569,6.51940013261,0.0,5.33458492113,0.0,0.148749039538,0.148749039538,0.148749039538,0.713789981955,0.155516632422,0.310730298291,0.681351773484,1.13788525905
 01/01  22:00:00,1.86689986348,6.819743442,0.0,5.75240988219,0.0,0.16050451841,0.16050451841,0.16050451841,0.599314185181,0.130575291211,0.293949140492,0.665444728188,1.02149924829
 01/01  23:00:00,1.55366882412,7.22358512793,0.0,6.34258530512,0.0,0.177058253165,0.177058253165,0.177058253165,0.45116911509,0.0982982549805,0.234174068073,0.57585713281,0.841336100049
 01/01  24:00:00,1.23715713099,7.51440691217,0.0,6.83950763962,0.0,0.190934157601,0.190934157601,0.190934157601,0.309757866226,0.0674883468263,0.151455627092,0.500409133249,0.640432235503
 01/02  01:00:00,0.917278172995,7.71531141073,0.0,7.27369306589,0.0,0.203058250135,0.203058250135,0.203058250135,0.161612796136,0.0352113105958,0.0863692416722,0.413914574456,0.413108855262
 01/02  02:00:00,0.796406095236,7.91796557939,0.0,7.56307031343,0.0,0.211134941537,0.211134941537,0.211134941537,0.0942741659095,0.0205399387695,0.0722387554862,0.381106293534,0.328645535755
 01/02  03:00:00,0.752069274448,8.08852702416,0.0,7.75719386294,0.0,0.216544296604,0.216544296604,0.216544296604,0.0673386720226,0.0146713809326,0.0597152550472,0.376687669841,0.305387775714
 01/02  04:00:00,0.739787050836,8.09912582195,0.0,7.7617607767,0.0,0.21666865011,0.21666865011,0.21666865011,0.0673386720226,0.0146713809326,0.0526110263622,0.371385321409,0.311784873386
 01/02  05:00:00,0.737100283982,8.19575715947,0.0,7.79242855907,0.0,0.217470331151,0.217470331151,0.217470331151,0.0673386720226,0.0146713809326,0.0631517086927,0.357356191184,0.37871472295
 01/02  06:00:00,0.798278976435,8.73581256797,0.0,8.0369147007,0.0,0.224394647195,0.224394647195,0.224394647195,0.0673386720226,0.0146713809326,0.0759814879778,0.398780788307,0.671430758274
 01/02  07:00:00,1.03661420844,9.85513530596,0.0,8.60511300636,0.0,0.240369034704,0.240369034704,0.240369034704,0.15487897491,0.0337441825195,0.129758030703,0.460751985603,1.21828675622
 01/02  08:00:00,1.3510040567,9.86819225328,0.0,8.46348786178,0.0,0.236455358305,0.236455358305,0.236455358305,0.316491771045,0.0689554931152,0.207405929039,0.489583505201,1.37098299896
 01/02  09:00:00,1.28734055353,9.19697879184,0.0,7.83602557489,0.0,0.218578066087,0.218578066087,0.218578066087,0.303024045,0.06602121875,0.268690649238,0.413914574456,1.33244372737
 01/02  10:00:00,1.10340324129,8.95527877117,0.0,7.71729957691,0.0,0.215359814241,0.215359814241,0.215359814241,0.15487897491,0.0337441825195,0.330033495679,0.352274773936,1.21371531322
 01/02  11:00:00,1.12402794306,9.88437717108,0.0,8.78774761005,0.0,0.245660575006,0.245660575006,0.245660575006,0.127943439226,0.0278756155762,0.344876619894,0.360559693361,1.07179503367
