Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly) 
 01/01  01:00:00,0.642567640514,0.367256231273,0.0,0.0,0.0,0.0,0.0,0.0,0.128562410501,0.0263694190929,0.092942924749,0.379617886171,0.341106315484
 01/01  02:00:00,0.531165783332,0.297258712375,0.0,0.0,0.0,0.0,0.0,0.0,0.0749947671662,0.0153821588643,0.0761857795615,0.34952807774,0.273181528102
 01/01  03:00:00,0.48743200721,0.279562110028,0.0,0.0,0.0,0.0,0.0,0.0,0.0535676765835,0.0109872588647,0.0623264934745,0.345475578288,0.255764081515
 01/01  04:00:00,0.474218944927,0.288230020078,0.0,0.0,0.0,0.0,0.0,0.0,0.0535676765835,0.0109872588647,0.0539764305342,0.340612578945,0.264766978476
 01/01  05:00:00,0.478446062054,0.534831532684,0.0,0.189173758372,0.0,0.00524736911231,0.00524736911231,0.00524736911231,0.0535676765835,0.0109872588647,0.0658228643082,0.327745893185,0.323081052248
 01/01  06:00:00,0.538591236961,1.0708992415,0.0,0.473894171854,0.0,0.0131450453874,0.0131450453874,0.0131450453874,0.0535676765835,0.0109872588647,0.080078180578,0.365738075548,0.57181126233
 01/01  07:00:00,0.765152982994,2.45963992931,0.0,1.39315005772,0.0,0.0386436926804,0.0386436926804,0.0386436926804,0.123205679416,0.0252706876143,0.14038354292,0.422574380363,1.03738090475
 01/01  08:00:00,1.03597282967,1.5571903487,0.0,0.357101289211,0.0,0.0099054027953,0.0099054027953,0.0099054027953,0.251768089917,0.0516401067072,0.228567290958,0.449016939288,1.16915860131
 01/01  09:00:00,0.986318054941,1.16536430805,0.0,0.0,0.0,0.0,0.0,0.0,0.24105456125,0.0494426573893,0.30112795013,0.379617886171,1.13921439226
 01/01  10:00:00,0.86170143999,1.05676330172,0.0,0.0,0.0,0.0,0.0,0.0,0.123205679416,0.0252706876143,0.375064554145,0.323085518815,1.03450760877
 01/01  11:00:00,0.864206149034,0.932983081729,0.0,0.0,0.0,0.0,0.0,0.0,0.101778555585,0.0208757889786,0.395792849183,0.330683955288,0.910203971738
 01/01  12:00:00,0.882123097729,0.817641865632,0.0,0.0,0.0,0.0,0.0,0.0,0.101778555585,0.0208757889786,0.413608485392,0.330785267774,0.794855776748
