Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly) 
 01/01  01:00:00,0.661521502716,1.06078249481,0.0,0.683308772765,0.0,0.0189538622018,0.0189538622018,0.0189538622018,0.128562410501,0.0263694190929,0.092942924749,0.379617886171,0.351323806253
 01/01  02:00:00,0.569144318412,1.67331980313,0.0,1.36917035278,0.0,0.0379785350807,0.0379785350807,0.0379785350807,0.0749947671662,0.0153821588643,0.0761857795615,0.34952807774,0.280072266075
 01/01  03:00:00,0.539188127737,2.15030322814,0.0,1.8658683293,0.0,0.0517561205269,0.0517561205269,0.0517561205269,0.0535676765835,0.0109872588647,0.0623264934745,0.345475578288,0.26063687032
 01/01  04:00:00,0.528546938502,2.24814631693,0.0,1.95858734335,0.0,0.0543279935745,0.0543279935745,0.0543279935745,0.0535676765835,0.0109872588647,0.0539764305342,0.340612578945,0.26609593197
 01/01  05:00:00,0.54343340633,2.87815852105,0.0,2.5320430897,0.0,0.0702347133889,0.0702347133889,0.0702347133889,0.0535676765835,0.0109872588647,0.0658228643082,0.327745893185,0.323538709284
 01/01  06:00:00,0.604710696912,3.4545828904,0.0,2.85757758971,0.0,0.0792645053382,0.0792645053382,0.0792645053382,0.0535676765835,0.0109872588647,0.080078180578,0.365738075548,0.571811493377
 01/01  07:00:00,0.840943956664,5.19199278273,0.0,4.12550279161,0.0,0.11443466635,0.11443466635,0.11443466635,0.123205679416,0.0252706876143,0.14038354292,0.422574380363,1.03738102429
 01/01  08:00:00,1.09080051262,3.5337920761,0.0,2.33370301591,0.0,0.0647330857536,0.0647330857536,0.0647330857536,0.251768089917,0.0516401067072,0.228567290958,0.449016939288,1.16915860202
 01/01  09:00:00,1.00909768418,1.98908607262,0.0,0.821232123282,0.0,0.0227796292405,0.0227796292405,0.0227796292405,0.24105456125,0.0494426573893,0.30112795013,0.379617886171,1.14170403355
 01/01  10:00:00,0.86170143999,1.06170646623,0.0,0.0,0.0,0.0,0.0,0.0,0.123205679416,0.0252706876143,0.375064554145,0.323085518815,1.03945077328
 01/01  11:00:00,0.864206149034,0.935130819152,0.0,0.0,0.0,0.0,0.0,0.0,0.101778555585,0.0208757889786,0.395792849183,0.330683955288,0.912351709161
 01/01  12:00:00,0.882123097729,0.818934916774,0.0,0.0,0.0,0.0,0.0,0.0,0.101778555585,0.0208757889786,0.413608485392,0.330785267774,0.796148827889
 01/01  13:00:00,0.862598905581,0.729350842238,0.0,0.0,0.0,0.0,0.0,0.0,0.101778555585,0.0208757889786,0.399656479991,0.325213081027,0.706948592523
 01/01  14:00:00,0.835623927166,0.67364618531,0.0,0.0,0.0,0.0,0.0,0.0,0.101778555585,0.0208757889786,0.361435815596,0.336458767007,0.650469278362
 01/01  15:00:00,0.831356818766,0.62445263697,0.0,0.0,0.0,0.0,0.0,0.0,0.107135353167,0.0219745204572,0.331767743197,0.355404201945,0.599970676845
 01/01  16:00:00,0.891545084126,0.629636237664,0.0,0.0,0.0,0.0,0.0,0.0,0.133919208083,0.0274681505715,0.339922588697,0.375160136774,0.603793393211
 01/01  17:00:00,1.11959307789,0.69956069798,0.0,0.0,0.0,0.0,0.0,0.0,0.224984235001,0.0461464902322,0.389638662656,0.44374869,0.668993142294
 01/01  18:00:00,1.53810911013,0.838203026287,0.0,0.0,0.0,0.0,0.0,0.0,0.417827884001,0.0857006188716,0.480421867651,0.53908373961,0.801068331354
 01/01  19:00:00,1.81178851188,0.969249679812,0.0,0.0,0.0,0.0,0.0,0.0,0.621385061668,0.127452196829,0.432594020017,0.585282233363,0.928932609219
 01/01  20:00:00,1.76281772805,0.998446514999,0.0,0.0,0.0,0.0,0.0,0.0,0.658882445251,0.135143276261,0.349590650728,0.604126355815,0.956831370124
 01/01  21:00:00,1.63498306873,0.934018239234,0.0,0.0,0.0,0.0,0.0,0.0,0.567817418333,0.1164649366,0.310730298291,0.624895415507,0.89097242109
 01/01  22:00:00,1.49386947983,0.845100095512,0.0,0.0,0.0,0.0,0.0,0.0,0.476752324918,0.0977865969395,0.293949140492,0.610306417479,0.803059238103
 01/01  23:00:00,1.20990912941,0.702217922132,0.0,0.0,0.0,0.0,0.0,0.0,0.358903443084,0.0736146271644,0.234174068073,0.528141991089,0.665836947751
 01/01  24:00:00,0.926388574208,0.689695988878,0.0,0.142751896513,0.0,0.00395970296797,0.00395970296797,0.00395970296797,0.246411292335,0.050541388868,0.151455627092,0.458945562945,0.515329702581
 01/02  01:00:00,0.650779192393,0.898193690434,0.0,0.533024913088,0.0,0.014785234956,0.014785234956,0.014785234956,0.128562410501,0.0263694190929,0.0863692416722,0.379617886171,0.339018861558
