Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly) 
 01/01  01:00:00,0.701299789326,2.49490748213,0.0,2.11736226102,0.0,0.0587321488123,0.0587321488123,0.0587321488123,0.128562410501,0.0263694190929,0.092942924749,0.379617886171,0.351395305323
 01/01  02:00:00,0.600253873224,2.79485554129,0.0,2.4907059793,0.0,0.0690880898923,0.0690880898923,0.0690880898923,0.0749947671662,0.0153821588643,0.0761857795615,0.34952807774,0.280072377718
 01/01  03:00:00,0.566412032837,3.13175666542,0.0,2.8473217653,0.0,0.0789800256265,0.0789800256265,0.0789800256265,0.0535676765835,0.0109872588647,0.0623264934745,0.345475578288,0.260636871607
 01/01  04:00:00,0.561951699396,3.45242682227,0.0,3.16286781812,0.0,0.0877327544686,0.0877327544686,0.0877327544686,0.0535676765835,0.0109872588647,0.0539764305342,0.340612578945,0.266095962553
 01/01  05:00:00,0.568649303685,3.78722098885,0.0,3.44110551149,0.0,0.0954506107435,0.0954506107435,0.0954506107435,0.0535676765835,0.0109872588647,0.0658228643082,0.327745893185,0.323538755291
 01/01  06:00:00,0.619694233432,3.99475678077,0.0,3.39775150478,0.0,0.0942480418582,0.0942480418582,0.0942480418582,0.0535676765835,0.0109872588647,0.080078180578,0.365738075548,0.571811468676
 01/01  07:00:00,0.843278793703,5.27616635959,0.0,4.20967638193,0.0,0.116769503389,0.116769503389,0.116769503389,0.123205679416,0.0252706876143,0.14038354292,0.422574380363,1.03738101082
 01/01  08:00:00,1.11369951978,4.35932791174,0.0,3.15923885172,0.0,0.0876320929056,0.0876320929056,0.0876320929056,0.251768089917,0.0516401067072,0.228567290958,0.449016939288,1.16915860185
 01/01  09:00:00,1.04911397848,3.43172002121,0.0,2.26386606551,0.0,0.0627959235403,0.0627959235403,0.0627959235403,0.24105456125,0.0494426573893,0.30112795013,0.379617886171,1.14170403992
 01/01  10:00:00,0.911952764186,2.87439121014,0.0,1.81161867172,0.0,0.0502513241958,0.0502513241958,0.0502513241958,0.123205679416,0.0252706876143,0.375064554145,0.323085518815,1.04051684548
 01/01  11:00:00,0.909669464979,2.57960987194,0.0,1.63900540657,0.0,0.045463315945,0.045463315945,0.045463315945,0.101778555585,0.0208757889786,0.395792849183,0.330683955288,0.917825355377
 01/01  12:00:00,0.911342872095,1.88305441058,0.0,1.05340684395,0.0,0.0292197743663,0.0292197743663,0.0292197743663,0.101778555585,0.0208757889786,0.413608485392,0.330785267774,0.806861477745
 01/01  13:00:00,0.873898324916,1.1516512936,0.0,0.407357206481,0.0,0.0112994193347,0.0112994193347,0.0112994193347,0.101778555585,0.0208757889786,0.399656479991,0.325213081027,0.721891837407
 01/01  14:00:00,0.837172616897,0.748578155661,0.0,0.055832065689,0.0,0.00154868973104,0.00154868973104,0.00154868973104,0.101778555585,0.0208757889786,0.361435815596,0.336458767007,0.669569183024
 01/01  15:00:00,0.831356818766,0.644023482767,0.0,0.0,0.0,0.0,0.0,0.0,0.107135353167,0.0219745204572,0.331767743197,0.355404201945,0.619541522643
