Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly) 
 01/01  01:00:00,0.709112400627,2.77656120438,0.0,2.39901598326,0.0,0.066544760113,0.066544760113,0.066544760113,0.128562410501,0.0263694190929,0.092942924749,0.379617886171,0.351395305324
 01/01  02:00:00,0.600434228698,2.80135756585,0.0,2.49720800386,0.0,0.0692684453662,0.0692684453662,0.0692684453662,0.0749947671662,0.0153821588643,0.0761857795615,0.34952807774,0.280072377718
 01/01  03:00:00,0.560183528818,2.90721185276,0.0,2.62277695264,0.0,0.0727515216077,0.0727515216077,0.0727515216077,0.0535676765835,0.0109872588647,0.0623264934745,0.345475578288,0.260636871607
 01/01  04:00:00,0.549909679879,3.01829802726,0.0,2.72873901154,0.0,0.0756907349516,0.0756907349516,0.0756907349516,0.0535676765835,0.0109872588647,0.0539764305342,0.340612578945,0.266095974119
 01/01  05:00:00,0.554127380573,3.26368878764,0.0,2.91757329659,0.0,0.080928687632,0.080928687632,0.080928687632,0.0535676765835,0.0109872588647,0.0658228643082,0.327745893185,0.323538768984
 01/01  06:00:00,0.604329211366,3.44082986808,0.0,2.84382459215,0.0,0.0788830197916,0.0788830197916,0.0788830197916,0.0535676765835,0.0109872588647,0.080078180578,0.365738075548,0.571811468616
 01/01  07:00:00,0.799880190201,3.71159623751,0.0,2.64510625985,0.0,0.0733708998868,0.0733708998868,0.0733708998868,0.123205679416,0.0252706876143,0.14038354292,0.422574380363,1.03738101083
 01/01  08:00:00,1.09245437564,3.59341576102,0.0,2.39332670099,0.0,0.0663869487743,0.0663869487743,0.0663869487743,0.251768089917,0.0516401067072,0.228567290958,0.449016939288,1.16915860185
 01/01  09:00:00,1.04891534323,3.42455898944,0.0,2.25670503373,0.0,0.0625972882896,0.0625972882896,0.0625972882896,0.24105456125,0.0494426573893,0.30112795013,0.379617886171,1.14170403992
 01/01  10:00:00,0.919393277485,3.14263036106,0.0,2.07985782829,0.0,0.0576918374944,0.0576918374944,0.0576918374944,0.123205679416,0.0252706876143,0.375064554145,0.323085518815,1.04051683982
 01/01  11:00:00,0.941542370821,3.72866518125,0.0,2.7880607254,0.0,0.0773362217871,0.0773362217871,0.0773362217871,0.101778555585,0.0208757889786,0.395792849183,0.330683955288,0.917825345857
