Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly) 
 01/01  01:00:00,0.756301995578,4.24783653477,0.0,3.85615876504,0.103250472707,0.103250472707,0.103250472707,0.13299183107,0.0275544175015,0.092942924749,0.38421434955,0.365211622406
 01/01  02:00:00,0.648689336653,4.41011729699,0.0,4.09865196576,0.109743342718,0.109743342718,0.109743342718,0.0775785967864,0.0160734078338,0.0761857795615,0.353760209753,0.287096981008
 01/01  03:00:00,0.608171331481,4.54521663054,0.0,4.25553326152,0.113943913528,0.113943913528,0.113943913528,0.0554132755573,0.0114810068172,0.0623264934745,0.349658642104,0.265597550395
 01/01  04:00:00,0.597695483952,4.65532392802,0.0,4.35996079674,0.116740010118,0.116740010118,0.116740010118,0.0554132755573,0.0114810068172,0.0539764305342,0.344736760925,0.27161635057
 01/01  05:00:00,0.598270509535,4.78301886927,0.0,4.42535904882,0.118491079214,0.118491079214,0.118491079214,0.0554132755573,0.0114810068172,0.0658228643082,0.331714283638,0.334810077556
 01/01  06:00:00,0.651654320434,5.08314327214,0.0,4.45061716213,0.11916737713,0.11916737713,0.11916737713,0.0554132755573,0.0114810068172,0.080078180578,0.370166480351,0.607027633401
 01/01  07:00:00,0.852182853159,5.43864431342,0.0,4.29137118039,0.114903490736,0.114903490736,0.114903490736,0.127450542036,0.0264063108338,0.14038354292,0.427690966632,1.11781215078
 01/01  08:00:00,1.1316631037,5.17504753184,0.0,3.88008151939,0.103891015757,0.103891015757,0.103891015757,0.260442373107,0.0539607283354,0.228567290958,0.454453695544,1.26366151152
 01/01  09:00:00,1.0886298538,4.50705586935,0.0,3.2460789942,0.0869152986216,0.0869152986216,0.0869152986216,0.24935972625,0.0516645292523,0.30112795013,0.38421434955,1.23451072782
 01/01  10:00:00,0.942660406843,3.81317433242,0.0,2.66637756505,0.0713935189867,0.0713935189867,0.0713935189867,0.127450542036,0.0264063108338,0.375064554145,0.326997480842,1.12427193582
 01/01  11:00:00,0.956283535143,4.12598510094,0.0,3.11313292402,0.0833556047846,0.0833556047846,0.0833556047846,0.105285248323,0.0218139126677,0.395792849183,0.334687920184,0.989797598621
 01/01  12:00:00,0.942720303939,2.82820167259,0.0,1.93737751267,0.0518741981811,0.0518741981811,0.0518741981811,0.105285248323,0.0218139126677,0.413608485392,0.334790459375,0.86776251833
 01/01  13:00:00,0.907661151286,2.15669610529,0.0,1.35970360708,0.0364067064472,0.0364067064472,0.0364067064472,0.105285248323,0.0218139126677,0.399656479991,0.329150803858,0.774319337568
 01/01  14:00:00,0.866989752052,1.58294402385,0.0,0.843089564102,0.0225741213814,0.0225741213814,0.0225741213814,0.105285248323,0.0218139126677,0.361435815596,0.340532654084,0.716397273922
 01/01  15:00:00,0.860995410359,1.44775392905,0.0,0.761279849559,0.020383627625,0.020383627625,0.020383627625,0.110826537357,0.0229620193354,0.331767743197,0.359707482845,0.66169605845
 01/01  16:00:00,0.926919155056,1.61681053441,0.0,0.922868587113,0.0247102424127,0.0247102424127,0.0247102424127,0.138533188893,0.0287025099169,0.339922588697,0.379702625135,0.667786584722
 01/01  17:00:00,1.17095334057,2.1093615389,0.0,1.34037131678,0.0358890752413,0.0358890752413,0.0358890752413,0.23273572157,0.0482202235015,0.389638662656,0.4491216576,0.738053012269
 01/01  18:00:00,1.63461024971,3.58399183677,0.0,2.66863356275,0.0714539243909,0.0714539243909,0.0714539243909,0.432223571359,0.0895518497538,0.480421867651,0.54561103655,0.87777450836
 01/01  19:00:00,1.89916394719,3.03152588575,0.0,1.97491735197,0.0528793451133,0.0528793451133,0.0528793451133,0.642793999216,0.133179675089,0.432594020017,0.592368907752,1.01580390792
 01/01  20:00:00,1.85292243525,3.09429378358,0.0,2.00716946168,0.0537429105878,0.0537429105878,0.0537429105878,0.681583297609,0.141216379006,0.349590650728,0.611441197322,1.0450059241
 01/01  21:00:00,1.73016208026,3.34939857126,0.0,2.33582018156,0.0625426888778,0.0625426888778,0.0625426888778,0.587380696143,0.121698665421,0.310730298291,0.632461731524,0.970012017471
 01/01  22:00:00,1.59692580807,3.6974207546,0.0,2.78514093377,0.0745734642918,0.0745734642918,0.0745734642918,0.493178163466,0.102180951837,0.293949140492,0.617696087987,0.869730562349
 01/01  23:00:00,1.32115152738,4.07334943127,0.0,3.32023753141,0.0889009284904,0.0889009284904,0.0889009284904,0.371268979252,0.0769227476707,0.234174068073,0.534536803897,0.716290969504
