Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly) 
 01/01  01:00:00,0.722197940708,3.24831014074,0.0,2.87076491963,0.0,0.0796303001939,0.0796303001939,0.0796303001939,0.128562410501,0.0263694190929,0.092942924749,0.379617886171,0.351395305324
 01/01  02:00:00,0.623158774129,3.62060385375,0.0,3.31645429176,0.0,0.0919929907972,0.0919929907972,0.0919929907972,0.0749947671662,0.0153821588643,0.0761857795615,0.34952807774,0.280072377718
 01/01  03:00:00,0.587249247861,3.88296249748,0.0,3.59852759736,0.0,0.0998172406506,0.0998172406506,0.0998172406506,0.0535676765835,0.0109872588647,0.0623264934745,0.345475578288,0.260636871607
 01/01  04:00:00,0.580535784175,4.12240470519,0.0,3.83284568481,0.0,0.106316839248,0.106316839248,0.106316839248,0.0535676765835,0.0109872588647,0.0539764305342,0.340612578945,0.266095978784
 01/01  05:00:00,0.588264899821,4.4943860719,0.0,4.14827056209,0.0,0.11506620688,0.11506620688,0.11506620688,0.0535676765835,0.0109872588647,0.0658228643082,0.327745893185,0.323538787754
 01/01  06:00:00,0.643282612673,4.84514532863,0.0,4.24814000601,0.0,0.117836421099,0.117836421099,0.117836421099,0.0535676765835,0.0109872588647,0.080078180578,0.365738075548,0.571811515311
 01/01  07:00:00,0.841219762309,5.20193588394,0.0,4.13544590584,0.0,0.114710471995,0.114710471995,0.114710471995,0.123205679416,0.0252706876143,0.14038354292,0.422574380363,1.03738101125
 01/01  08:00:00,1.17145055879,6.4413200237,0.0,5.24123096365,0.0,0.14538313192,0.14538313192,0.14538313192,0.251768089917,0.0516401067072,0.228567290958,0.449016939288,1.16915860189
 01/01  09:00:00,1.09473264828,5.07632611496,0.0,3.90847215925,0.0,0.108414593342,0.108414593342,0.108414593342,0.24105456125,0.0494426573893,0.30112795013,0.379617886171,1.14170403992
 01/01  10:00:00,0.9595119918,4.58895666393,0.0,3.52618413117,0.0,0.0978105518096,0.0978105518096,0.0978105518096,0.123205679416,0.0252706876143,0.375064554145,0.323085518815,1.04051683982
