Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly) 
 01/01  01:00:00,0.722700743576,3.2664367688,0.0,2.88889154769,0.0,0.0801331030617,0.0801331030617,0.0801331030617,0.128562410501,0.0263694190929,0.092942924749,0.379617886171,0.351395305324
 01/01  02:00:00,0.616300904777,3.37336968899,0.0,3.069220127,0.0,0.0851351214457,0.0851351214457,0.0851351214457,0.0749947671662,0.0153821588643,0.0761857795615,0.34952807774,0.280072377718
 01/01  03:00:00,0.579915113237,3.61855841584,0.0,3.33412351572,0.0,0.092483106027,0.092483106027,0.092483106027,0.0535676765835,0.0109872588647,0.0623264934745,0.345475578288,0.260636871607
 01/01  04:00:00,0.576876137113,3.99047012619,0.0,3.7009111526,0.0,0.102657192185,0.102657192185,0.102657192185,0.0535676765835,0.0109872588647,0.0539764305342,0.340612578945,0.266095931982
 01/01  05:00:00,0.577718976809,4.11419319648,0.0,3.76807777423,0.0,0.104520283867,0.104520283867,0.104520283867,0.0535676765835,0.0109872588647,0.0658228643082,0.327745893185,0.323538700182
 01/01  06:00:00,0.627949641723,4.29237384897,0.0,3.69536857341,0.0,0.102503450149,0.102503450149,0.102503450149,0.0535676765835,0.0109872588647,0.080078180578,0.365738075548,0.571811468249
 01/01  07:00:00,0.825104268402,4.62095358834,0.0,3.55446361069,0.0,0.0985949780885,0.0985949780885,0.0985949780885,0.123205679416,0.0252706876143,0.14038354292,0.422574380363,1.0373810108
 01/01  08:00:00,1.11985853629,4.58136761909,0.0,3.38127855907,0.0,0.0937911094207,0.0937911094207,0.0937911094207,0.251768089917,0.0516401067072,0.228567290958,0.449016939288,1.16915860185
 01/01  09:00:00,1.06926186309,4.15807469005,0.0,2.99022073435,0.0,0.0829438081448,0.0829438081448,0.0829438081448,0.24105456125,0.0494426573893,0.30112795013,0.379617886171,1.14170403992
 01/01  10:00:00,0.932556313447,3.61717311405,0.0,2.55440058129,0.0,0.0708548734564,0.0708548734564,0.0708548734564,0.123205679416,0.0252706876143,0.375064554145,0.323085518815,1.04051683982
 01/01  11:00:00,0.962699365406,4.49139943833,0.0,3.55079498248,0.0,0.0984932163721,0.0984932163721,0.0984932163721,0.101778555585,0.0208757889786,0.395792849183,0.330683955288,0.917825345857
 01/01  12:00:00,0.952231776864,3.35714699584,0.0,2.5274994083,0.0,0.0701086791353,0.0701086791353,0.0701086791353,0.101778555585,0.0208757889786,0.413608485392,0.330785267774,0.806861498659
 01/01  13:00:00,0.933365372901,3.29550754567,0.0,2.55121343726,0.0,0.0707664673198,0.0707664673198,0.0707664673198,0.101778555585,0.0208757889786,0.399656479991,0.325213081027,0.721891858693
 01/01  14:00:00,0.9016321767,3.07242026633,0.0,2.37967415302,0.0,0.0660082495343,0.0660082495343,0.0660082495343,0.101778555585,0.0208757889786,0.361435815596,0.336458767007,0.669569206358
 01/01  15:00:00,0.891083741805,2.79763363431,0.0,2.15322502867,0.0,0.0597269230392,0.0597269230392,0.0597269230392,0.107135353167,0.0219745204572,0.331767743197,0.355404201945,0.619926645518
 01/01  16:00:00,0.944570130428,2.56313819009,0.0,1.91161457907,0.0,0.0530250463024,0.0530250463024,0.0530250463024,0.133919208083,0.0274681505715,0.339922588697,0.375160136774,0.625680766566
 01/01  17:00:00,1.17453968529,2.70118526427,0.0,1.98088909124,0.0,0.0549466074036,0.0549466074036,0.0549466074036,0.224984235001,0.0461464902322,0.389638662656,0.44374869,0.689728617345
 01/01  18:00:00,1.61533090292,3.63869455898,0.0,2.78393542703,0.0,0.0772217927911,0.0772217927911,0.0772217927911,0.417827884001,0.0857006188716,0.480421867651,0.53908373961,0.81762443701
 01/01  19:00:00,1.86477922759,2.8948872827,0.0,1.91037692153,0.0,0.0529907157166,0.0529907157166,0.0529907157166,0.621385061668,0.127452196829,0.432594020017,0.585282233363,0.94419329058
 01/01  20:00:00,1.8166685523,2.9542050717,0.0,1.94138483431,0.0,0.0538508242493,0.0538508242493,0.0538508242493,0.658882445251,0.135143276261,0.349590650728,0.604126355815,0.971205092515
 01/01  21:00:00,1.69479544505,3.10175010247,0.0,2.15630571863,0.0,0.059812376315,0.059812376315,0.059812376315,0.567817418333,0.1164649366,0.310730298291,0.624895415507,0.902398565691
 01/01  22:00:00,1.55916062206,3.20642697302,0.0,2.35382160071,0.0,0.065291142227,0.065291142227,0.065291142227,0.476752324918,0.0977865969395,0.293949140492,0.610306417479,0.810564514898
 01/01  23:00:00,1.27891643424,3.19517139333,0.0,2.48779358396,0.0,0.0690073048325,0.0690073048325,0.0690073048325,0.358903443084,0.0736146271644,0.234174068073,0.528141991089,0.670996834995
 01/01  24:00:00,0.997758248166,3.26310339572,0.0,2.71571163452,0.0,0.0753293769262,0.0753293769262,0.0753293769262,0.246411292335,0.050541388868,0.151455627092,0.458945562945,0.515777371416
 01/02  01:00:00,0.720863684551,3.42482185988,0.0,3.05965235274,0.0,0.0848697271143,0.0848697271143,0.0848697271143,0.128562410501,0.0263694190929,0.0863692416722,0.379617886171,0.33901959135
 01/02  02:00:00,0.620760535116,3.66993890269,0.0,3.37228979426,0.0,0.0935417758597,0.0935417758597,0.0935417758597,0.0749947671662,0.0153821588643,0.0722387554862,0.34952807774,0.273571924156
 01/02  03:00:00,0.579712592584,3.70061559063,0.0,3.42096059243,0.0,0.0948918238009,0.0948918238009,0.0948918238009,0.0535676765835,0.0109872588647,0.0597152550472,0.345475578288,0.255856969689
 01/02  04:00:00,0.569844321103,3.78105733427,0.0,3.4966304167,0.0,0.0969907803476,0.0969907803476,0.0969907803476,0.0535676765835,0.0109872588647,0.0526110263622,0.340612578945,0.260963875965
 01/02  05:00:00,0.56749816873,3.83152588792,0.0,3.49590402388,0.0,0.0969706314047,0.0969706314047,0.0969706314047,0.0535676765835,0.0109872588647,0.0631517086927,0.327745893185,0.313045141982
 01/02  06:00:00,0.618668069756,4.07519531338,0.0,3.50844764302,0.0,0.0973185707819,0.0973185707819,0.0973185707819,0.0535676765835,0.0109872588647,0.0759814879778,0.365738075548,0.541553863046
